year,age,population
1990,0,1616.084
1990,1,1615.316
1990,2,1626.784
1990,3,1649.067
1990,4,1680.716
1990,5,1720.313
1990,6,1766.411
1990,7,1817.594
1990,8,1872.405
1990,9,1929.432
1990,10,1988.023
1990,11,2047.541
1990,12,2102.594
1990,13,2150.174
1990,14,2191.226
1990,15,2230.612
1990,16,2268.466
1990,17,2295.512
1990,18,2307.991
1990,19,2309.942
1990,20,2308.589
1990,21,2301.739
1990,22,2296.479
1990,23,2296.843
1990,24,2299.095
1990,25,2296.806
1990,26,2292.821
1990,27,2278.447
1990,28,2249.192
1990,29,2210.218
1990,30,2171.493
1990,31,2131.392
1990,32,2094.174
1990,33,2063.055
1990,34,2036.435
1990,35,2007.110
1990,36,1973.702
1990,37,1950.936
1990,38,1944.515
1990,39,1946.727
1990,40,1948.690
1990,41,1957.680
1990,42,1939.382
1990,43,1877.589
1990,44,1790.729
1990,45,1710.050
1990,46,1625.250
1990,47,1573.752
1990,48,1576.048
1990,49,1612.839
1990,50,1644.032
1990,51,1677.294
1990,52,1701.751
1990,53,1707.852
1990,54,1701.468
1990,55,1697.877
1990,56,1693.848
1990,57,1685.257
1990,58,1671.523
1990,59,1652.782
1990,60,1628.968
1990,61,1599.162
1990,62,1566.206
1990,63,1531.223
1990,64,1492.156
1990,65,1451.072
1990,66,1413.834
1990,67,1350.244
1990,68,1247.502
1990,69,1122.869
1990,70,1001.040
1990,71,870.735
1990,72,783.766
1990,73,766.387
1990,74,792.281
1990,75,810.750
1990,76,834.255
1990,77,831.873
1990,78,783.838
1990,79,706.540
1990,80,637.111
1990,81,569.285
1990,82,502.558
1990,83,440.763
1990,84,382.983
1990,85,324.216
1990,86,265.257
1990,87,213.810
1990,88,173.154
1990,89,140.803
1990,90,110.513
1990,91,82.982
1990,92,60.572
1990,93,43.661
1990,94,31.224
1990,95,21.447
1990,96,14.722
1990,97,9.693
1990,98,5.572
1990,99,2.417
1990,100,4.685
1991,0,1591.651
1991,1,1605.188
1991,2,1609.892
1991,3,1625.135
1991,4,1649.742
1991,5,1682.522
1991,6,1722.055
1991,7,1766.908
1991,8,1817.152
1991,9,1872.070
1991,10,1929.773
1991,11,1988.423
1991,12,2047.682
1991,13,2102.159
1991,14,2148.721
1991,15,2188.489
1991,16,2226.612
1991,17,2263.161
1991,18,2289.137
1991,19,2300.946
1991,20,2302.523
1991,21,2300.793
1991,22,2293.581
1991,23,2288.251
1991,24,2288.942
1991,25,2291.789
1991,26,2290.127
1991,27,2286.847
1991,28,2273.073
1991,29,2244.217
1991,30,2205.497
1991,31,2167.055
1991,32,2127.242
1991,33,2090.266
1991,34,2059.374
1991,35,2032.935
1991,36,2003.754
1991,37,1970.455
1991,38,1947.672
1991,39,1941.059
1991,40,1942.963
1991,41,1944.574
1991,42,1953.159
1991,43,1934.493
1991,44,1872.428
1991,45,1785.327
1991,46,1704.349
1991,47,1619.198
1991,48,1567.295
1991,49,1569.137
1991,50,1605.415
1991,51,1636.025
1991,52,1668.628
1991,53,1692.363
1991,54,1697.685
1991,55,1690.444
1991,56,1685.916
1991,57,1680.931
1991,58,1671.110
1991,59,1655.788
1991,60,1635.219
1991,61,1609.619
1991,62,1578.068
1991,63,1543.296
1991,64,1506.383
1991,65,1465.393
1991,66,1422.352
1991,67,1382.939
1991,68,1318.093
1991,69,1215.525
1991,70,1091.863
1991,71,970.932
1991,72,841.857
1991,73,754.669
1991,74,734.746
1991,75,756.687
1991,76,771.664
1991,77,791.804
1991,78,786.894
1991,79,737.726
1991,80,660.369
1991,81,590.938
1991,82,523.235
1991,83,457.704
1991,84,398.526
1991,85,344.347
1991,86,289.322
1991,87,234.328
1991,88,186.851
1991,89,149.936
1991,90,121.135
1991,91,94.456
1991,92,70.575
1991,93,51.247
1991,94,36.577
1991,95,25.753
1991,96,15.763
1991,97,10.389
1991,98,5.996
1991,99,2.650
1991,100,5.037
1992,0,1565.927
1992,1,1562.202
1992,2,1594.209
1992,3,1604.336
1992,4,1623.332
1992,5,1650.257
1992,6,1684.189
