year,age,population
1990,0,420.442
1990,1,412.474
1990,2,413.188
1990,3,421.424
1990,4,436.028
1990,5,455.837
1990,6,479.694
1990,7,506.440
1990,8,534.916
1990,9,563.967
1990,10,594.034
1990,11,625.566
1990,12,649.380
1990,13,661.106
1990,14,664.402
1990,15,667.676
1990,16,669.707
1990,17,669.648
1990,18,668.071
1990,19,665.233
1990,20,660.482
1990,21,653.531
1990,22,648.473
1990,23,647.141
1990,24,647.740
1990,25,646.735
1990,26,644.962
1990,27,640.549
1990,28,632.249
1990,29,621.072
1990,30,609.987
1990,31,599.252
1990,32,585.502
1990,33,567.631
1990,34,547.566
1990,35,527.664
1990,36,506.662
1990,37,491.532
1990,38,485.731
1990,39,485.854
1990,40,485.253
1990,41,485.518
1990,42,482.965
1990,43,475.175
1990,44,464.123
1990,45,454.863
1990,46,447.174
1990,47,438.201
1990,48,427.285
1990,49,415.961
1990,50,404.990
1990,51,392.504
1990,52,389.151
1990,53,399.766
1990,54,418.740
1990,55,436.162
1990,56,454.632
1990,57,465.075
1990,58,462.163
1990,59,450.310
1990,60,439.200
1990,61,426.841
1990,62,414.629
1990,63,404.210
1990,64,394.408
1990,65,383.035
1990,66,371.301
1990,67,356.269
1990,68,336.504
1990,69,314.037
1990,70,291.721
1990,71,268.277
1990,72,249.840
1990,73,239.525
1990,74,234.267
1990,75,228.121
1990,76,222.568
1990,77,214.060
1990,78,200.326
1990,79,183.284
1990,80,167.247
1990,81,151.489
1990,82,136.053
1990,83,121.432
1990,84,107.493
1990,85,93.711
1990,86,80.325
1990,87,67.611
1990,88,55.694
1990,89,44.677
1990,90,34.366
1990,91,24.606
1990,92,16.878
1990,93,11.835
1990,94,8.773
1990,95,6.250
1990,96,4.454
1990,97,3.098
1990,98,1.859
1990,99,0.814
1990,100,1.408
1991,0,418.384
1991,1,415.670
1991,2,411.243
1991,3,414.249
1991,4,423.730
1991,5,438.726
1991,6,458.084
1991,7,480.654
1991,8,506.436
1991,9,534.853
1991,10,564.373
1991,11,594.491
1991,12,625.859
1991,13,649.462
1991,14,660.926
1991,15,663.931
1991,16,666.917
1991,17,668.651
1991,18,668.375
1991,19,666.705
1991,20,663.864
1991,21,659.109
1991,22,652.167
1991,23,647.162
1991,24,645.937
1991,25,646.678
1991,26,645.829
1991,27,644.232
1991,28,639.965
1991,29,631.758
1991,30,620.638
1991,31,609.614
1991,32,598.928
1991,33,585.247
1991,34,567.485
1991,35,547.543
1991,36,527.741
1991,37,506.824
1991,38,491.727
1991,39,485.885
1991,40,485.909
1991,41,485.204
1991,42,485.368
1991,43,482.643
1991,44,474.584
1991,45,463.207
1991,46,453.616
1991,47,445.557
1991,48,436.340
1991,49,425.386
1991,50,414.147
1991,51,403.224
1991,52,390.790
1991,53,387.387
1991,54,397.782
1991,55,416.423
1991,56,433.519
1991,57,451.650
1991,58,461.733
1991,59,458.450
1991,60,446.214
1991,61,434.708
1991,62,421.952
1991,63,409.314
1991,64,398.434
1991,65,388.156
1991,66,376.308
1991,67,364.079
1991,68,348.658
1991,69,328.670
1991,70,306.081
1991,71,283.639
1991,72,260.107
1991,73,241.461
1991,74,230.735
1991,75,224.948
1991,76,218.340
1991,77,212.377
1991,78,203.502
1991,79,189.472
1991,80,172.215
1991,81,156.020
1991,82,140.156
1991,83,124.814
1991,84,110.559
1991,85,97.190
1991,86,84.017
1991,87,71.259
1991,88,59.361
1991,89,48.495
1991,90,38.665
1991,91,29.537
1991,92,20.996
1991,93,14.268
1991,94,9.875
1991,95,7.214
1991,96,4.801
1991,97,3.223
1991,98,1.886
1991,99,0.832
1991,100,1.534
1992,0,414.162
1992,1,400.556
1992,2,411.289
1992,3,410.394
1992,4,415.693
1992,5,426.423
1992,6,441.826
1992,7,460.753
1992,8,482.057
1992,9,506.899
1992,10,535.284
1992,11,565.301
1992,12,595.497
1992,13,626.731
1992,14,650.145
1992,15,661.357
1992,16,664.075
1992,17,666.775
1992,18,668.216
1992,19,667.723
1992,20,665.957
1992,21,663.110
1992,22,658.349
1992,23,651.407
1992,24,646.451
1992,25,645.332
1992,26,646.216
1992,27,645.521
1992,28,644.099
1992,29,639.974
1992,30,631.852
1992,31,620.779
1992,32,609.805
1992,33,599.158
1992,34,585.534
1992,35,567.864
1992,36,548.026
1992,37,528.306
1992,38,507.455
1992,39,492.376
1992,40,486.488
1992,41,486.413
1992,42,485.604
1992,43,485.668
1992,44,482.768
1992,45,474.432
1992,46,462.722
1992,47,452.790
1992,48,444.354
1992,49,434.884
1992,50,423.884
1992,51,412.718
1992,52,401.835
1992,53,389.440
1992,54,385.982
1992,55,396.170
1992,56,414.495
1992,57,431.281
1992,58,449.090
1992,59,458.822
1992,60,455.166
1992,61,442.537
1992,62,430.625
1992,63,417.459
1992,64,404.386
1992,65,393.035
1992,66,382.271
1992,67,369.939
1992,68,357.204
1992,69,341.380
1992,70,321.151
1992,71,298.419
1992,72,275.831
1992,73,252.189
1992,74,233.317
1992,75,222.171
1992,76,215.850
1992,77,208.776
1992,78,202.396
1992,79,193.148
1992,80,178.809
1992,81,161.320
1992,82,144.953
1992,83,128.969
1992,84,113.707
1992,85,99.803
1992,86,86.993
1992,87,74.413
1992,88,62.273
1992,89,51.177
1992,90,41.351
1992,91,32.697
1992,92,24.744
1992,93,17.409
1992,94,11.676
1992,95,7.926
1992,96,5.664
1992,97,3.321
1992,98,1.876
1992,99,0.834
1992,100,1.671
1993,0,408.079
1993,1,396.524
1993,2,391.822
1993,3,407.163
1993,4,409.799
1993,5,417.394
1993,6,429.382
1993,7,445.201
1993,8,463.706
1993,9,483.760
1993,10,507.676
1993,11,536.048
1993,12,566.580
1993,13,596.872
1993,14,627.991
1993,15,651.232
1993,16,662.198
1993,17,664.630
1993,18,667.048
1993,19,668.193
1993,20,667.484
1993,21,665.624
1993,22,662.767
1993,23,657.996
1993,24,651.051
1993,25,646.141
1993,26,645.127
1993,27,646.155
1993,28,645.614
1993,29,644.365
1993,30,640.380
1993,31,632.338
1993,32,621.304
1993,33,610.374
1993,34,599.760
1993,35,586.184
1993,36,568.595
1993,37,548.850
1993,38,529.198
1993,39,508.400
1993,40,493.332
1993,41,487.392
1993,42,487.219
1993,43,486.306
1993,44,486.267
1993,45,483.192
1993,46,474.576
1993,47,462.523
1993,48,452.245
1993,49,443.426
1993,50,433.699
1993,51,422.643
1993,52,411.546
1993,53,400.694
1993,54,388.331
1993,55,384.817
1993,56,394.803
1993,57,412.823
1993,58,429.310
1993,59,446.808
1993,60,456.196
1993,61,452.164
1993,62,439.133
1993,63,426.809
1993,64,413.225
1993,65,399.707
1993,66,387.879
1993,67,376.624
1993,68,363.798
1993,69,350.549
1993,70,334.313
1993,71,313.831
1993,72,290.941
1993,73,268.193
1993,74,244.426
1993,75,225.317
1993,76,213.744
1993,77,206.885
1993,78,199.340
1993,79,192.539
1993,80,182.913
1993,81,168.256
1993,82,150.524
1993,83,133.974
1993,84,117.860
1993,85,102.670
1993,86,89.107
1993,87,76.849
1993,88,64.854
1993,89,53.323
1993,90,43.025
1993,91,34.232
1993,92,26.749
1993,93,19.964
1993,94,13.834
1993,95,9.090
1993,96,5.983
1993,97,4.116
1993,98,1.870
1993,99,0.845
1993,100,1.819
1994,0,400.964
1994,1,392.633
1994,2,389.278
1994,3,390.488
1994,4,403.095
1994,5,409.265
1994,6,419.160
1994,7,432.408
1994,8,448.645
1994,9,466.733
1994,10,485.536
1994,11,508.533
1994,12,536.893
1994,13,567.944
1994,14,598.338
1994,15,629.347
1994,16,652.418
1994,17,663.139
1994,18,665.288
1994,19,667.420
1994,20,668.273
1994,21,667.345
1994,22,665.389
1994,23,662.524
1994,24,657.742
1994,25,650.794
1994,26,645.928
1994,27,645.019
1994,28,646.191
1994,29,645.805
1994,30,644.727
1994,31,640.884
1994,32,632.919
1994,33,621.924
1994,34,611.035
1994,35,600.453
1994,36,586.923
1994,37,569.413
1994,38,549.757
1994,39,530.171
1994,40,509.422
1994,41,494.362
1994,42,488.372
1994,43,488.099
1994,44,487.080
1994,45,486.942
1994,46,483.690
1994,47,474.790
1994,48,462.393
1994,49,451.768
1994,50,442.565
1994,51,432.577
1994,52,421.466
1994,53,410.433
1994,54,399.614
1994,55,387.279
1994,56,383.710
1994,57,393.494
1994,58,411.212
1994,59,427.402
1994,60,444.591
1994,61,453.636
1994,62,449.227
1994,63,435.793
1994,64,423.053
1994,65,409.050
1994,66,395.085
1994,67,382.777
1994,68,371.027
1994,69,357.707
1994,70,343.941
1994,71,327.291
1994,72,306.551
1994,73,283.501
1994,74,260.588
1994,75,236.693
1994,76,217.344
1994,77,205.341
1994,78,197.944
1994,79,189.925
1994,80,182.703
1994,81,172.696
1994,82,157.717
1994,83,139.742
1994,84,123.007
1994,85,106.759
1994,86,91.637
1994,87,78.416
1994,88,66.706
1994,89,55.298
1994,90,44.374
1994,91,34.870
1994,92,27.112
1994,93,20.800
1994,94,15.184
1994,95,10.256
1994,96,6.504
1994,97,4.038
1994,98,2.568
1994,99,0.900
1994,100,1.977
1995,0,393.697
1995,1,388.435
1995,2,386.507
1995,3,387.743
1995,4,391.973
1995,5,399.027
1995,6,408.737
1995,7,420.933
1995,8,435.443
1995,9,452.099
1995,10,469.768
1995,11,487.322
1995,12,509.395
1995,13,537.746
1995,14,569.318
1995,15,599.814
1995,16,630.713
1995,17,653.613
1995,18,664.091
1995,19,665.953
1995,20,667.802
1995,21,668.361
1995,22,667.216
1995,23,665.163
1995,24,662.289
1995,25,657.497
1995,26,650.544
1995,27,645.724
1995,28,644.919
1995,29,646.235
1995,30,646.004
1995,31,645.100
1995,32,641.395
1995,33,633.510
1995,34,622.552
1995,35,611.706
1995,36,601.154
1995,37,587.671
1995,38,570.238
1995,39,550.672
1995,40,531.152
1995,41,510.453
1995,42,495.400
1995,43,489.358
1995,44,488.986
1995,45,487.863
1995,46,487.623
1995,47,484.194
1995,48,475.011
1995,49,462.270
1995,50,451.296
1995,51,441.708
1995,52,431.460
1995,53,420.293
1995,54,409.326
1995,55,398.536
1995,56,386.232
1995,57,382.606
1995,58,392.189
1995,59,409.605
1995,60,425.497
1995,61,442.378
1995,62,451.079
1995,63,446.294
1995,64,432.455
1995,65,419.299
1995,66,404.875
1995,67,390.463
1995,68,377.674
1995,69,365.430
1995,70,351.614
1995,71,337.331
1995,72,320.265
1995,73,299.268
1995,74,276.056
1995,75,252.979
1995,76,228.955
1995,77,209.366
1995,78,196.932
1995,79,188.995
1995,80,180.503
1995,81,172.859
1995,82,162.470
1995,83,147.171
1995,84,128.949
1995,85,112.029
1995,86,95.648
1995,87,80.595
1995,88,67.714
1995,89,56.554
1995,90,45.731
1995,91,35.416
1995,92,26.709
1995,93,19.984
1995,94,14.845
1995,95,10.398
1995,96,6.676
1995,97,3.914
1995,98,2.092
1995,99,1.019
1995,100,2.146
1996,0,384.515
1996,1,391.014
1996,2,387.454
1996,3,386.714
1996,4,388.702
1996,5,393.330
1996,6,400.427
1996,7,409.828
1996,8,421.834
1996,9,436.507
1996,10,453.525
1996,11,471.375
1996,12,489.012
1996,13,511.120
1996,14,539.445
1996,15,570.951
1996,16,601.372
1996,17,632.176
1996,18,655.020
1996,19,665.508
1996,20,667.424
1996,21,669.316
1996,22,669.919
1996,23,668.805
1996,24,666.760
1996,25,663.878
1996,26,659.083
1996,27,652.121
1996,28,647.314
1996,29,646.558
1996,30,647.943
1996,31,647.769
1996,32,646.911
1996,33,643.230
1996,34,635.330
1996,35,624.327
1996,36,613.427
1996,37,602.808
1996,38,589.226
1996,39,571.651
1996,40,551.913
1996,41,532.211
1996,42,511.319
1996,43,496.053
1996,44,489.771
1996,45,489.145
1996,46,487.762
1996,47,487.252
1996,48,483.581
1996,49,474.204
1996,50,461.301
1996,51,450.148
1996,52,440.364
1996,53,429.939
1996,54,418.630
1996,55,407.527
1996,56,396.586
1996,57,384.131
1996,58,380.255
1996,59,389.444
1996,60,406.369
1996,61,421.761
1996,62,438.112
1996,63,446.309
1996,64,441.082
1996,65,426.833
1996,66,413.253
1996,67,398.428
1996,68,383.519
1996,69,370.080
1996,70,357.107
1996,71,342.589
1996,72,327.578
1996,73,309.986
1996,74,288.779
1996,75,265.555
1996,76,242.480
1996,77,218.562
1996,78,198.862
1996,79,185.938
1996,80,177.315
1996,81,168.263
1996,82,160.097
1996,83,149.522
1996,84,134.543
1996,85,117.001
1996,86,100.767
1996,87,85.113
1996,88,70.934
1996,89,59.085
1996,90,49.055
1996,91,39.386
1996,92,30.258
1996,93,22.616
1996,94,16.752
1996,95,12.316
1996,96,7.264
1996,97,4.327
1996,98,2.379
1996,99,1.215
1996,100,2.326
1997,0,374.715
1997,1,375.557
1997,2,388.516
1997,3,386.650
1997,4,387.093
1997,5,389.831
1997,6,394.856
1997,7,402.001
1997,8,411.098
1997,9,422.919
