year,age,population
1990,0,331.264
1990,1,346.198
1990,2,358.478
1990,3,368.276
1990,4,375.762
1990,5,381.109
1990,6,384.484
1990,7,386.063
1990,8,386.015
1990,9,384.510
1990,10,381.891
1990,11,378.497
1990,12,373.652
1990,13,367.193
1990,14,359.792
1990,15,351.942
1990,16,343.106
1990,17,336.965
1990,18,335.258
1990,19,336.226
1990,20,336.571
1990,21,337.205
1990,22,335.616
1990,23,330.306
1990,24,322.624
1990,25,315.170
1990,26,307.129
1990,27,300.427
1990,28,296.193
1990,29,293.262
1990,30,289.736
1990,31,286.470
1990,32,280.457
1990,33,270.164
1990,34,257.272
1990,35,244.726
1990,36,231.616
1990,37,221.004
1990,38,214.605
1990,39,210.830
1990,40,206.588
1990,41,202.762
1990,42,197.316
1990,43,189.010
1990,44,179.035
1990,45,169.722
1990,46,160.486
1990,47,152.651
1990,48,147.074
1990,49,143.018
1990,50,138.882
1990,51,134.979
1990,52,131.066
1990,53,126.865
1990,54,122.547
1990,55,118.516
1990,56,114.621
1990,57,111.007
1990,58,107.765
1990,59,104.737
1990,60,101.700
1990,61,98.716
1990,62,95.412
1990,63,91.588
1990,64,87.405
1990,65,83.273
1990,66,79.171
1990,67,74.879
1990,68,70.350
1990,69,65.696
1990,70,61.066
1990,71,56.418
1990,72,52.060
1990,73,48.159
1990,74,44.587
1990,75,41.057
1990,76,37.640
1990,77,34.283
1990,78,30.929
1990,79,27.631
1990,80,24.511
1990,81,21.559
1990,82,18.739
1990,83,16.047
1990,84,13.506
1990,85,11.140
1990,86,8.922
1990,87,7.019
1990,88,5.507
1990,89,4.310
1990,90,3.250
1990,91,2.338
1990,92,1.625
1990,93,1.115
1990,94,0.766
1990,95,0.534
1990,96,0.419
1990,97,0.329
1990,98,0.212
1990,99,0.090
1990,100,0.148
1991,0,332.676
1991,1,333.998
1991,2,346.885
1991,3,357.895
1991,4,367.072
1991,5,374.449
1991,6,380.201
1991,7,384.489
1991,8,386.713
1991,9,386.650
1991,10,384.728
1991,11,381.940
1991,12,378.502
1991,13,373.560
1991,14,366.927
1991,15,359.302
1991,16,351.229
1991,17,342.173
1991,18,335.811
1991,19,333.897
1991,20,334.670
1991,21,334.827
1991,22,335.276
1991,23,333.555
1991,24,328.192
1991,25,320.511
1991,26,313.069
1991,27,305.055
1991,28,298.400
1991,29,294.227
1991,30,291.370
1991,31,287.931
1991,32,284.759
1991,33,278.848
1991,34,268.663
1991,35,255.880
1991,36,243.444
1991,37,230.446
1991,38,219.921
1991,39,213.567
1991,40,209.809
1991,41,205.584
1991,42,201.767
1991,43,196.328
