year,age,population
1990,0,91.607
1990,1,86.507
1990,2,81.952
1990,3,77.893
1990,4,74.282
1990,5,71.070
1990,6,68.208
1990,7,65.649
1990,8,63.343
1990,9,61.241
1990,10,59.366
1990,11,57.733
1990,12,55.956
1990,13,53.850
1990,14,51.572
1990,15,49.436
1990,16,47.353
1990,17,45.484
1990,18,43.936
1990,19,42.600
1990,20,41.254
1990,21,39.932
1990,22,38.583
1990,23,37.154
1990,24,35.665
1990,25,34.234
1990,26,32.889
1990,27,31.341
1990,28,29.472
1990,29,27.436
1990,30,25.484
1990,31,23.549
1990,32,21.922
1990,33,20.768
1990,34,19.954
1990,35,19.146
1990,36,18.378
1990,37,17.760
1990,38,17.298
1990,39,16.943
1990,40,16.644
1990,41,16.435
1990,42,16.067
1990,43,15.426
1990,44,14.618
1990,45,13.859
1990,46,13.095
1990,47,12.435
1990,48,11.948
1990,49,11.574
1990,50,11.177
1990,51,10.792
1990,52,10.354
1990,53,9.813
1990,54,9.216
1990,55,8.647
1990,56,8.093
1990,57,7.559
1990,58,7.061
1990,59,6.593
1990,60,6.133
1990,61,5.675
1990,62,5.277
1990,63,4.963
1990,64,4.703
1990,65,4.455
1990,66,4.229
1990,67,3.976
1990,68,3.672
1990,69,3.336
1990,70,3.024
1990,71,2.723
1990,72,2.448
1990,73,2.213
1990,74,2.009
1990,75,1.809
1990,76,1.620
1990,77,1.445
1990,78,1.284
1990,79,1.134
1990,80,0.998
1990,81,0.875
1990,82,0.756
1990,83,0.635
1990,84,0.520
1990,85,0.415
1990,86,0.317
1990,87,0.238
1990,88,0.180
1990,89,0.139
1990,90,0.105
1990,91,0.078
1990,92,0.056
1990,93,0.038
1990,94,0.024
1990,95,0.016
1990,96,0.011
1990,97,0.010
1990,98,0.006
1990,99,0.002
1990,100,0.003
1991,0,96.354
1991,1,91.236
1991,2,86.343
1991,3,81.926
1991,4,77.945
1991,5,74.361
1991,6,71.129
1991,7,68.201
1991,8,65.591
1991,9,63.288
1991,10,61.216
1991,11,59.349
1991,12,57.709
1991,13,55.927
1991,14,53.818
1991,15,51.538
1991,16,49.400
1991,17,47.312
1991,18,45.441
1991,19,43.891
1991,20,42.554
1991,21,41.207
1991,22,39.884
1991,23,38.535
1991,24,37.106
1991,25,35.617
1991,26,34.187
1991,27,32.842
1991,28,31.296
1991,29,29.428
1991,30,27.395
1991,31,25.446
1991,32,23.512
1991,33,21.886
1991,34,20.732
1991,35,19.917
1991,36,19.108
1991,37,18.338
1991,38,17.717
1991,39,17.252
1991,40,16.893
1991,41,16.589
1991,42,16.375
1991,43,16.004
1991,44,15.359
1991,45,14.550
1991,46,13.790
1991,47,13.023
1991,48,12.361
1991,49,11.869
1991,50,11.490
1991,51,11.088
1991,52,10.697
1991,53,10.255
1991,54,9.712
1991,55,9.111
1991,56,8.540
1991,57,7.982
1991,58,7.447
1991,59,6.946
1991,60,6.477
1991,61,6.015
1991,62,5.557
1991,63,5.156
1991,64,4.837
1991,65,4.573
1991,66,4.319
1991,67,4.089
1991,68,3.832
1991,69,3.527
1991,70,3.193
1991,71,2.881
1991,72,2.582
1991,73,2.309
1991,74,2.076
1991,75,1.874
1991,76,1.678
1991,77,1.493
1991,78,1.322
1991,79,1.167
1991,80,1.022
1991,81,0.894
1991,82,0.776
1991,83,0.666
1991,84,0.555
1991,85,0.451
1991,86,0.358
1991,87,0.272
1991,88,0.202
1991,89,0.151
1991,90,0.116
1991,91,0.087
1991,92,0.064
1991,93,0.047
1991,94,0.032
1991,95,0.019
1991,96,0.012
1991,97,0.009
1991,98,0.006
1991,99,0.002
1991,100,0.003
1992,0,101.426
1992,1,95.600
1992,2,90.985
1992,3,86.295
1992,4,82.007
1992,5,78.098
1992,6,74.537
1992,7,71.283
1992,8,68.282
1992,9,65.620
1992,10,63.315
1992,11,61.273
1992,12,59.408
1992,13,57.762
1992,14,55.972
1992,15,53.857
1992,16,51.572
1992,17,49.427
1992,18,47.335
1992,19,45.458
1992,20,43.904
1992,21,42.563
1992,22,41.214
1992,23,39.889
1992,24,38.537
1992,25,37.107
1992,26,35.616
1992,27,34.185
1992,28,32.839
1992,29,31.291
1992,30,29.424
1992,31,27.390
1992,32,25.440
1992,33,23.507
1992,34,21.879
1992,35,20.724
1992,36,19.906
1992,37,19.094
1992,38,18.322
1992,39,17.698
1992,40,17.229
1992,41,16.865
1992,42,16.557
1992,43,16.337
1992,44,15.961
1992,45,15.314
1992,46,14.501
1992,47,13.739
1992,48,12.969
1992,49,12.302
1992,50,11.807
1992,51,11.421
1992,52,11.013
1992,53,10.618
1992,54,10.170
1992,55,9.623
1992,56,9.019
1992,57,8.443
1992,58,7.884
1992,59,7.344
1992,60,6.842
1992,61,6.369
1992,62,5.906
1992,63,5.445
1992,64,5.043
1992,65,4.719
1992,66,4.448
1992,67,4.190
1992,68,3.954
1992,69,3.695
1992,70,3.388
1992,71,3.053
1992,72,2.743
1992,73,2.445
1992,74,2.173
1992,75,1.942
1992,76,1.744
1992,77,1.549
1992,78,1.367
1992,79,1.202
1992,80,1.051
1992,81,0.914
1992,82,0.790
1992,83,0.680
1992,84,0.576
1992,85,0.477
1992,86,0.383
1992,87,0.301
1992,88,0.227
1992,89,0.166
1992,90,0.123
1992,91,0.093
1992,92,0.069
1992,93,0.051
1992,94,0.038
1992,95,0.025
1992,96,0.015
1992,97,0.011
1992,98,0.006
1992,99,0.002
1992,100,0.003
1993,0,106.409
1993,1,100.506
1993,2,95.100
1993,3,90.853
1993,4,86.357
1993,5,82.196
1993,6,78.352
1993,7,74.810
1993,8,71.527
1993,9,68.453
1993,10,65.735
1993,11,63.424
1993,12,61.408
1993,13,59.546
1993,14,57.889
1993,15,56.089
1993,16,53.965
1993,17,51.673
1993,18,49.520
1993,19,47.418
1993,20,45.534
1993,21,43.974
1993,22,42.629
1993,23,41.274
1993,24,39.945
1993,25,38.589
1993,26,37.156
1993,27,35.662
1993,28,34.227
1993,29,32.879
1993,30,31.327
1993,31,29.457
1993,32,27.421
1993,33,25.468
1993,34,23.531
1993,35,21.901
1993,36,20.743
1993,37,19.920
1993,38,19.106
1993,39,18.331
1993,40,17.701
1993,41,17.228
1993,42,16.859
1993,43,16.546
1993,44,16.320
1993,45,15.939
1993,46,15.289
1993,47,14.471
1993,48,13.706
1993,49,12.931
1993,50,12.261
1993,51,11.760
1993,52,11.366
1993,53,10.953
1993,54,10.553
1993,55,10.098
1993,56,9.547
1993,57,8.938
1993,58,8.359
1993,59,7.794
1993,60,7.252
1993,61,6.746
1993,62,6.270
1993,63,5.805
1993,64,5.341
1993,65,4.936
1993,66,4.607
1993,67,4.330
1993,68,4.066
1993,69,3.825
1993,70,3.562
1993,71,3.253
1993,72,2.919
1993,73,2.607
1993,74,2.311
1993,75,2.041
1993,76,1.812
1993,77,1.614
1993,78,1.423
1993,79,1.244
1993,80,1.083
1993,81,0.938
1993,82,0.805
1993,83,0.688
1993,84,0.584
1993,85,0.488
1993,86,0.399
1993,87,0.316
1993,88,0.245
1993,89,0.182
1993,90,0.131
1993,91,0.095
1993,92,0.070
1993,93,0.051
1993,94,0.038
1993,95,0.029
1993,96,0.018
1993,97,0.011
1993,98,0.006
1993,99,0.002
1993,100,0.004
1994,0,110.796
1994,1,105.157
1994,2,99.877
1994,3,94.940
1994,4,90.854
1994,5,86.548
1994,6,82.505
1994,7,78.722
1994,8,75.194
1994,9,71.878
1994,10,68.725
1994,11,65.945
1994,12,63.628
1994,13,61.634
1994,14,59.771
1994,15,58.101
1994,16,56.290
1994,17,54.153
1994,18,51.850
1994,19,49.686
1994,20,47.571
1994,21,45.677
1994,22,44.108
1994,23,42.757
1994,24,41.396
1994,25,40.061
1994,26,38.698
1994,27,37.260
1994,28,35.760
1994,29,34.319
1994,30,32.967
1994,31,31.410
1994,32,29.534
1994,33,27.492
1994,34,25.533
1994,35,23.591
1994,36,21.954
1994,37,20.792
1994,38,19.965
1994,39,19.145
