year,age,population
1990,0,19284.361
1990,1,18435.121
1990,2,17653.196
1990,3,16933.201
1990,4,16269.679
1990,5,15657.250
1990,6,15090.482
1990,7,14563.938
1990,8,14072.242
1990,9,13609.940
1990,10,13177.252
1990,11,12774.355
1990,12,12367.760
1990,13,11940.837
1990,14,11504.984
1990,15,11089.718
1990,16,10690.818
1990,17,10296.824
1990,18,9905.495
1990,19,9520.678
1990,20,9147.423
1990,21,8783.499
1990,22,8441.204
1990,23,8126.749
1990,24,7834.307
1990,25,7551.040
1990,26,7278.572
1990,27,7017.221
1990,28,6765.552
1990,29,6523.225
1990,30,6291.432
1990,31,6070.058
1990,32,5853.650
1990,33,5639.663
1990,34,5429.934
1990,35,5228.596
1990,36,5034.411
1990,37,4848.911
1990,38,4673.161
1990,39,4505.867
1990,40,4344.045
1990,41,4187.604
1990,42,4037.796
1990,43,3894.765
1990,44,3757.417
1990,45,3624.992
1990,46,3498.172
1990,47,3371.408
1990,48,3242.070
1990,49,3112.603
1990,50,2987.175
1990,51,2863.717
1990,52,2748.937
1990,53,2646.262
1990,54,2551.671
1990,55,2458.255
1990,56,2367.936
1990,57,2273.747
1990,58,2171.731
1990,59,2065.242
1990,60,1961.476
1990,61,1858.788
1990,62,1759.194
1990,63,1664.363
1990,64,1572.893
1990,65,1482.024
1990,66,1392.692
1990,67,1302.837
1990,68,1211.221
1990,69,1119.236
1990,70,1029.765
1990,71,942.686
1990,72,857.463
1990,73,774.267
1990,74,693.635
1990,75,616.109
1990,76,541.752
1990,77,472.118
1990,78,408.096
1990,79,349.335
1990,80,294.356
1990,81,243.123
1990,82,198.161
1990,83,160.499
1990,84,128.969
1990,85,101.032
1990,86,76.644
1990,87,56.824
1990,88,41.641
1990,89,30.309
1990,90,21.696
1990,91,15.817
1990,92,11.266
1990,93,7.288
1990,94,4.017
1990,95,2.582
1990,96,1.999
1990,97,1.535
1990,98,0.936
1990,99,0.306
1990,100,0.590
1991,0,19627.556
1991,1,18924.081
1991,2,18133.615
1991,3,17404.638
1991,4,16731.666
1991,5,16109.110
1991,6,15532.808
1991,7,14998.549
1991,8,14494.040
1991,9,14011.053
1991,10,13548.078
1991,11,13112.248
1991,12,12702.546
1991,13,12290.679
1991,14,11863.373
1991,15,11430.048
1991,16,11014.836
1991,17,10614.492
1991,18,10220.018
1991,19,9829.824
1991,20,9447.190
1991,21,9075.944
1991,22,8714.116
1991,23,8373.661
1991,24,8060.481
1991,25,7769.017
1991,26,7486.851
1991,27,7215.479
1991,28,6955.448
1991,29,6705.464
1991,30,6465.033
1991,31,6235.048
1991,32,6015.530
1991,33,5800.548
1991,34,5587.351
1991,35,5377.998
1991,36,5177.060
1991,37,4983.169
1991,38,4798.190
1991,39,4623.406
1991,40,4457.330
1991,41,4296.577
1991,42,4141.096
1991,43,3992.152
1991,44,3849.816
1991,45,3713.000
1991,46,3581.031
1991,47,3454.597
1991,48,3327.932
1991,49,3198.317
1991,50,3068.280
1991,51,2942.174
1991,52,2817.883
1991,53,2702.248
1991,54,2598.736
1991,55,2503.291
1991,56,2408.933
1991,57,2317.661
1991,58,2222.194
1991,59,2118.425
1991,60,2009.896
1991,61,1904.202
1991,62,1799.636
1991,63,1698.408
1991,64,1602.333
1991,65,1509.932
1991,66,1418.304
1991,67,1328.394
1991,68,1238.296
1991,69,1146.806
1991,70,1055.313
1991,71,966.615
1991,72,880.580
1991,73,796.856
1991,74,715.684
1991,75,637.517
1991,76,562.668
1991,77,491.139
1991,78,424.844
1991,79,364.771
1991,80,310.367
1991,81,259.763
1991,82,212.930
1991,83,172.207
1991,84,138.448
1991,85,110.533
1991,86,86.113
1991,87,65.162
1991,88,48.210
1991,89,35.097
1991,90,25.240
1991,91,18.010
1991,92,13.150
1991,93,9.386
1991,94,6.061
1991,95,3.285
1991,96,2.093
1991,97,1.600
1991,98,0.978
1991,99,0.319
1991,100,0.612
1992,0,19965.244
1992,1,19134.702
1992,2,18580.768
1992,3,17848.178
1992,4,17171.381
1992,5,16544.730
1992,6,15962.518
1992,7,15421.796
1992,8,14919.563
1992,9,14436.649
1992,10,13961.982
1992,11,13497.979
1992,12,13058.670
1992,13,12641.884
1992,14,12224.446
1992,15,11796.400
1992,16,11365.257
1992,17,10949.746
1992,18,10547.639
1992,19,10152.334
1992,20,9762.917
1992,21,9382.075
1992,22,9012.458
1992,23,8652.351
1992,24,8313.390
1992,25,8001.207
1992,26,7710.428
1992,27,7429.110
1992,28,7158.570
1992,29,6899.620
1992,30,6651.120
1992,31,6412.355
1992,32,6183.992
1992,33,5966.125
1992,34,5752.410
1992,35,5539.847
1992,36,5330.742
1992,37,5130.074
1992,38,4936.347
1992,39,4751.781
1992,40,4577.802
1992,41,4412.748
1992,42,4252.890
1992,43,4098.220
1992,44,3949.998
1992,45,3808.248
1992,46,3671.916
1992,47,3540.334
1992,48,3414.230
1992,49,3287.596
1992,50,3157.599
1992,51,3026.898
1992,52,2900.025
1992,53,2774.815
1992,54,2658.215
1992,55,2553.791
1992,56,2457.389
1992,57,2361.982
1992,58,2269.678
1992,59,2172.833
1992,60,2067.203
1992,61,1956.554
1992,62,1848.823
1992,63,1742.283
1992,64,1639.325
1992,65,1541.920
1992,66,1448.527
1992,67,1356.043
1992,68,1265.498
1992,69,1175.065
1992,70,1083.621
1992,71,992.518
1992,72,904.487
1992,73,819.416
1992,74,737.109
1992,75,657.872
1992,76,582.106
1992,77,509.855
1992,78,441.094
1992,79,378.067
1992,80,321.879
1992,81,271.774
1992,82,225.472
1992,83,182.992
1992,84,146.456
1992,85,116.570
1992,86,92.239
1992,87,71.289
1992,88,53.772
1992,89,39.648
1992,90,28.594
1992,91,20.210
1992,92,14.338
1992,93,10.500
1992,94,7.526
1992,95,4.831
1992,96,2.566
1992,97,1.671
1992,98,1.021
1992,99,0.344
1992,100,0.641
1993,0,20321.158
1993,1,19499.483
1993,2,18741.657
1993,3,18248.806
1993,4,17573.512
1993,5,16948.362
1993,6,16367.585
1993,7,15825.321
1993,8,15319.813
1993,9,14849.328
1993,10,14387.728
1993,11,13921.094
1993,12,13455.778
1993,13,13012.759
1993,14,12588.649
1993,15,12165.404
1993,16,11736.379
1993,17,11307.143
1993,18,10891.096
1993,19,10486.977
1993,20,10090.604
1993,21,9701.707
1993,22,9322.435
1993,23,8954.207
1993,24,8595.608
1993,25,8257.930
1993,26,7946.554
1993,27,7656.303
1993,28,7375.659
1993,29,7105.815
1993,30,6847.810
1993,31,6600.637
1993,32,6363.430
1993,33,6136.560
1993,34,5920.236
1993,35,5707.675
1993,36,5495.628
1993,37,5286.656
1993,38,5086.149
1993,39,4892.492
1993,40,4708.217
1993,41,4534.933
1993,42,4370.805
1993,43,4211.738
1993,44,4057.756
1993,45,3910.148
1993,46,3768.927
1993,47,3632.972
1993,48,3501.711
1993,49,3375.862
1993,50,3249.185
1993,51,3118.748
1993,52,2987.320
1993,53,2859.614
1993,54,2733.426
1993,55,2615.817
1993,56,2510.394
1993,57,2412.997
1993,58,2316.491
1993,59,2223.084
1993,60,2124.803
1993,61,2017.262
1993,62,1904.412
1993,63,1794.591
1993,64,1686.007
1993,65,1581.261
1993,66,1482.467
1993,67,1388.024
1993,68,1294.627
1993,69,1203.372
1993,70,1112.557
1993,71,1021.093
1993,72,930.314
1993,73,842.897
1993,74,758.728
1993,75,677.766
1993,76,600.431
1993,77,527.023
1993,78,457.338
1993,79,391.301
1993,80,331.508
1993,81,279.180
1993,82,233.335
1993,83,191.317
1993,84,153.157
1993,85,120.786
1993,86,94.751
1993,87,73.986
1993,88,56.515
1993,89,42.400
1993,90,31.110
1993,91,22.101
1993,92,15.178
1993,93,10.687
1993,94,7.855
1993,95,5.660
1993,96,3.615
1993,97,1.840
1993,98,1.070
1993,99,0.356
1993,100,0.687
1994,0,20723.451
1994,1,19898.512
1994,2,19138.550
1994,3,18437.948
1994,4,17921.015
1994,5,17302.892
1994,6,16729.287
1994,7,16194.263
1994,8,15691.828
1994,9,15221.448
1994,10,14782.565
1994,11,14342.168
1994,12,13883.441
1994,13,13416.685
1994,14,12969.812
1994,15,12538.257
1994,16,12109.072
1994,17,11678.915
1994,18,11251.436
1994,19,10834.695
1994,20,10428.421
1994,21,10030.862
1994,22,9642.393
1994,23,9264.601
1994,24,8897.711
1994,25,8540.537
1994,26,8204.095
1994,27,7893.454
1994,28,7603.691
1994,29,7323.690
1994,30,7054.496
1994,31,6797.380
1994,32,6551.504
1994,33,6315.800
1994,34,6090.378
1994,35,5875.561
1994,36,5664.100
1994,37,5452.506
1994,38,5243.584
1994,39,5043.161
1994,40,4849.502
1994,41,4665.457
1994,42,4492.838
1994,43,4329.641
1994,44,4171.351
1994,45,4018.068
1994,46,3871.069
1994,47,3730.302
1994,48,3594.687
1994,49,3463.686
1994,50,3338.027
1994,51,3211.265
1994,52,3080.362
1994,53,2948.169
1994,54,2819.612
1994,55,2692.425
1994,56,2573.774
1994,57,2467.370
1994,58,2368.954
1994,59,2271.348
1994,60,2176.828
1994,61,2077.117
1994,62,1967.638
