year,age,population
1990,0,751.972
1990,1,724.325
1990,2,698.901
1990,3,675.484
1990,4,653.862
1990,5,633.819
1990,6,615.142
1990,7,597.619
1990,8,581.032
1990,9,565.170
1990,10,550.092
1990,11,535.854
1990,12,520.881
1990,13,504.412
1990,14,487.048
1990,15,470.205
1990,16,453.655
1990,17,437.248
1990,18,421.068
1990,19,405.139
1990,20,389.424
1990,21,373.972
1990,22,358.906
1990,23,344.292
1990,24,330.140
1990,25,316.375
1990,26,302.994
1990,27,290.289
1990,28,278.397
1990,29,267.205
1990,30,256.415
1990,31,246.042
1990,32,236.236
1990,33,227.029
1990,34,218.337
1990,35,210.020
1990,36,202.086
1990,37,194.402
1990,38,186.870
1990,39,179.531
1990,40,172.517
1990,41,165.816
1990,42,159.246
1990,43,152.731
1990,44,146.342
1990,45,140.196
1990,46,134.235
1990,47,128.652
1990,48,123.543
1990,49,118.795
1990,50,114.197
1990,51,109.782
1990,52,105.450
1990,53,101.127
1990,54,96.854
1990,55,92.733
1990,56,88.734
1990,57,84.844
1990,58,81.066
1990,59,77.382
1990,60,73.775
1990,61,70.244
1990,62,66.749
1990,63,63.268
1990,64,59.809
1990,65,56.424
1990,66,53.116
1990,67,49.807
1990,68,46.473
1990,69,43.153
1990,70,39.913
1990,71,36.752
1990,72,33.681
1990,73,30.717
1990,74,27.858
1990,75,25.104
1990,76,22.454
1990,77,19.945
1990,78,17.585
1990,79,15.374
1990,80,13.296
1990,81,11.351
1990,82,9.578
1990,83,7.998
1990,84,6.595
1990,85,5.321
1990,86,4.170
1990,87,3.207
1990,88,2.457
1990,89,1.880
1990,90,1.404
1990,91,1.029
1990,92,0.733
1990,93,0.497
1990,94,0.317
1990,95,0.208
1990,96,0.160
1990,97,0.124
1990,98,0.075
1990,99,0.024
1990,100,0.047
1991,0,785.516
1991,1,752.600
1991,2,725.421
1991,3,700.596
1991,4,677.867
1991,5,656.974
1991,6,637.724
1991,7,619.928
1991,8,602.980
1991,9,586.485
1991,10,570.387
1991,11,555.099
1991,12,540.613
1991,13,525.390
1991,14,508.720
1991,15,491.181
1991,16,474.113
1991,17,457.301
1991,18,440.652
1991,19,424.269
1991,20,408.166
1991,21,392.270
1991,22,376.637
1991,23,361.407
1991,24,346.651
1991,25,332.375
1991,26,318.490
1991,27,304.997
1991,28,292.181
1991,29,280.179
1991,30,268.876
1991,31,257.981
1991,32,247.508
1991,33,237.605
1991,34,228.300
1991,35,219.513
1991,36,211.102
1991,37,203.077
1991,38,195.308
1991,39,187.698
1991,40,180.287
1991,41,173.201
1991,42,166.428
1991,43,159.788
1991,44,153.199
1991,45,146.736
1991,46,140.517
1991,47,134.485
1991,48,128.824
1991,49,123.622
1991,50,118.778
1991,51,114.080
1991,52,109.564
1991,53,105.143
1991,54,100.755
1991,55,96.427
1991,56,92.250
1991,57,88.197
1991,58,84.236
1991,59,80.356
1991,60,76.553
1991,61,72.832
1991,62,69.188
1991,63,65.586
1991,64,62.010
1991,65,58.465
1991,66,54.998
1991,67,51.614
1991,68,48.234
1991,69,44.832
1991,70,41.450
1991,71,38.160
1991,72,34.957
1991,73,31.867
1991,74,28.911
1991,75,26.085
1991,76,23.372
1991,77,20.772
1991,78,18.332
1991,79,16.059
1991,80,13.951
1991,81,11.982
1991,82,10.150
1991,83,8.496
1991,84,7.044
1991,85,5.770
1991,86,4.626
1991,87,3.602
1991,88,2.753
1991,89,2.091
1991,90,1.585
1991,91,1.176
1991,92,0.863
1991,93,0.616
1991,94,0.416
1991,95,0.258
1991,96,0.167
1991,97,0.130
1991,98,0.079
1991,99,0.025
1991,100,0.050
1992,0,828.178
1992,1,791.822
1992,2,755.405
1992,3,728.615
1992,4,704.320
1992,5,682.215
1992,6,661.991
1992,7,643.480
1992,8,626.513
1992,9,610.096
1992,10,593.643
1992,11,577.263
1992,12,561.719
1992,13,546.945
1992,14,531.426
1992,15,514.506
1992,16,496.743
1992,17,479.397
1992,18,462.276
1992,19,445.336
1992,20,428.703
1992,21,412.378
1992,22,396.256
1992,23,380.396
1992,24,364.957
1992,25,350.017
1992,26,335.574
1992,27,321.531
1992,28,307.884
1992,29,294.923
1992,30,282.774
1992,31,271.326
1992,32,260.296
1992,33,249.692
1992,34,239.664
1992,35,230.234
1992,36,221.324
1992,37,212.797
1992,38,204.658
1992,39,196.779
1992,40,189.071
1992,41,181.565
1992,42,174.387
1992,43,167.523
1992,44,160.792
1992,45,154.111
1992,46,147.555
1992,47,141.245
1992,48,135.125
1992,49,129.367
1992,50,124.060
1992,51,119.103
1992,52,114.294
1992,53,109.662
1992,54,105.140
1992,55,100.672
1992,56,96.279
1992,57,92.033
1992,58,87.914
1992,59,83.870
1992,60,79.877
1992,61,75.944
1992,62,72.097
1992,63,68.329
1992,64,64.611
1992,65,60.929
1992,66,57.288
1992,67,53.729
1992,68,50.258
1992,69,46.798
1992,70,43.318
1992,71,39.863
1992,72,36.513
1992,73,33.260
1992,74,30.141
1992,75,27.186
1992,76,24.384
1992,77,21.704
1992,78,19.148
1992,79,16.768
1992,80,14.577
1992,81,12.566
1992,82,10.699
1992,83,8.976
1992,84,7.438
1992,85,6.108
1992,86,4.961
1992,87,3.941
1992,88,3.045
1992,89,2.305
1992,90,1.732
1992,91,1.294
1992,92,0.950
1992,93,0.699
1992,94,0.501
1992,95,0.335
1992,96,0.201
1992,97,0.134
1992,98,0.082
1992,99,0.026
1992,100,0.053
1993,0,873.727
1993,1,832.342
1993,2,795.574
1993,3,758.274
1993,4,731.874
1993,5,708.111
1993,6,686.630
1993,7,667.077
1993,8,649.307
1993,9,633.175
1993,10,617.286
1993,11,600.877
1993,12,584.211
1993,13,568.410
1993,14,553.345
1993,15,537.527
1993,16,520.356
1993,17,502.364
1993,18,484.742
1993,19,467.305
1993,20,450.074
1993,21,433.188
1993,22,416.639
1993,23,400.287
1993,24,384.199
1993,25,368.549
1993,26,353.424
1993,27,338.812
1993,28,324.607
1993,29,310.807
1993,30,297.698
1993,31,285.401
1993,32,273.807
1993,33,262.639
1993,34,251.905
1993,35,241.748
1993,36,232.194
1993,37,223.159
1993,38,214.514
1993,39,206.260
1993,40,198.272
1993,41,190.463
1993,42,182.862
1993,43,175.590
1993,44,168.635
1993,45,161.811
1993,46,155.038
1993,47,148.389
1993,48,141.986
1993,49,135.776
1993,50,129.923
1993,51,124.508
1993,52,119.438
1993,53,114.517
1993,54,109.768
1993,55,105.143
1993,56,100.596
1993,57,96.136
1993,58,91.822
1993,59,87.635
1993,60,83.508
1993,61,79.401
1993,62,75.337
1993,63,71.364
1993,64,67.472
1993,65,63.635
1993,66,59.846
1993,67,56.110
1993,68,52.456
1993,69,48.900
1993,70,45.357
1993,71,41.799
1993,72,38.272
1993,73,34.861
1993,74,31.556
1993,75,28.410
1993,76,25.454
1993,77,22.677
1993,78,20.029
1993,79,17.517
1993,80,15.198
1993,81,13.089
1993,82,11.175
1993,83,9.411
1993,84,7.797
1993,85,6.374
1993,86,5.169
1993,87,4.147
1993,88,3.255
1993,89,2.484
1993,90,1.856
1993,91,1.370
1993,92,1.002
1993,93,0.724
1993,94,0.534
1993,95,0.385
1993,96,0.254
1993,97,0.143
1993,98,0.084
1993,99,0.026
1993,100,0.056
1994,0,913.824
1994,1,868.731
1994,2,828.759
1994,3,793.443
1994,4,759.131
1994,5,733.192
1994,6,710.023
1994,7,689.226
1994,8,670.399
1994,9,653.419
1994,10,638.164
1994,11,622.850
1994,12,606.526
1994,13,589.619
1994,14,573.603
1994,15,558.284
1994,16,542.211
1994,17,524.833
1994,18,506.662
1994,19,488.806
1994,20,471.102
1994,21,453.623
1994,22,436.530
1994,23,419.799
1994,24,403.263
1994,25,386.987
1994,26,371.168
1994,27,355.896
1994,28,341.155
1994,29,326.826
1994,30,312.909
1994,31,299.685
1994,32,287.275
1994,33,275.564
1994,34,264.289
1994,35,253.451
1994,36,243.193
1994,37,233.539
1994,38,224.406
1994,39,215.663
1994,40,207.317
1994,41,199.238
1994,42,191.352
1994,43,183.675
1994,44,176.328
1994,45,169.300
1994,46,162.403
1994,47,155.554
1994,48,148.828
1994,49,142.351
1994,50,136.068
1994,51,130.134
1994,52,124.625
1994,53,119.456
1994,54,114.434
1994,55,109.582
1994,56,104.867
1994,57,100.252
1994,58,95.738
1994,59,91.364
1994,60,87.124
1994,61,82.921
1994,62,78.714
1994,63,74.527
1994,64,70.439
1994,65,66.433
1994,66,62.488
1994,67,58.602
1994,68,54.779
1994,69,51.041
1994,70,47.408
1994,71,43.793
1994,72,40.165
1994,73,36.575
1994,74,33.112
1994,75,29.766
1994,76,26.599
1994,77,23.650
1994,78,20.905
1994,79,18.297
1994,80,15.836
1994,81,13.583
1994,82,11.563
