year,age,population
1990,0,10.570
1990,1,10.708
1990,2,10.709
1990,3,10.592
1990,4,10.380
1990,5,10.092
1990,6,9.751
1990,7,9.373
1990,8,8.984
1990,9,8.603
1990,10,8.201
1990,11,7.757
1990,12,7.520
1990,13,7.607
1990,14,7.896
1990,15,8.167
1990,16,8.470
1990,17,8.661
1990,18,8.641
1990,19,8.491
1990,20,8.361
1990,21,8.209
1990,22,8.119
1990,23,8.144
1990,24,8.229
1990,25,8.271
1990,26,8.315
1990,27,8.208
1990,28,7.872
1990,29,7.386
1990,30,6.914
1990,31,6.422
1990,32,5.983
1990,33,5.649
1990,34,5.386
1990,35,5.107
1990,36,4.832
1990,37,4.575
1990,38,4.337
1990,39,4.120
1990,40,3.920
1990,41,3.733
1990,42,3.585
1990,43,3.484
1990,44,3.416
1990,45,3.359
1990,46,3.312
1990,47,3.269
1990,48,3.218
1990,49,3.164
1990,50,3.116
1990,51,3.070
1990,52,3.022
1990,53,2.969
1990,54,2.911
1990,55,2.851
1990,56,2.791
1990,57,2.711
1990,58,2.600
1990,59,2.470
1990,60,2.339
1990,61,2.202
1990,62,2.074
1990,63,1.965
1990,64,1.868
1990,65,1.767
1990,66,1.669
1990,67,1.559
1990,68,1.432
1990,69,1.292
1990,70,1.161
1990,71,1.028
1990,72,0.920
1990,73,0.846
1990,74,0.796
1990,75,0.748
1990,76,0.703
1990,77,0.657
1990,78,0.603
1990,79,0.544
1990,80,0.493
1990,81,0.445
1990,82,0.399
1990,83,0.353
1990,84,0.313
1990,85,0.273
1990,86,0.234
1990,87,0.202
1990,88,0.174
1990,89,0.151
1990,90,0.130
1990,91,0.112
1990,92,0.092
1990,93,0.071
1990,94,0.048
1990,95,0.007
1990,96,0.006
1990,97,0.005
1990,98,0.003
1990,99,0.002
1990,100,0.007
1991,0,10.517
1991,1,10.664
1991,2,10.745
1991,3,10.707
1991,4,10.566
1991,5,10.341
1991,6,10.053
1991,7,9.724
1991,8,9.355
1991,9,8.968
1991,10,8.582
1991,11,8.181
1991,12,7.742
1991,13,7.508
1991,14,7.596
1991,15,7.881
1991,16,8.151
1991,17,8.452
1991,18,8.641
1991,19,8.616
1991,20,8.461
1991,21,8.327
1991,22,8.170
1991,23,8.075
1991,24,8.101
1991,25,8.185
1991,26,8.229
1991,27,8.274
1991,28,8.168
1991,29,7.834
1991,30,7.351
1991,31,6.882
1991,32,6.393
1991,33,5.957
1991,34,5.626
1991,35,5.364
