year,age,population
1990,0,35.644
1990,1,34.412
1990,2,33.188
1990,3,31.980
1990,4,30.787
1990,5,29.617
1990,6,28.471
1990,7,27.354
1990,8,26.270
1990,9,25.222
1990,10,24.203
1990,11,23.199
1990,12,22.285
1990,13,21.486
1990,14,20.771
1990,15,20.069
1990,16,19.399
1990,17,18.716
1990,18,17.991
1990,19,17.246
1990,20,16.530
1990,21,15.843
1990,22,15.139
1990,23,14.399
1990,24,13.651
1990,25,12.925
1990,26,12.219
1990,27,11.570
1990,28,11.006
1990,29,10.510
1990,30,10.029
1990,31,9.571
1990,32,9.158
1990,33,8.795
1990,34,8.468
1990,35,8.165
1990,36,7.887
1990,37,7.619
1990,38,7.353
1990,39,7.091
1990,40,6.849
1990,41,6.626
1990,42,6.401
1990,43,6.163
1990,44,5.925
1990,45,5.694
1990,46,5.463
1990,47,5.272
1990,48,5.134
1990,49,5.031
1990,50,4.924
1990,51,4.830
1990,52,4.695
1990,53,4.496
1990,54,4.260
1990,55,4.031
1990,56,3.803
1990,57,3.586
1990,58,3.389
1990,59,3.204
1990,60,3.019
1990,61,2.833
1990,62,2.666
1990,63,2.522
1990,64,2.396
1990,65,2.274
1990,66,2.154
1990,67,2.034
1990,68,1.902
1990,69,1.765
1990,70,1.636
1990,71,1.509
1990,72,1.384
1990,73,1.252
1990,74,1.121
1990,75,0.996
1990,76,0.872
1990,77,0.759
1990,78,0.658
1990,79,0.568
1990,80,0.482
1990,81,0.405
1990,82,0.333
1990,83,0.273
1990,84,0.222
1990,85,0.177
1990,86,0.136
1990,87,0.102
1990,88,0.078
1990,89,0.057
1990,90,0.042
1990,91,0.030
1990,92,0.021
1990,93,0.014
1990,94,0.007
1990,95,0.006
1990,96,0.003
1990,97,0.004
1990,98,0.001
1990,99,0.000
1990,100,0.001
1991,0,35.559
1991,1,35.205
1991,2,34.118
1991,3,33.003
1991,4,31.874
1991,5,30.732
1991,6,29.587
1991,7,28.441
1991,8,27.315
1991,9,26.217
1991,10,25.152
1991,11,24.104
1991,12,23.061
1991,13,22.104
1991,14,21.255
1991,15,20.488
1991,16,19.735
1991,17,19.012
1991,18,18.291
1991,19,17.548
1991,20,16.802
1991,21,16.086
1991,22,15.402
1991,23,14.713
1991,24,14.005
1991,25,13.297
1991,26,12.616
1991,27,11.956
1991,28,11.351
1991,29,10.823
1991,30,10.358
1991,31,9.910
1991,32,9.484
1991,33,9.096
1991,34,8.748
1991,35,8.430
1991,36,8.133
1991,37,7.859
1991,38,7.594
1991,39,7.332
1991,40,7.072
1991,41,6.832
1991,42,6.608
1991,43,6.380
1991,44,6.137
1991,45,5.891
1991,46,5.652
1991,47,5.412
1991,48,5.213
1991,49,5.069
1991,50,4.960
1991,51,4.848
1991,52,4.747
1991,53,4.609
1991,54,4.409
1991,55,4.174
1991,56,3.947
1991,57,3.722
1991,58,3.505
1991,59,3.310
1991,60,3.124
1991,61,2.939
1991,62,2.755
1991,63,2.588
1991,64,2.442
1991,65,2.316
1991,66,2.191
1991,67,2.072
1991,68,1.949
1991,69,1.817
1991,70,1.680
1991,71,1.549
1991,72,1.423
1991,73,1.298
1991,74,1.168
1991,75,1.041
1991,76,0.919
1991,77,0.800
1991,78,0.691
1991,79,0.594
1991,80,0.511
1991,81,0.431
1991,82,0.359
1991,83,0.293
1991,84,0.239
1991,85,0.192
1991,86,0.152
1991,87,0.117
1991,88,0.087
1991,89,0.066
1991,90,0.048
1991,91,0.035
1991,92,0.025
1991,93,0.018
1991,94,0.011
1991,95,0.006
1991,96,0.004
1991,97,0.003
1991,98,0.001
1991,99,0.000
1991,100,0.001
1992,0,34.907
1992,1,34.476
1992,2,34.678
1992,3,33.741
1992,4,32.739
1992,5,31.690
1992,6,30.603
1992,7,29.484
1992,8,28.342
1992,9,27.209
1992,10,26.101
1992,11,25.021
1992,12,23.945
1992,13,22.868
1992,14,21.868
1992,15,20.972
1992,16,20.156
1992,17,19.352
1992,18,18.578
1992,19,17.820
1992,20,17.062
1992,21,16.316
1992,22,15.603
1992,23,14.922
1992,24,14.251
1992,25,13.575
1992,26,12.911
1992,27,12.275
1992,28,11.664
1992,29,11.104
1992,30,10.614
1992,31,10.180
1992,32,9.766
1992,33,9.374
1992,34,9.012
1992,35,8.680
1992,36,8.370
1992,37,8.082
1992,38,7.812
1992,39,7.550
1992,40,7.293
1992,41,7.037
1992,42,6.798
1992,43,6.575
1992,44,6.343
1992,45,6.095
1992,46,5.843
1992,47,5.596
1992,48,5.349
1992,49,5.141
1992,50,4.992
1992,51,4.876
