year,age,population
1990,0,120.438
1990,1,114.691
1990,2,109.777
1990,3,105.659
1990,4,102.305
1990,5,99.680
1990,6,97.748
1990,7,96.481
1990,8,95.839
1990,9,95.792
1990,10,96.203
1990,11,96.941
1990,12,98.469
1990,13,100.952
1990,14,104.060
1990,15,107.259
1990,16,110.625
1990,17,113.601
1990,18,115.847
1990,19,117.543
1990,20,119.240
1990,21,120.869
1990,22,121.975
1990,23,122.402
1990,24,122.308
1990,25,122.117
1990,26,121.854
1990,27,121.189
1990,28,120.027
1990,29,118.593
1990,30,117.233
1990,31,115.931
1990,32,114.982
1990,33,114.590
1990,34,114.692
1990,35,114.695
1990,36,114.326
1990,37,115.538
1990,38,119.113
1990,39,123.986
1990,40,128.418
1990,41,132.904
1990,42,135.238
1990,43,134.189
1990,44,130.784
1990,45,127.514
1990,46,124.178
1990,47,119.827
1990,48,114.334
1990,49,108.197
1990,50,101.974
1990,51,95.490
1990,52,90.373
1990,53,87.478
1990,54,86.140
1990,55,84.790
1990,56,83.667
1990,57,83.046
1990,58,82.877
1990,59,83.090
1990,60,83.491
1990,61,83.914
1990,62,84.844
1990,63,86.442
1990,64,88.317
1990,65,90.074
1990,66,91.967
1990,67,92.353
1990,68,90.432
1990,69,86.983
1990,70,83.527
1990,71,79.690
1990,72,76.321
1990,73,73.976
1990,74,72.186
1990,75,69.973
1990,76,67.577
1990,77,64.669
1990,78,61.005
1990,79,56.809
1990,80,52.642
1990,81,48.494
1990,82,44.065
1990,83,39.298
1990,84,34.375
1990,85,29.541
1990,86,24.755
1990,87,20.453
1990,88,16.874
1990,89,13.871
1990,90,11.007
1990,91,8.322
1990,92,6.126
1990,93,4.507
1990,94,3.345
1990,95,2.390
1990,96,1.663
1990,97,1.109
1990,98,0.672
1990,99,0.345
1990,100,0.625
1991,0,122.518
1991,1,120.182
1991,2,115.160
1991,3,110.693
1991,4,106.791
1991,5,103.468
1991,6,100.692
1991,7,98.429
1991,8,96.915
1991,9,96.245
1991,10,96.305
1991,11,96.734
1991,12,97.443
1991,13,98.966
1991,14,101.479
1991,15,104.640
1991,16,107.889
1991,17,111.303
1991,18,114.330
1991,19,116.625
1991,20,118.367
1991,21,120.107
1991,22,121.782
1991,23,122.906
1991,24,123.315
1991,25,123.176
1991,26,122.939
1991,27,122.623
1991,28,121.903
1991,29,120.691
1991,30,119.208
1991,31,117.792
1991,32,116.432
1991,33,115.423
1991,34,114.971
1991,35,115.015
1991,36,114.958
1991,37,114.532
1991,38,115.684
1991,39,119.200
1991,40,124.014
1991,41,128.390
1991,42,132.821
1991,43,135.106
1991,44,134.016
1991,45,130.577
1991,46,127.275
1991,47,123.905
1991,48,119.530
1991,49,114.026
1991,50,107.886
1991,51,101.659
1991,52,95.167
1991,53,90.036
1991,54,87.114
1991,55,85.739
1991,56,84.347
1991,57,83.174
1991,58,82.495
1991,59,82.263
1991,60,82.404
1991,61,82.724
1991,62,83.063
1991,63,83.881
1991,64,85.329
1991,65,87.030
1991,66,88.607
1991,67,90.311
1991,68,90.524
