year,age,population
1990,0,74.896
1990,1,76.547
1990,2,77.510
1990,3,77.899
1990,4,77.821
1990,5,77.394
1990,6,76.725
1990,7,75.930
1990,8,75.117
1990,9,74.402
1990,10,73.704
1990,11,72.947
1990,12,73.192
1990,13,74.937
1990,14,77.718
1990,15,80.478
1990,16,83.300
1990,17,86.437
1990,18,89.866
1990,19,93.424
1990,20,96.956
1990,21,100.477
1990,22,103.447
1990,23,105.580
1990,24,107.041
1990,25,108.383
1990,26,109.611
1990,27,110.066
1990,28,109.521
1990,29,108.286
1990,30,106.960
1990,31,105.490
1990,32,104.059
1990,33,102.838
1990,34,101.805
1990,35,100.602
1990,36,99.112
1990,37,98.492
1990,38,99.222
1990,39,100.722
1990,40,101.992
1990,41,103.325
1990,42,103.616
1990,43,102.251
1990,44,99.760
1990,45,97.388
1990,46,94.998
1990,47,92.329
1990,48,89.416
1990,49,86.384
1990,50,83.269
1990,51,79.966
1990,52,77.397
1990,53,75.987
1990,54,75.325
1990,55,74.592
1990,56,73.980
1990,57,73.080
1990,58,71.618
1990,59,69.818
1990,60,68.097
1990,61,66.273
1990,62,64.804
1990,63,63.924
1990,64,63.339
1990,65,62.681
1990,66,62.220
1990,67,60.749
1990,68,57.693
1990,69,53.709
1990,70,49.858
1990,71,45.721
1990,72,42.890
1990,73,42.197
1990,74,42.801
1990,75,43.096
1990,76,43.475
1990,77,42.946
1990,78,40.877
1990,79,37.789
1990,80,34.896
1990,81,32.013
1990,82,29.022
1990,83,26.004
1990,84,22.987
1990,85,19.943
1990,86,16.888
1990,87,14.086
1990,88,11.659
1990,89,9.549
1990,90,7.531
1990,91,5.621
1990,92,4.063
1990,93,2.946
1990,94,2.170
1990,95,1.520
1990,96,1.017
1990,97,0.641
1990,98,0.358
1990,99,0.157
1990,100,0.305
1991,0,76.660
1991,1,76.615
1991,2,77.836
1991,3,78.515
1991,4,78.741
1991,5,78.599
1991,6,78.206
1991,7,77.667
1991,8,76.971
1991,9,76.159
1991,10,75.390
1991,11,74.696
1991,12,73.987
1991,13,74.251
1991,14,75.960
1991,15,78.679
1991,16,81.394
1991,17,84.157
1991,18,87.346
1991,19,90.999
1991,20,94.886
1991,21,98.720
1991,22,102.539
1991,23,105.750
1991,24,108.032
1991,25,109.565
1991,26,110.978
1991,27,112.274
1991,28,112.690
1991,29,111.956
1991,30,110.432
1991,31,108.811
1991,32,107.022
1991,33,105.308
1991,34,103.885
1991,35,102.699
1991,36,101.330
1991,37,99.668
1991,38,98.898
1991,39,99.504
1991,40,100.899
1991,41,102.072
1991,42,103.316
1991,43,103.528
1991,44,102.095
1991,45,99.541
1991,46,97.115
1991,47,94.678
1991,48,91.954
1991,49,88.969
1991,50,85.856
1991,51,82.666
1991,52,79.291
1991,53,76.659
1991,54,75.201
1991,55,74.502
1991,56,73.733
1991,57,73.087
1991,58,72.156
1991,59,70.663
1991,60,68.835
1991,61,67.088
1991,62,65.237
1991,63,63.744
1991,64,62.844
1991,65,62.239
1991,66,61.558
1991,67,61.068
1991,68,59.570
1991,69,56.493
1991,70,52.488
1991,71,48.613
1991,72,44.455
1991,73,41.561
1991,74,40.738
1991,75,41.172
1991,76,41.310
1991,77,41.537
