year,age,population
1990,0,433.450
1990,1,431.733
1990,2,428.708
1990,3,424.462
1990,4,419.076
1990,5,412.639
1990,6,405.231
1990,7,396.942
1990,8,387.852
1990,9,378.046
1990,10,367.619
1990,11,356.653
1990,12,345.212
1990,13,333.372
1990,14,321.229
1990,15,308.926
1990,16,296.574
1990,17,284.124
1990,18,271.618
1990,19,259.221
1990,20,246.995
1990,21,234.850
1990,22,223.790
1990,23,214.295
1990,24,205.932
1990,25,197.785
1990,26,190.032
1990,27,182.468
1990,28,174.901
1990,29,167.450
1990,30,160.264
1990,31,153.096
1990,32,146.758
1990,33,141.597
1990,34,137.086
1990,35,132.662
1990,36,128.818
1990,37,123.072
1990,38,114.251
1990,39,103.666
1990,40,93.674
1990,41,83.651
1990,42,75.635
1990,43,70.824
1990,44,68.210
1990,45,65.555
1990,46,63.278
1990,47,61.199
1990,48,58.993
1990,49,56.834
1990,50,55.114
1990,51,53.628
1990,52,52.651
1990,53,52.319
1990,54,52.367
1990,55,52.440
1990,56,52.669
1990,57,52.254
1990,58,50.781
1990,59,48.607
1990,60,46.505
1990,61,44.319
1990,62,42.194
1990,63,40.278
1990,64,38.472
1990,65,36.555
1990,66,34.607
1990,67,32.514
1990,68,30.206
1990,69,27.780
1990,70,25.400
1990,71,23.027
1990,72,20.846
1990,73,18.965
1990,74,17.306
1990,75,15.676
1990,76,14.119
1990,77,12.627
1990,78,11.183
1990,79,9.799
1990,80,8.517
1990,81,7.327
1990,82,6.231
1990,83,5.237
1990,84,4.338
1990,85,3.521
1990,86,2.777
1990,87,2.149
1990,88,1.657
1990,89,1.270
1990,90,0.945
1990,91,0.680
1990,92,0.476
1990,93,0.316
1990,94,0.202
1990,95,0.130
1990,96,0.097
1990,97,0.074
1990,98,0.044
1990,99,0.010
1990,100,0.025
1991,0,431.767
1991,1,432.957
1991,2,431.025
1991,3,427.895
1991,4,423.629
1991,5,418.293
1991,6,411.973
1991,7,404.753
1991,8,396.590
1991,9,387.502
1991,10,377.618
1991,11,367.144
1991,12,356.149
1991,13,344.662
1991,14,332.754
1991,15,320.532
1991,16,308.149
1991,17,295.715
1991,18,283.199
1991,19,270.654
1991,20,258.240
1991,21,245.996
1991,22,233.837
1991,23,222.776
1991,24,213.296
1991,25,204.960
1991,26,196.843
1991,27,189.126
1991,28,181.599
1991,29,174.069
1991,30,166.654
1991,31,159.507
1991,32,152.380
1991,33,146.079
1991,34,140.946
1991,35,136.459
1991,36,132.058
1991,37,128.236
1991,38,122.511
1991,39,113.714
1991,40,103.153
1991,41,93.181
1991,42,83.178
1991,43,75.177
1991,44,70.379
1991,45,67.776
1991,46,65.128
1991,47,62.855
1991,48,60.776
1991,49,58.567
1991,50,56.401
1991,51,54.670
1991,52,53.172
1991,53,52.171
1991,54,51.801
1991,55,51.800
1991,56,51.824
1991,57,52.000
1991,58,51.537
1991,59,50.024
1991,60,47.817
1991,61,45.680
1991,62,43.462
1991,63,41.300
1991,64,39.337
1991,65,37.481
1991,66,35.518
1991,67,33.526
1991,68,31.400
1991,69,29.077
1991,70,26.649
1991,71,24.269
1991,72,21.902
1991,73,19.730
1991,74,17.856
1991,75,16.207
1991,76,14.593
1991,77,13.056
1991,78,11.599
1991,79,10.201
1991,80,8.878
1991,81,7.658
1991,82,6.532
1991,83,5.507
1991,84,4.592
1991,85,3.777
1991,86,3.044
1991,87,2.384
1991,88,1.831
1991,89,1.399
1991,90,1.063
1991,91,0.786
1991,92,0.566
1991,93,0.398
1991,94,0.263
1991,95,0.164
1991,96,0.101
1991,97,0.076
1991,98,0.046
1991,99,0.011
1991,100,0.026
