year,age,population
1990,0,33.101
1990,1,34.167
1990,2,34.961
1990,3,35.510
1990,4,35.840
1990,5,35.984
1990,6,35.965
1990,7,35.817
1990,8,35.564
1990,9,35.238
1990,10,34.843
1990,11,34.385
1990,12,34.005
1990,13,33.780
1990,14,33.667
1990,15,33.509
1990,16,33.283
1990,17,33.273
1990,18,33.590
1990,19,34.087
1990,20,34.552
1990,21,35.093
1990,22,35.228
1990,23,34.724
1990,24,33.822
1990,25,32.997
1990,26,32.150
1990,27,31.513
1990,28,31.253
1990,29,31.250
1990,30,31.141
1990,31,30.899
1990,32,30.956
1990,33,31.460
1990,34,32.174
1990,35,32.813
1990,36,33.547
1990,37,33.490
1990,38,32.207
1990,39,30.145
1990,40,28.196
1990,41,26.195
1990,42,24.473
1990,43,23.290
1990,44,22.492
1990,45,21.618
1990,46,20.701
1990,47,20.132
1990,48,20.042
1990,49,20.262
1990,50,20.497
1990,51,20.801
1990,52,20.960
1990,53,20.828
1990,54,20.500
1990,55,20.206
1990,56,19.909
1990,57,19.525
1990,58,19.046
1990,59,18.488
1990,60,17.869
1990,61,17.184
1990,62,16.471
1990,63,15.747
1990,64,14.994
1990,65,14.229
1990,66,13.523
1990,67,12.557
1990,68,11.204
1990,69,9.651
1990,70,8.147
1990,71,6.568
1990,72,5.520
1990,73,5.308
1990,74,5.624
1990,75,5.877
1990,76,6.220
1990,77,6.270
1990,78,5.789
1990,79,4.979
1990,80,4.277
1990,81,3.603
1990,82,2.993
1990,83,2.516
1990,84,2.134
1990,85,1.737
1990,86,1.344
1990,87,1.017
1990,88,0.774
1990,89,0.596
1990,90,0.441
1990,91,0.313
1990,92,0.215
1990,93,0.140
1990,94,0.086
1990,95,0.055
1990,96,0.041
1990,97,0.035
1990,98,0.019
1990,99,0.004
1990,100,0.012
1991,0,32.502
1991,1,32.755
1991,2,33.690
1991,3,34.416
1991,4,34.952
1991,5,35.308
1991,6,35.519
1991,7,35.610
1991,8,35.541
1991,9,35.305
1991,10,34.953
1991,11,34.552
1991,12,34.095
1991,13,33.705
1991,14,33.460
1991,15,33.315
1991,16,33.128
1991,17,32.874
1991,18,32.825
1991,19,33.088
1991,20,33.522
1991,21,33.930
1991,22,34.408
1991,23,34.519
1991,24,34.046
1991,25,33.212
1991,26,32.449
1991,27,31.665
1991,28,31.085
1991,29,30.868
1991,30,30.895
1991,31,30.819
1991,32,30.618
1991,33,30.678
1991,34,31.133
1991,35,31.763
1991,36,32.324
1991,37,32.977
1991,38,32.866
1991,39,31.572
1991,40,29.531
1991,41,27.596
1991,42,25.606
1991,43,23.918
1991,44,22.799
1991,45,22.082
1991,46,21.286
1991,47,20.454
1991,48,19.935
1991,49,19.845
1991,50,20.029
1991,51,20.232
1991,52,20.502
1991,53,20.619
1991,54,20.442
1991,55,20.068
1991,56,19.723
1991,57,19.373
1991,58,18.948
1991,59,18.446
1991,60,17.878
1991,61,17.250
1991,62,16.557
1991,63,15.844
1991,64,15.123
1991,65,14.381
1991,66,13.626
1991,67,12.932
1991,68,11.983
1991,69,10.652
1991,70,9.121
1991,71,7.644
1991,72,6.095
1991,73,5.059
1991,74,4.832
1991,75,5.116
1991,76,5.341
1991,77,5.654
1991,78,5.696
1991,79,5.245
1991,80,4.487
1991,81,3.835
1991,82,3.212
1991,83,2.651
1991,84,2.215
1991,85,1.869
1991,86,1.510
1991,87,1.156
1991,88,0.863
1991,89,0.650
1991,90,0.498
1991,91,0.367
1991,92,0.260
1991,93,0.180
1991,94,0.117
1991,95,0.069
1991,96,0.043
1991,97,0.035
1991,98,0.020
1991,99,0.004
1991,100,0.012
1992,0,32.139
1992,1,32.735
1992,2,32.349
1992,3,33.152
1992,4,33.810
1992,5,34.328
1992,6,34.712
1992,7,34.990
1992,8,35.190
1992,9,35.199
1992,10,34.981
1992,11,34.604
1992,12,34.197
1992,13,33.742
1992,14,33.344
1992,15,33.077
1992,16,32.903
1992,17,32.685
1992,18,32.405
1992,19,32.317
1992,20,32.525
1992,21,32.898
1992,22,33.246
1992,23,33.661
1992,24,33.747
1992,25,33.306
1992,26,32.541
1992,27,31.843
1992,28,31.123
1992,29,30.600
1992,30,30.426
1992,31,30.483
1992,32,30.442
1992,33,30.279
1992,34,30.345
1992,35,30.748
1992,36,31.294
1992,37,31.776
1992,38,32.348
1992,39,32.181
1992,40,30.880
1992,41,28.863
1992,42,26.947
1992,43,24.971
1992,44,23.320
1992,45,22.267
1992,46,21.632
1992,47,20.916
1992,48,20.168
1992,49,19.702
1992,50,19.611
1992,51,19.760
1992,52,19.930
1992,53,20.164
1992,54,20.241
1992,55,20.020
1992,56,19.599
1992,57,19.205
1992,58,18.803
1992,59,18.337
1992,60,17.813
1992,61,17.236
1992,62,16.600
1992,63,15.902
1992,64,15.187
1992,65,14.474
1992,66,13.742
1992,67,13.000
1992,68,12.319
1992,69,11.387
1992,70,10.081
1992,71,8.577
1992,72,7.127
1992,73,5.612
1992,74,4.591
1992,75,4.348
1992,76,4.599
1992,77,4.796
1992,78,5.079
1992,79,5.114
1992,80,4.692
1992,81,3.988
1992,82,3.387
1992,83,2.816
1992,84,2.305
1992,85,1.911
1992,86,1.601
1992,87,1.281
1992,88,0.966
1992,89,0.708
1992,90,0.526
1992,91,0.399
1992,92,0.291
1992,93,0.208
1992,94,0.145
1992,95,0.092
1992,96,0.053
1992,97,0.036
1992,98,0.021
1992,99,0.004
1992,100,0.012
1993,0,31.906
1993,1,32.076
1993,2,32.286
1993,3,31.947
1993,4,32.617
1993,5,33.207
1993,6,33.711
1993,7,34.120
1993,8,34.464
1993,9,34.772
1993,10,34.862
1993,11,34.659
1993,12,34.259
1993,13,33.846
1993,14,33.391
1993,15,32.986
1993,16,32.698
1993,17,32.494
1993,18,32.247
1993,19,31.939
1993,20,31.813
1993,21,31.967
1993,22,32.277
1993,23,32.567
1993,24,32.919
1993,25,32.979
1993,26,32.572
1993,27,31.875
1993,28,31.242
1993,29,30.583
1993,30,30.119
1993,31,29.988
1993,32,30.075
1993,33,30.066
1993,34,29.945
1993,35,30.014
1993,36,30.366
1993,37,30.829
1993,38,31.233
1993,39,31.722
1993,40,31.502
1993,41,30.192
1993,42,28.200
1993,43,26.301
1993,44,24.341
1993,45,22.725
1993,46,21.738
1993,47,21.185
1993,48,20.549
1993,49,19.885
1993,50,19.471
1993,51,19.379
1993,52,19.493
1993,53,19.630
1993,54,19.830
1993,55,19.865
1993,56,19.601
1993,57,19.132
1993,58,18.691
1993,59,18.236
1993,60,17.729
1993,61,17.184
1993,62,16.598
1993,63,15.954
1993,64,15.250
1993,65,14.536
1993,66,13.827
1993,67,13.106
1993,68,12.377
1993,69,11.709
1993,70,10.796
1993,71,9.513
1993,72,8.035
1993,73,6.613
1993,74,5.131
1993,75,4.125
1993,76,3.867
1993,77,4.084
1993,78,4.255
1993,79,4.506
1993,80,4.535
1993,81,4.141
1993,82,3.492
1993,83,2.941
1993,84,2.422
1993,85,1.961
1993,86,1.608
1993,87,1.334
1993,88,1.053
1993,89,0.777
1993,90,0.555
1993,91,0.401
1993,92,0.300
1993,93,0.217
1993,94,0.156
1993,95,0.109
1993,96,0.069
1993,97,0.036
1993,98,0.022
1993,99,0.003
1993,100,0.013
1994,0,31.626
1994,1,31.463
1994,2,31.449
1994,3,31.561
1994,4,31.628
1994,5,32.167
1994,6,32.691
1994,7,33.181
1994,8,33.618
1994,9,34.029
1994,10,34.445
1994,11,34.614
1994,12,34.428
1994,13,34.002
1994,14,33.582
1994,15,33.129
1994,16,32.713
1994,17,32.404
1994,18,32.170
1994,19,31.892
1994,20,31.556
1994,21,31.393
1994,22,31.492
1994,23,31.740
1994,24,31.973
1994,25,32.264
1994,26,32.299
1994,27,31.922
1994,28,31.293
1994,29,30.721
1994,30,30.125
1994,31,29.716
1994,32,29.628
1994,33,29.744
1994,34,29.770
1994,35,29.688
1994,36,29.761
1994,37,30.063
1994,38,30.444
1994,39,30.771
1994,40,31.180
1994,41,30.905
1994,42,29.583
1994,43,27.611
1994,44,25.725
1994,45,23.774
1994,46,22.191
1994,47,21.266
1994,48,20.793
1994,49,20.235
1994,50,19.653
1994,51,19.291
1994,52,19.197
1994,53,19.278
1994,54,19.380
1994,55,19.548
1994,56,19.541
1994,57,19.233
1994,58,18.717
1994,59,18.225
1994,60,17.717
1994,61,17.168
1994,62,16.601
1994,63,16.003
1994,64,15.351
1994,65,14.639
1994,66,13.922
1994,67,13.218
1994,68,12.505
1994,69,11.787
1994,70,11.131
1994,71,10.233
1994,72,8.971
1994,73,7.514
1994,74,6.117
1994,75,4.665
1994,76,3.670
1994,77,3.396
1994,78,3.582
1994,79,3.724
1994,80,3.947
1994,81,3.968
1994,82,3.603
1994,83,3.004
1994,84,2.505
1994,85,2.035
1994,86,1.621
1994,87,1.311
1994,88,1.071
1994,89,0.828
1994,90,0.590
1994,91,0.402
1994,92,0.279
1994,93,0.203
1994,94,0.143
1994,95,0.103
1994,96,0.075
1994,97,0.046
1994,98,0.019
1994,99,0.004
1994,100,0.013
1995,0,31.170
1995,1,30.883
1995,2,30.797
1995,3,30.881
1995,4,31.104
1995,5,31.434
1995,6,31.846
1995,7,32.305
1995,8,32.783
1995,9,33.248
1995,10,33.729
1995,11,34.257
1995,12,34.505
1995,13,34.335
1995,14,33.882
1995,15,33.453
1995,16,32.998
1995,17,32.572
1995,18,32.240
1995,19,31.974
1995,20,31.664
1995,21,31.300
1995,22,31.097
1995,23,31.142
1995,24,31.329
1995,25,31.506
1995,26,31.735
1995,27,31.746
1995,28,31.399
1995,29,30.834
1995,30,30.322
1995,31,29.786
1995,32,29.432
1995,33,29.386
1995,34,29.533
1995,35,29.592
1995,36,29.550
1995,37,29.627
1995,38,29.881
1995,39,30.180
1995,40,30.431
