year,age,population
1990,0,208.133
1990,1,199.462
1990,2,190.839
1990,3,182.317
1990,4,173.956
1990,5,165.816
1990,6,157.950
1990,7,150.422
1990,8,143.287
1990,9,136.600
1990,10,130.233
1990,11,124.049
1990,12,119.065
1990,13,115.722
1990,14,113.503
1990,15,111.502
1990,16,109.965
1990,17,108.014
1990,18,105.150
1990,19,101.792
1990,20,98.718
1990,21,95.588
1990,22,93.298
1990,23,92.314
1990,24,92.070
1990,25,91.617
1990,26,91.246
1990,27,89.820
1990,28,86.708
1990,29,82.468
1990,30,78.343
1990,31,74.147
1990,32,69.892
1990,33,65.732
1990,34,61.651
1990,35,57.501
1990,36,53.337
1990,37,49.380
1990,38,45.728
1990,39,42.350
1990,40,39.203
1990,41,36.389
1990,42,33.680
1990,43,30.986
1990,44,28.505
1990,45,26.251
1990,46,23.914
1990,47,23.207
1990,48,24.885
1990,49,28.018
1990,50,31.056
1990,51,34.483
1990,52,36.366
1990,53,35.636
1990,54,33.247
1990,55,31.131
1990,56,28.797
1990,57,27.142
1990,58,26.778
1990,59,27.152
1990,60,27.201
1990,61,27.250
1990,62,26.553
1990,63,24.667
1990,64,22.044
1990,65,19.570
1990,66,17.072
1990,67,14.913
1990,68,13.363
1990,69,12.247
1990,70,11.067
1990,71,9.874
1990,72,8.984
1990,73,8.494
1990,74,8.264
1990,75,8.092
1990,76,8.043
1990,77,7.791
1990,78,7.160
1990,79,6.301
1990,80,5.534
1990,81,4.776
1990,82,4.166
1990,83,3.802
1990,84,3.595
1990,85,3.373
1990,86,3.185
1990,87,2.918
1990,88,2.504
1990,89,2.010
1990,90,1.563
1990,91,1.132
1990,92,0.789
1990,93,0.586
1990,94,0.479
1990,95,0.375
1990,96,0.293
1990,97,0.223
1990,98,0.162
1990,99,0.107
1990,100,0.253
1991,0,204.795
1991,1,204.882
1991,2,197.242
1991,3,189.332
1991,4,181.259
1991,5,173.124
1991,6,164.995
1991,7,156.929
1991,8,149.252
1991,9,142.155
1991,10,135.610
1991,11,129.275
1991,12,123.063
1991,13,118.037
1991,14,114.647
1991,15,112.377
1991,16,110.317
1991,17,108.713
1991,18,106.717
1991,19,103.838
1991,20,100.489
1991,21,97.422
1991,22,94.300
1991,23,92.027
1991,24,91.072
1991,25,90.861
1991,26,90.446
1991,27,90.114
1991,28,88.723
1991,29,85.637
1991,30,81.415
1991,31,77.311
1991,32,73.139
1991,33,68.899
1991,34,64.740
1991,35,60.652
1991,36,56.497
1991,37,52.326
1991,38,48.379
1991,39,44.760
1991,40,41.434
1991,41,38.332
1991,42,35.561
1991,43,32.898
1991,44,30.256
1991,45,27.825
1991,46,25.621
1991,47,23.335
1991,48,22.646
1991,49,24.293
1991,50,27.361
1991,51,30.336
1991,52,33.695
1991,53,35.522
1991,54,34.767
1991,55,32.368
1991,56,30.240
1991,57,27.896
1991,58,26.224
1991,59,25.828
1991,60,26.166
1991,61,26.184
1991,62,26.200
1991,63,25.497
1991,64,23.646
1991,65,21.083
1991,66,18.665
1991,67,16.224
1991,68,14.116
1991,69,12.601
1991,70,11.506
1991,71,10.354
1991,72,9.197
1991,73,8.315
1991,74,7.793
1991,75,7.508
1991,76,7.284
1991,77,7.175
1991,78,6.912
1991,79,6.351
1991,80,5.613
1991,81,4.958
1991,82,4.320
1991,83,3.796
1991,84,3.456
1991,85,3.233
1991,86,3.006
1991,87,2.810
1991,88,2.551
1991,89,2.179
1991,90,1.744
1991,91,1.351
1991,92,0.970
1991,93,0.670
1991,94,0.493
1991,95,0.401
1991,96,0.298
1991,97,0.216
1991,98,0.151
1991,99,0.102
1991,100,0.253
1992,0,197.788
1992,1,197.026
1992,2,201.636
1992,3,195.027
1992,4,187.833
1992,5,180.207
1992,6,172.300
1992,7,164.180
1992,8,155.914
1992,9,148.088
1992,10,141.027
1992,11,134.624
1992,12,128.322
1992,13,122.080
1992,14,117.015
1992,15,113.575
1992,16,111.254
1992,17,109.135
1992,18,107.465
1992,19,105.422
1992,20,102.529
1992,21,99.189
1992,22,96.128
1992,23,93.014
1992,24,90.759
1992,25,89.831
1992,26,89.655
1992,27,89.276
1992,28,88.986
1992,29,87.629
1992,30,84.567
1992,31,80.364
1992,32,76.282
1992,33,72.132
1992,34,67.907
1992,35,63.749
1992,36,59.654
1992,37,55.494
1992,38,51.317
1992,39,47.377
1992,40,43.793
