year,age,population
1990,0,1054.106
1990,1,1059.903
1990,2,1068.483
1990,3,1079.411
1990,4,1092.254
1990,5,1106.578
1990,6,1121.949
1990,7,1137.931
1990,8,1154.092
1990,9,1169.995
1990,10,1185.351
1990,11,1199.863
1990,12,1212.395
1990,13,1222.230
1990,14,1229.357
1990,15,1234.481
1990,16,1237.464
1990,17,1236.396
1990,18,1230.390
1990,19,1220.039
1990,20,1207.930
1990,21,1194.870
1990,22,1175.047
1990,23,1146.248
1990,24,1111.791
1990,25,1076.497
1990,26,1038.556
1990,27,1007.029
1990,28,986.647
1990,29,973.081
1990,30,957.326
1990,31,941.252
1990,32,922.162
1990,33,897.834
1990,34,869.841
1990,35,842.597
1990,36,815.955
1990,37,786.423
1990,38,752.940
1990,39,717.235
1990,40,682.343
1990,41,647.959
1990,42,615.949
1990,43,587.650
1990,44,562.587
1990,45,537.944
1990,46,513.076
1990,47,494.875
1990,48,486.109
1990,49,483.255
1990,50,480.449
1990,51,479.362
1990,52,473.136
1990,53,457.920
1990,54,436.976
1990,55,417.217
1990,56,397.033
1990,57,378.451
1990,58,363.105
1990,59,349.590
1990,60,335.255
1990,61,321.106
1990,62,304.625
1990,63,284.453
1990,64,262.152
1990,65,240.612
1990,66,219.208
1990,67,199.910
1990,68,183.980
1990,69,170.511
1990,70,157.176
1990,71,144.242
1990,72,132.725
1990,73,122.834
1990,74,114.159
1990,75,106.112
1990,76,98.858
1990,77,91.345
1990,78,83.012
1990,79,74.295
1990,80,66.246
1990,81,58.711
1990,82,51.494
1990,83,44.624
1990,84,38.154
1990,85,32.064
1990,86,26.300
1990,87,21.358
1990,88,17.466
1990,89,14.391
1990,90,11.642
1990,91,9.280
1990,92,7.268
1990,93,5.523
1990,94,4.046
1990,95,2.892
1990,96,2.011
1990,97,1.344
1990,98,0.849
1990,99,0.502
1990,100,1.174
1991,0,1048.119
1991,1,1052.832
1991,2,1059.695
1991,3,1069.034
1991,4,1080.443
1991,5,1093.516
1991,6,1107.800
1991,7,1122.839
1991,8,1138.463
1991,9,1154.363
1991,10,1169.986
1991,11,1184.919
1991,12,1199.023
1991,13,1210.533
1991,14,1218.445
1991,15,1223.126
1991,16,1225.940
1991,17,1226.614
1991,18,1223.787
1991,19,1216.910
1991,20,1206.348
1991,21,1194.031
1991,22,1180.787
1991,23,1161.368
1991,24,1133.742
1991,25,1100.954
1991,26,1067.390
1991,27,1031.349
1991,28,1001.345
1991,29,981.803
1991,30,968.625
1991,31,953.348
1991,32,937.720
1991,33,919.081
1991,34,895.273
1991,35,867.815
1991,36,841.004
1991,37,814.732
1991,38,785.432
1991,39,752.003
1991,40,716.220
1991,41,681.216
1991,42,646.683
1991,43,614.469
1991,44,585.921
1991,45,560.577
1991,46,535.625
1991,47,510.415
1991,48,491.931
1991,49,482.984
1991,50,480.014
1991,51,477.078
1991,52,475.857
1991,53,469.494
1991,54,454.125
1991,55,433.016
1991,56,413.106
1991,57,392.786
1991,58,374.040
1991,59,358.485
1991,60,344.738
1991,61,330.185
1991,62,315.820
1991,63,299.180
1991,64,278.930
1991,65,256.610
1991,66,235.049
1991,67,213.623
1991,68,194.331
1991,69,178.436
1991,70,165.019
1991,71,151.750
1991,72,138.920
1991,73,127.408
1991,74,117.364
1991,75,108.448
1991,76,100.202
1991,77,92.759
1991,78,85.173
1991,79,76.948
1991,80,68.470
1991,81,60.663
1991,82,53.377
1991,83,46.497
1991,84,40.071
1991,85,34.109
1991,86,28.539
1991,87,23.315
1991,88,18.849
1991,89,15.322
1991,90,12.536
1991,91,10.075
1991,92,7.992
1991,93,6.227
1991,94,4.699
1991,95,3.410
1991,96,2.169
1991,97,1.460
1991,98,0.932
1991,99,0.557
1991,100,1.231
1992,0,1042.903
1992,1,1044.596
1992,2,1049.701
1992,3,1057.618
1992,4,1067.702
1992,5,1079.572
1992,6,1092.853
1992,7,1107.070
1992,8,1121.752
1992,9,1136.990
1992,10,1152.600
1992,11,1167.915
1992,12,1182.397
1992,13,1196.069
1992,14,1206.536
1992,15,1212.509
1992,16,1214.733
1992,17,1215.229
1992,18,1213.591
1992,19,1209.008
1992,20,1201.271
1992,21,1190.517
1992,22,1178.012
1992,23,1164.609
1992,24,1145.629
1992,25,1119.224
1992,26,1088.165
1992,27,1056.392
1992,28,1022.317
1992,29,993.891
1992,30,975.223
1992,31,962.458
1992,32,947.684
1992,33,932.532
1992,34,914.377
1992,35,891.132
1992,36,864.257
1992,37,837.928
1992,38,812.071
1992,39,783.056
1992,40,749.741
1992,41,713.941
1992,42,678.888
1992,43,644.266
1992,44,611.905
1992,45,583.157
1992,46,557.577
1992,47,532.360
1992,48,506.852
1992,49,488.116
1992,50,479.004
1992,51,475.925
1992,52,472.861
1992,53,471.512
1992,54,465.020
1992,55,449.525
1992,56,428.289
1992,57,408.263
1992,58,387.842
1992,59,368.966
1992,60,353.228
1992,61,339.272
1992,62,324.528
1992,63,309.973
1992,64,293.200
1992,65,272.910
1992,66,250.611
1992,67,229.065
1992,68,207.656
1992,69,188.403
1992,70,172.572
1992,71,159.231
1992,72,146.051
1992,73,133.347
1992,74,121.861
1992,75,111.681
1992,76,102.540
1992,77,94.108
1992,78,86.490
1992,79,78.846
1992,80,70.742
1992,81,62.519
1992,82,54.966
1992,83,47.944
1992,84,41.413
1992,85,35.441
1992,86,30.001
1992,87,24.959
1992,88,20.285
1992,89,16.305
1992,90,13.150
1992,91,10.655
1992,92,8.490
1992,93,6.688
1992,94,5.173
1992,95,3.866
1992,96,2.768
1992,97,1.595
1992,98,1.037
1992,99,0.627
1992,100,1.278
1993,0,1036.781
1993,1,1036.511
1993,2,1039.551
1993,3,1045.694
1993,4,1054.658
1993,5,1065.477
1993,6,1077.797
1993,7,1091.274
1993,8,1105.413
1993,9,1119.725
1993,10,1134.565
1993,11,1149.872
1993,12,1164.868
1993,13,1178.888
1993,14,1192.117
1993,15,1201.533
1993,16,1205.564
1993,17,1205.335
1993,18,1203.515
1993,19,1199.570
1993,20,1193.238
1993,21,1184.648
1993,22,1173.711
1993,23,1161.030
1993,24,1147.479
1993,25,1128.952
1993,26,1103.791
1993,27,1074.483
1993,28,1044.525
1993,29,1012.440
1993,30,985.616
1993,31,967.834
1993,32,955.494
1993,33,941.235
1993,34,926.569
1993,35,908.914
1993,36,886.249
1993,37,859.980
1993,38,834.153
1993,39,808.734
1993,40,780.026
1993,41,746.852
1993,42,711.067
1993,43,675.994
1993,44,641.312
1993,45,608.832
1993,46,579.909
1993,47,554.113
1993,48,528.654
1993,49,502.869
1993,50,483.898
1993,51,474.629
1993,52,471.442
1993,53,468.255
1993,54,466.776
1993,55,460.164
1993,56,444.555
1993,57,423.210
1993,58,403.084
1993,59,382.581
1993,60,363.590
1993,61,347.683
1993,62,333.531
1993,63,318.607
1993,64,303.874
1993,65,286.985
1993,66,266.669
1993,67,244.411
1993,68,222.899
1993,69,201.523
1993,70,182.327
1993,71,166.573
1993,72,153.317
1993,73,140.239
1993,74,127.670
1993,75,116.220
1993,76,105.914
1993,77,96.555
1993,78,87.946
1993,79,80.158
1993,80,72.461
1993,81,64.486
1993,82,56.524
1993,83,49.232
1993,84,42.479
1993,85,36.302
