year,age,population
1990,0,134543.162
1990,1,131565.880
1990,2,128599.974
1990,3,125671.475
1990,4,122806.386
1990,5,120030.840
1990,6,117370.830
1990,7,114852.403
1990,8,112501.624
1990,9,110344.546
1990,10,108291.065
1990,11,106250.981
1990,12,104831.266
1990,13,104290.254
1990,14,104305.485
1990,15,104290.443
1990,16,104355.522
1990,17,104104.862
1990,18,103279.620
1990,19,102042.793
1990,20,100849.736
1990,21,99649.498
1990,22,98156.119
1990,23,96285.390
1990,24,94149.199
1990,25,91973.450
1990,26,89748.935
1990,27,87487.221
1990,28,85228.588
1990,29,82996.186
1990,30,80695.738
1990,31,78253.682
1990,32,76238.509
1990,33,74894.391
1990,34,73930.111
1990,35,72885.078
1990,36,71940.704
1990,37,70369.806
1990,38,67792.411
1990,39,64585.916
1990,40,61543.577
1990,41,58550.115
1990,42,55719.939
1990,43,53204.116
1990,44,50962.119
1990,45,48718.386
1990,46,46427.030
1990,47,44763.783
1990,48,44005.272
1990,49,43826.831
1990,50,43655.644
1990,51,43640.355
1990,52,43254.276
1990,53,42188.222
1990,54,40695.667
1990,55,39318.586
1990,56,37923.523
1990,57,36672.775
1990,58,35693.400
1990,59,34865.865
1990,60,33955.633
1990,61,33023.856
1990,62,31935.378
1990,63,30603.976
1990,64,29106.887
1990,65,27636.838
1990,66,26190.381
1990,67,24659.698
1990,68,23021.870
1990,69,21340.924
1990,70,19670.751
1990,71,17960.935
1990,72,16534.495
1990,73,15545.095
1990,74,14835.292
1990,75,14113.115
1990,76,13459.934
1990,77,12644.083
1990,78,11528.211
1990,79,10235.779
1990,80,9029.272
1990,81,7872.327
1990,82,6793.790
1990,83,5840.190
1990,84,4989.129
1990,85,4169.022
1990,86,3385.314
1990,87,2709.553
1990,88,2167.405
1990,89,1732.834
1990,90,1347.025
1990,91,1013.584
1990,92,745.125
1990,93,539.553
1990,94,386.779
1990,95,274.842
1990,96,204.850
1990,97,150.275
1990,98,97.738
1990,99,51.238
1990,100,95.163
1991,0,132411.952
1991,1,133255.700
1991,2,130723.278
1991,3,128078.078
1991,4,125363.647
1991,5,122623.431
1991,6,119886.626
1991,7,117182.220
1991,8,114626.018
1991,9,112290.482
1991,10,110175.780
1991,11,108121.808
1991,12,106055.095
1991,13,104603.887
1991,14,104031.008
1991,15,104014.790
1991,16,103963.962
1991,17,103988.615
1991,18,103712.385
1991,19,102885.217
1991,20,101662.581
1991,21,100482.172
1991,22,99295.072
1991,23,97818.745
1991,24,95968.399
