year,age,population
1990,0,24.491
1990,1,25.007
1990,2,24.999
1990,3,24.546
1990,4,23.732
1990,5,22.632
1990,6,21.328
1990,7,19.897
1990,8,18.421
1990,9,16.979
1990,10,15.460
1990,11,13.761
1990,12,12.895
1990,13,13.316
1990,14,14.544
1990,15,15.677
1990,16,16.940
1990,17,17.687
1990,18,17.510
1990,19,16.747
1990,20,16.119
1990,21,15.476
1990,22,14.925
1990,23,14.592
1990,24,14.385
1990,25,14.094
1990,26,13.766
1990,27,13.392
1990,28,12.942
1990,29,12.444
1990,30,11.955
1990,31,11.470
1990,32,10.981
1990,33,10.500
1990,34,10.023
1990,35,9.551
1990,36,9.073
1990,37,8.658
1990,38,8.340
1990,39,8.084
1990,40,7.829
1990,41,7.591
1990,42,7.320
1990,43,6.984
1990,44,6.612
1990,45,6.255
1990,46,5.902
1990,47,5.572
1990,48,5.272
1990,49,4.998
1990,50,4.725
1990,51,4.466
1990,52,4.192
1990,53,3.895
1990,54,3.585
1990,55,3.290
1990,56,2.994
1990,57,2.753
1990,58,2.599
1990,59,2.495
1990,60,2.395
1990,61,2.312
1990,62,2.193
1990,63,2.006
1990,64,1.781
1990,65,1.574
1990,66,1.371
1990,67,1.201
1990,68,1.084
1990,69,1.007
1990,70,0.927
1990,71,0.856
1990,72,0.778
1990,73,0.687
1990,74,0.588
1990,75,0.499
1990,76,0.420
1990,77,0.348
1990,78,0.286
1990,79,0.237
1990,80,0.189
1990,81,0.144
1990,82,0.112
1990,83,0.093
1990,84,0.085
1990,85,0.080
1990,86,0.079
1990,87,0.075
1990,88,0.061
1990,89,0.042
1990,90,0.022
1990,91,0.014
1990,92,0.005
1990,93,0.003
1990,94,0.002
1990,95,0.001
1990,96,0.002
1990,97,0.001
1990,98,0.003
1990,99,0.000
1990,100,0.000
1991,0,25.711
1991,1,24.762
1991,2,24.956
1991,3,24.769
1991,4,24.256
1991,5,23.471
1991,6,22.495
1991,7,21.412
1991,8,20.132
1991,9,18.656
1991,10,17.123
1991,11,15.560
1991,12,13.835
1991,13,12.951
1991,14,13.367
1991,15,14.599
1991,16,15.733
1991,17,16.994
1991,18,17.738
1991,19,17.557
1991,20,16.789
1991,21,16.156
1991,22,15.508
1991,23,14.954
1991,24,14.618
1991,25,14.409
1991,26,14.116
1991,27,13.786
1991,28,13.410
1991,29,12.956
1991,30,12.456
1991,31,11.964
1991,32,11.475
1991,33,10.984
1991,34,10.499
1991,35,10.021
1991,36,9.546
1991,37,9.065
1991,38,8.648
1991,39,8.327
1991,40,8.070
1991,41,7.812
1991,42,7.572
1991,43,7.299
1991,44,6.960
1991,45,6.585
1991,46,6.227
1991,47,5.871
1991,48,5.538
1991,49,5.236
1991,50,4.959
1991,51,4.684
1991,52,4.423
1991,53,4.146
1991,54,3.848
1991,55,3.538
1991,56,3.241
1991,57,2.946
1991,58,2.703
1991,59,2.547
1991,60,2.439
1991,61,2.337
1991,62,2.251
1991,63,2.132
1991,64,1.944
1991,65,1.723
1991,66,1.519
1991,67,1.318
1991,68,1.150
1991,69,1.035
1991,70,0.956
1991,71,0.877
1991,72,0.806
1991,73,0.730
1991,74,0.641
1991,75,0.546
1991,76,0.461
1991,77,0.384
1991,78,0.317
1991,79,0.258
1991,80,0.212
1991,81,0.169
1991,82,0.127
1991,83,0.099
1991,84,0.080
1991,85,0.073
1991,86,0.068
1991,87,0.068
1991,88,0.064
1991,89,0.052
1991,90,0.036
1991,91,0.018
1991,92,0.011
1991,93,0.005
1991,94,0.002
1991,95,0.002
1991,96,0.002
1991,97,0.001
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,28.044
1992,1,27.724
1992,2,25.002
1992,3,24.870
1992,4,24.502
1992,5,23.927
1992,6,23.174
1992,7,22.325
1992,8,21.467
1992,9,20.343
1992,10,18.870
1992,11,17.245
1992,12,15.640
1992,13,13.892
1992,14,12.989
1992,15,13.401
1992,16,14.635
1992,17,15.767
1992,18,17.025
1992,19,17.765
1992,20,17.582
1992,21,16.808
1992,22,16.171
1992,23,15.520
1992,24,14.963
1992,25,14.624
1992,26,14.414
1992,27,14.118
1992,28,13.787
1992,29,13.409
1992,30,12.954
1992,31,12.450
1992,32,11.956
1992,33,11.465
1992,34,10.971
1992,35,10.485
1992,36,10.005
1992,37,9.527
1992,38,9.045
1992,39,8.625
1992,40,8.304
1992,41,8.043
1992,42,7.785
1992,43,7.542
1992,44,7.267
1992,45,6.927
1992,46,6.549
1992,47,6.188
1992,48,5.832
1992,49,5.496
1992,50,5.192
1992,51,4.913
1992,52,4.636
1992,53,4.372
1992,54,4.095
1992,55,3.796
1992,56,3.484
1992,57,3.188
1992,58,2.891
1992,59,2.650
1992,60,2.490
1992,61,2.380
1992,62,2.275
1992,63,2.186
1992,64,2.065
1992,65,1.881
1992,66,1.661
1992,67,1.460
1992,68,1.263
1992,69,1.097
1992,70,0.983
1992,71,0.904
1992,72,0.824
1992,73,0.755
1992,74,0.679
1992,75,0.594
1992,76,0.503
1992,77,0.421
1992,78,0.348
1992,79,0.284
1992,80,0.230
1992,81,0.187
1992,82,0.147
1992,83,0.111
1992,84,0.084
1992,85,0.068
1992,86,0.061
1992,87,0.056
1992,88,0.055
1992,89,0.053
1992,90,0.043
1992,91,0.030
1992,92,0.014
1992,93,0.009
1992,94,0.004
1992,95,0.001
1992,96,0.002
1992,97,0.002
1992,98,0.000
1992,99,0.000
1992,100,0.000
1993,0,30.934
1993,1,29.557
1993,2,28.207
1993,3,25.136
1993,4,24.675
1993,5,24.127
1993,6,23.491
1993,7,22.774
1993,8,22.057
1993,9,21.430
1993,10,20.467
1993,11,19.004
1993,12,17.294
1993,13,15.653
1993,14,13.889
1993,15,12.971
1993,16,13.377
1993,17,14.608
1993,18,15.733
1993,19,16.983
1993,20,17.717
1993,21,17.529
1993,22,16.754
1993,23,16.117
1993,24,15.465
1993,25,14.907
1993,26,14.567
1993,27,14.356
1993,28,14.060
1993,29,13.728
1993,30,13.350
1993,31,12.895
1993,32,12.391
1993,33,11.896
1993,34,11.405
1993,35,10.911
1993,36,10.425
1993,37,9.945
1993,38,9.468
1993,39,8.984
1993,40,8.566
1993,41,8.242
1993,42,7.983
1993,43,7.723
1993,44,7.479
1993,45,7.204
1993,46,6.863
1993,47,6.484
1993,48,6.124
1993,49,5.766
1993,50,5.430
1993,51,5.126
1993,52,4.845
1993,53,4.567
1993,54,4.303
1993,55,4.025
1993,56,3.725
1993,57,3.416
1993,58,3.120
1993,59,2.825
1993,60,2.583
1993,61,2.422
1993,62,2.310
1993,63,2.202
1993,64,2.111
1993,65,1.990
1993,66,1.807
1993,67,1.593
1993,68,1.394
1993,69,1.202
1993,70,1.039
1993,71,0.926
1993,72,0.847
1993,73,0.768
1993,74,0.699
1993,75,0.626
1993,76,0.543
1993,77,0.457
1993,78,0.379
1993,79,0.310
1993,80,0.250
1993,81,0.200
1993,82,0.161
1993,83,0.126
1993,84,0.093
1993,85,0.069
1993,86,0.055
1993,87,0.048
1993,88,0.043
1993,89,0.044
1993,90,0.042
1993,91,0.033
1993,92,0.023
1993,93,0.010
1993,94,0.007
1993,95,0.002
1993,96,0.002
1993,97,0.001
1993,98,0.000
1993,99,0.001
1993,100,0.000
1994,0,33.537
1994,1,31.195
1994,2,29.158
1994,3,27.399
1994,4,25.098
1994,5,24.312
1994,6,23.586
1994,7,22.896
1994,8,22.218
1994,9,21.639
1994,10,21.245
1994,11,20.452
1994,12,19.007
1994,13,17.224
1994,14,15.559
1994,15,13.790
1994,16,12.865
1994,17,13.261
1994,18,14.481
1994,19,15.592
1994,20,16.824
1994,21,17.546
1994,22,17.357
1994,23,16.587
1994,24,15.951
1994,25,15.304
1994,26,14.749
1994,27,14.410
1994,28,14.200
1994,29,13.905
1994,30,13.576
1994,31,13.200
1994,32,12.746
1994,33,12.248
1994,34,11.755
1994,35,11.266
1994,36,10.777
1994,37,10.293
1994,38,9.817
1994,39,9.343
1994,40,8.864
1994,41,8.446
1994,42,8.127
1994,43,7.866
1994,44,7.609
1994,45,7.365
1994,46,7.091
1994,47,6.753
1994,48,6.375
1994,49,6.017
1994,50,5.661
1994,51,5.327
1994,52,5.024
1994,53,4.744
1994,54,4.467
1994,55,4.204
1994,56,3.927
1994,57,3.631
1994,58,3.323
1994,59,3.032
1994,60,2.738
1994,61,2.499
1994,62,2.339
1994,63,2.224
1994,64,2.114
1994,65,2.022
1994,66,1.901
1994,67,1.721
1994,68,1.513
1994,69,1.319
1994,70,1.132
1994,71,0.974
1994,72,0.863
1994,73,0.785
1994,74,0.707
1994,75,0.638
1994,76,0.568
1994,77,0.489
1994,78,0.408
1994,79,0.336
1994,80,0.270
1994,81,0.214
1994,82,0.169
1994,83,0.133
1994,84,0.103
1994,85,0.075
1994,86,0.054
1994,87,0.041
1994,88,0.035
1994,89,0.031
1994,90,0.031
1994,91,0.030
1994,92,0.024
1994,93,0.016
1994,94,0.006
1994,95,0.004
