year,age,population
1990,0,146.912
1990,1,141.518
1990,2,136.462
1990,3,131.711
1990,4,127.241
1990,5,123.020
1990,6,119.016
1990,7,115.206
1990,8,111.555
1990,9,108.037
1990,10,104.662
1990,11,101.434
1990,12,98.137
1990,13,94.669
1990,14,91.109
1990,15,87.663
1990,16,84.302
1990,17,80.982
1990,18,77.697
1990,19,74.475
1990,20,71.325
1990,21,68.247
1990,22,65.323
1990,23,62.601
1990,24,60.043
1990,25,57.570
1990,26,55.200
1990,27,52.932
1990,28,50.764
1990,29,48.697
1990,30,46.730
1990,31,44.854
1990,32,43.098
1990,33,41.472
1990,34,39.954
1990,35,38.512
1990,36,37.143
1990,37,35.839
1990,38,34.584
1990,39,33.379
1990,40,32.232
1990,41,31.136
1990,42,30.072
1990,43,29.033
1990,44,28.016
1990,45,27.038
1990,46,26.093
1990,47,25.159
1990,48,24.223
1990,49,23.293
1990,50,22.390
1990,51,21.508
1990,52,20.657
1990,53,19.842
1990,54,19.059
1990,55,18.289
1990,56,17.537
1990,57,16.799
1990,58,16.079
1990,59,15.372
1990,60,14.678
1990,61,13.997
1990,62,13.319
1990,63,12.641
1990,64,11.965
1990,65,11.298
1990,66,10.640
1990,67,9.986
1990,68,9.326
1990,69,8.672
1990,70,8.028
1990,71,7.398
1990,72,6.769
1990,73,6.139
1990,74,5.516
1990,75,4.914
1990,76,4.337
1990,77,3.780
1990,78,3.245
1990,79,2.741
1990,80,2.264
1990,81,1.812
1990,82,1.426
1990,83,1.121
1990,84,0.881
1990,85,0.669
1990,86,0.483
1990,87,0.337
1990,88,0.229
1990,89,0.153
1990,90,0.100
1990,91,0.071
1990,92,0.050
1990,93,0.027
1990,94,0.008
1990,95,0.007
1990,96,0.005
1990,97,0.004
1990,98,0.002
1990,99,0.001
1990,100,0.001
1991,0,148.840
1991,1,144.895
1991,2,139.889
1991,3,135.169
1991,4,130.703
1991,5,126.469
1991,6,122.441
1991,7,118.594
1991,8,114.883
1991,9,111.266
1991,10,107.733
1991,11,104.320
1991,12,101.030
1991,13,97.660
1991,14,94.113
1991,15,90.474
1991,16,86.937
1991,17,83.477
1991,18,80.077
1991,19,76.742
1991,20,73.493
1991,21,70.318
1991,22,67.216
1991,23,64.286
1991,24,61.579
1991,25,59.053
1991,26,56.617
1991,27,54.288
1991,28,52.064
1991,29,49.934
1991,30,47.905
1991,31,45.978
1991,32,44.145
1991,33,42.428
1991,34,40.837
1991,35,39.349
1991,36,37.937
1991,37,36.597
1991,38,35.320
1991,39,34.088
1991,40,32.906
1991,41,31.779
1991,42,30.700
1991,43,29.653
1991,44,28.628
1991,45,27.622
1991,46,26.653
1991,47,25.717
1991,48,24.789
1991,49,23.858
1991,50,22.933
1991,51,22.033
1991,52,21.152
1991,53,20.301
1991,54,19.483
1991,55,18.697
1991,56,17.922
1991,57,17.165
1991,58,16.419
1991,59,15.692
1991,60,14.974
1991,61,14.272
1991,62,13.580
1991,63,12.891
1991,64,12.202
1991,65,11.514
1991,66,10.837
