year,age,population
1990,0,2.514
1990,1,2.641
1990,2,2.723
1990,3,2.763
1990,4,2.767
1990,5,2.743
1990,6,2.692
1990,7,2.626
1990,8,2.542
1990,9,2.454
1990,10,2.354
1990,11,2.245
1990,12,2.164
1990,13,2.130
1990,14,2.130
1990,15,2.117
1990,16,2.094
1990,17,2.104
1990,18,2.159
1990,19,2.236
1990,20,2.307
1990,21,2.388
1990,22,2.385
1990,23,2.244
1990,24,2.021
1990,25,1.808
1990,26,1.589
1990,27,1.401
1990,28,1.275
1990,29,1.188
1990,30,1.094
1990,31,0.996
1990,32,0.930
1990,33,0.910
1990,34,0.919
1990,35,0.930
1990,36,0.953
1990,37,0.957
1990,38,0.925
1990,39,0.871
1990,40,0.826
1990,41,0.784
1990,42,0.744
1990,43,0.707
1990,44,0.674
1990,45,0.642
1990,46,0.607
1990,47,0.582
1990,48,0.572
1990,49,0.572
1990,50,0.571
1990,51,0.575
1990,52,0.573
1990,53,0.566
1990,54,0.556
1990,55,0.545
1990,56,0.535
1990,57,0.525
1990,58,0.521
1990,59,0.516
1990,60,0.511
1990,61,0.506
1990,62,0.493
1990,63,0.467
1990,64,0.435
1990,65,0.403
1990,66,0.369
1990,67,0.339
1990,68,0.316
1990,69,0.295
1990,70,0.277
1990,71,0.256
1990,72,0.237
1990,73,0.216
1990,74,0.197
1990,75,0.178
1990,76,0.161
1990,77,0.142
1990,78,0.129
1990,79,0.113
1990,80,0.100
1990,81,0.087
1990,82,0.076
1990,83,0.066
1990,84,0.057
1990,85,0.049
1990,86,0.042
1990,87,0.037
1990,88,0.029
1990,89,0.024
1990,90,0.018
1990,91,0.014
1990,92,0.010
1990,93,0.007
1990,94,0.005
1990,95,0.003
1990,96,0.002
1990,97,0.002
1990,98,0.000
1990,99,0.001
1990,100,0.001
1991,0,2.557
1991,1,2.493
1991,2,2.592
1991,3,2.660
1991,4,2.697
1991,5,2.707
1991,6,2.696
1991,7,2.667
1991,8,2.617
1991,9,2.536
1991,10,2.442
