year,age,population
1990,0,21.691
1990,1,24.910
1990,2,27.333
1990,3,29.040
1990,4,30.108
1990,5,30.622
1990,6,30.660
1990,7,30.301
1990,8,29.626
1990,9,28.718
1990,10,27.556
1990,11,26.126
1990,12,24.994
1990,13,24.434
1990,14,24.235
1990,15,23.943
1990,16,23.691
1990,17,23.306
1990,18,22.671
1990,19,21.920
1990,20,21.226
1990,21,20.465
1990,22,20.171
1990,23,20.596
1990,24,21.444
1990,25,22.210
1990,26,23.054
1990,27,23.383
1990,28,22.873
1990,29,21.821
1990,30,20.844
1990,31,19.817
1990,32,18.914
1990,33,18.284
1990,34,17.823
1990,35,17.282
1990,36,16.717
1990,37,16.136
1990,38,15.523
1990,39,14.894
1990,40,14.287
1990,41,13.684
1990,42,13.137
1990,43,12.669
1990,44,12.256
1990,45,11.848
1990,46,11.460
1990,47,11.053
1990,48,10.600
1990,49,10.126
1990,50,9.677
1990,51,9.246
1990,52,8.831
1990,53,8.439
1990,54,8.067
1990,55,7.708
1990,56,7.354
1990,57,7.060
1990,58,6.851
1990,59,6.695
1990,60,6.543
1990,61,6.405
1990,62,6.245
1990,63,6.043
1990,64,5.813
1990,65,5.594
1990,66,5.384
1990,67,5.151
1990,68,4.892
1990,69,4.613
1990,70,4.335
1990,71,4.048
1990,72,3.791
1990,73,3.579
1990,74,3.395
1990,75,3.208
1990,76,3.029
1990,77,2.819
1990,78,2.561
1990,79,2.272
1990,80,1.998
1990,81,1.728
1990,82,1.482
1990,83,1.269
1990,84,1.087
1990,85,0.909
1990,86,0.740
1990,87,0.595
1990,88,0.479
1990,89,0.384
1990,90,0.301
1990,91,0.232
1990,92,0.174
1990,93,0.127
1990,94,0.090
1990,95,0.062
1990,96,0.043
1990,97,0.029
1990,98,0.018
1990,99,0.009
1990,100,0.018
1991,0,20.472
1991,1,22.190
1991,2,25.009
1991,3,27.185
1991,4,28.774
1991,5,29.828
1991,6,30.429
1991,7,30.660
1991,8,30.426
1991,9,29.725
1991,10,28.697
1991,11,27.470
1991,12,25.998
1991,13,24.825
1991,14,24.229
1991,15,23.997
1991,16,23.672
1991,17,23.389
1991,18,22.980
1991,19,22.332
1991,20,21.577
1991,21,20.881
1991,22,20.118
1991,23,19.834
1991,24,20.286
1991,25,21.169
1991,26,21.972
1991,27,22.857
1991,28,23.215
1991,29,22.714
1991,30,21.659
1991,31,20.680
1991,32,19.651
1991,33,18.753
1991,34,18.143
1991,35,17.708
1991,36,17.191
1991,37,16.651
1991,38,16.086
1991,39,15.480
1991,40,14.850
1991,41,14.243
1991,42,13.638
1991,43,13.090
1991,44,12.620
1991,45,12.205
1991,46,11.793
1991,47,11.402
1991,48,10.990
1991,49,10.532
1991,50,10.055
1991,51,9.602
1991,52,9.164
1991,53,8.746
1991,54,8.349
1991,55,7.975
1991,56,7.612
1991,57,7.255
1991,58,6.956
1991,59,6.740
1991,60,6.579
1991,61,6.419
1991,62,6.274
1991,63,6.108
1991,64,5.896
1991,65,5.658
1991,66,5.429
1991,67,5.211
1991,68,4.970
1991,69,4.707
1991,70,4.424
1991,71,4.143
1991,72,3.855
1991,73,3.596
1991,74,3.381
1991,75,3.195
1991,76,3.008
1991,77,2.827
1991,78,2.621
1991,79,2.368
1991,80,2.086
1991,81,1.822
1991,82,1.560
1991,83,1.326
1991,84,1.127
1991,85,0.962
1991,86,0.801
1991,87,0.648
1991,88,0.519
1991,89,0.415
1991,90,0.330
1991,91,0.257
1991,92,0.198
1991,93,0.148
1991,94,0.108
1991,95,0.075
1991,96,0.046
1991,97,0.032
1991,98,0.019
1991,99,0.010
1991,100,0.019
1992,0,19.960
1992,1,22.644
1992,2,22.654
1992,3,25.063
1992,4,26.990
1992,5,28.460
1992,6,29.495
1992,7,30.184
1992,8,30.607
1992,9,30.500
1992,10,29.773
1992,11,28.628
1992,12,27.335
1992,13,25.825
1992,14,24.614
1992,15,23.983
1992,16,23.716
1992,17,23.361
1992,18,23.045
1992,19,22.615
1992,20,21.954
1992,21,21.197
1992,22,20.499
1992,23,19.736
1992,24,19.462
1992,25,19.940
1992,26,20.857
1992,27,21.696
1992,28,22.620
1992,29,23.008
1992,30,22.516
1992,31,21.459
1992,32,20.481
1992,33,19.451
1992,34,18.560
1992,35,17.969
1992,36,17.563
1992,37,17.071
1992,38,16.555
1992,39,16.010
1992,40,15.410
1992,41,14.781
1992,42,14.173
1992,43,13.570
1992,44,13.019
1992,45,12.549
1992,46,12.133
1992,47,11.719
1992,48,11.323
1992,49,10.908
1992,50,10.447
1992,51,9.967
1992,52,9.509
1992,53,9.067
1992,54,8.645
1992,55,8.246
1992,56,7.868
1992,57,7.504
1992,58,7.142
1992,59,6.840
1992,60,6.618
1992,61,6.450
1992,62,6.284
1992,63,6.134
1992,64,5.958
1992,65,5.741
1992,66,5.492
1992,67,5.255
1992,68,5.028
1992,69,4.781
1992,70,4.512
1992,71,4.227
1992,72,3.944
1992,73,3.655
1992,74,3.394
1992,75,3.178
1992,76,2.990
1992,77,2.801
1992,78,2.621
1992,79,2.417
1992,80,2.170
1992,81,1.897
1992,82,1.642
1992,83,1.389
1992,84,1.167
1992,85,0.985
1992,86,0.834
1992,87,0.691
1992,88,0.556
1992,89,0.441
1992,90,0.350
1992,91,0.276
1992,92,0.213
1992,93,0.164
1992,94,0.121
1992,95,0.088
1992,96,0.060
1992,97,0.034
1992,98,0.022
1992,99,0.010
1992,100,0.020
1993,0,19.931
1993,1,21.789
1993,2,23.443
1993,3,23.095
1993,4,25.096
1993,5,26.770
1993,6,28.118
1993,7,29.137
1993,8,29.911
1993,9,30.525
1993,10,30.545
1993,11,29.794
1993,12,28.531
1993,13,27.176
1993,14,25.629
1993,15,24.381
1993,16,23.713
1993,17,23.415
1993,18,23.027
1993,19,22.682
1993,20,22.228
1993,21,21.556
1993,22,20.797
1993,23,20.099
1993,24,19.336
1993,25,19.073
1993,26,19.575
1993,27,20.527
1993,28,21.400
1993,29,22.363
1993,30,22.779
1993,31,22.297
1993,32,21.239
1993,33,20.264
1993,34,19.233
1993,35,18.349
