year,age,population
1990,0,211.460
1990,1,212.896
1990,2,213.632
1990,3,213.710
1990,4,213.173
1990,5,212.062
1990,6,210.421
1990,7,208.291
1990,8,205.714
1990,9,202.732
1990,10,199.452
1990,11,195.984
1990,12,192.041
1990,13,187.536
1990,14,182.706
1990,15,177.795
1990,16,172.656
1990,17,168.279
1990,18,165.154
1990,19,162.818
1990,20,160.307
1990,21,157.808
1990,22,155.056
1990,23,151.827
1990,24,148.256
1990,25,144.772
1990,26,141.364
1990,27,137.584
1990,28,133.273
1990,29,128.641
1990,30,123.890
1990,31,118.776
1990,32,114.457
1990,33,111.467
1990,34,109.170
1990,35,106.759
1990,36,104.838
1990,37,100.784
1990,38,93.353
1990,39,83.989
1990,40,75.214
1990,41,66.335
1990,42,59.814
1990,43,57.074
1990,44,56.899
1990,45,56.552
1990,46,56.450
1990,47,56.699
1990,48,57.032
1990,49,57.447
1990,50,58.150
1990,51,59.024
1990,52,59.688
1990,53,59.950
1990,54,59.834
1990,55,59.709
1990,56,59.679
1990,57,58.588
1990,58,55.954
1990,59,52.343
1990,60,48.721
1990,61,44.789
1990,62,41.658
1990,63,39.942
1990,64,39.087
1990,65,38.011
1990,66,37.042
1990,67,35.442
1990,68,32.777
1990,69,29.484
1990,70,26.375
1990,71,23.200
1990,72,20.688
1990,73,19.253
1990,74,18.500
1990,75,17.667
1990,76,16.976
1990,77,15.865
1990,78,14.003
1990,79,11.706
1990,80,9.609
1990,81,7.568
1990,82,5.867
1990,83,4.703
1990,84,3.920
1990,85,3.150
1990,86,2.452
1990,87,1.878
1990,88,1.417
1990,89,1.053
1990,90,0.783
1990,91,0.600
1990,92,0.453
1990,93,0.313
1990,94,0.190
1990,95,0.116
1990,96,0.086
1990,97,0.062
1990,98,0.035
1990,99,0.009
1990,100,0.029
1991,0,205.470
1991,1,211.020
1991,2,212.783
1991,3,213.758
1991,4,214.000
1991,5,213.559
1991,6,212.483
1991,7,210.817
1991,8,208.645
1991,9,206.035
1991,10,203.015
1991,11,199.673
1991,12,196.132
1991,13,192.086
1991,14,187.438
1991,15,182.448
1991,16,177.379
1991,17,172.064
1991,18,167.605
1991,19,164.543
1991,20,162.361
1991,21,159.997
1991,22,157.664
1991,23,155.013
1991,24,151.772
1991,25,148.120
1991,26,144.574
1991,27,141.100
1991,28,137.302
1991,29,133.050
1991,30,128.526
1991,31,123.872
1991,32,118.862
1991,33,114.617
1991,34,111.647
1991,35,109.338
1991,36,106.920
1991,37,104.976
1991,38,100.941
1991,39,93.598
