year,age,population
1990,0,1307.716
1990,1,1322.713
1990,2,1333.603
1990,3,1340.573
1990,4,1343.806
1990,5,1343.488
1990,6,1339.805
1990,7,1332.940
1990,8,1323.077
1990,9,1310.407
1990,10,1295.165
1990,11,1277.594
1990,12,1257.600
1990,13,1235.254
1990,14,1210.908
1990,15,1185.336
1990,16,1158.971
1990,17,1130.753
1990,18,1100.426
1990,19,1068.978
1990,20,1037.399
1990,21,1005.185
1990,22,976.299
1990,23,952.722
1990,24,932.708
1990,25,912.364
1990,26,892.263
1990,27,872.483
1990,28,852.603
1990,29,832.621
1990,30,812.703
1990,31,792.527
1990,32,772.179
1990,33,751.619
1990,34,730.471
1990,35,709.445
1990,36,689.644
1990,37,664.497
1990,38,631.201
1990,39,593.357
1990,40,556.969
1990,41,520.356
1990,42,490.491
1990,43,471.304
1990,44,459.509
1990,45,447.757
1990,46,437.362
1990,47,428.002
1990,48,418.728
1990,49,409.956
1990,50,402.238
1990,51,394.483
1990,52,389.727
1990,53,389.222
1990,54,390.773
1990,55,391.648
1990,56,393.248
1990,57,387.807
1990,58,371.458
1990,59,347.963
1990,60,325.041
1990,61,301.257
1990,62,278.905
1990,63,259.943
1990,64,243.211
1990,65,225.889
1990,66,208.897
1990,67,191.902
1990,68,174.578
1990,69,157.631
1990,70,141.419
1990,71,125.047
1990,72,113.509
1990,73,109.066
1990,74,109.067
1990,75,108.965
1990,76,110.105
1990,77,107.530
1990,78,98.455
1990,79,85.337
1990,80,73.491
1990,81,61.910
1990,82,51.466
1990,83,43.148
1990,84,36.381
1990,85,29.524
1990,86,22.797
1990,87,17.271
1990,88,13.281
1990,89,10.455
1990,90,8.039
1990,91,6.132
1990,92,4.568
1990,93,3.179
1990,94,2.001
1990,95,0.862
1990,96,0.691
1990,97,0.518
1990,98,0.346
1990,99,0.173
1990,100,0.214
1991,0,1298.488
1991,1,1304.275
1991,2,1317.086
1991,3,1326.774
1991,4,1333.353
1991,5,1336.834
1991,6,1337.406
1991,7,1335.256
1991,8,1329.524
1991,9,1319.875
1991,10,1306.847
1991,11,1291.565
1991,12,1274.113
1991,13,1254.157
1991,14,1231.741
1991,15,1207.261
1991,16,1181.550
1991,17,1155.017
1991,18,1126.734
1991,19,1096.517
1991,20,1065.291
1991,21,1033.909
1991,22,1001.899
1991,23,973.184
1991,24,949.715
1991,25,929.768
1991,26,909.502
1991,27,889.480
1991,28,869.766
1991,29,849.932
1991,30,829.985
1991,31,810.093
1991,32,789.941
1991,33,769.608
1991,34,749.058
1991,35,727.916
1991,36,706.891
1991,37,687.080
1991,38,661.938
1991,39,628.674
1991,40,590.875
1991,41,554.521
1991,42,517.932
1991,43,488.075
1991,44,468.868
1991,45,457.030
1991,46,445.223
1991,47,434.758
1991,48,425.310
1991,49,415.928
1991,50,407.028
1991,51,399.173
1991,52,391.285
1991,53,386.329
1991,54,385.530
1991,55,386.730
1991,56,387.262
1991,57,388.506
1991,58,382.791
1991,59,366.300
1991,60,342.751
1991,61,319.769
1991,62,295.940
1991,63,273.525
1991,64,254.456
1991,65,237.595
1991,66,220.149
1991,67,203.010
1991,68,185.943
1991,69,168.669
1991,70,151.833
1991,71,135.734
1991,72,119.549
1991,73,107.934
1991,74,102.994
1991,75,102.263
1991,76,101.512
1991,77,101.988
1991,78,99.096
1991,79,90.250
1991,80,77.731
1991,81,66.457
1991,82,55.481
1991,83,45.680
1991,84,38.005
1991,85,31.877
1991,86,25.696
1991,87,19.676
1991,88,14.766
1991,89,11.242
1991,90,8.773
1991,91,6.704
1991,92,5.124
1991,93,3.829
1991,94,2.656
1991,95,1.647
1991,96,0.816
1991,97,0.459
1991,98,0.206
1991,99,0.045
1991,100,0.221
1992,0,1293.000
1992,1,1302.308
1992,2,1300.539
1992,3,1311.162
1992,4,1319.645
1992,5,1325.831
1992,6,1329.560
1992,7,1331.022
1992,8,1330.405
1992,9,1325.809
1992,10,1316.373
1992,11,1302.991
1992,12,1287.673
1992,13,1270.346
1992,14,1250.430
1992,15,1227.949
1992,16,1203.342
1992,17,1177.497
1992,18,1150.800
1992,19,1122.461
1992,20,1092.361
1992,21,1061.362
1992,22,1030.186
1992,23,998.386
1992,24,969.849
1992,25,946.494
1992,26,926.618
1992,27,906.434
1992,28,886.497
1992,29,866.850
1992,30,847.071
1992,31,827.159
1992,32,807.302
1992,33,787.175
1992,34,766.863
1992,35,746.327
1992,36,725.198
1992,37,704.177
1992,38,684.361
1992,39,659.230
1992,40,626.005
1992,41,588.259
1992,42,551.947
1992,43,515.391
1992,44,485.548
1992,45,466.326
1992,46,454.448
1992,47,442.589
1992,48,432.057
1992,49,422.521
1992,50,413.034
1992,51,404.008
1992,52,396.018
1992,53,387.999
1992,54,382.843
1992,55,381.750
1992,56,382.600
1992,57,382.789
1992,58,383.677
1992,59,377.688
1992,60,361.060
1992,61,337.462
1992,62,314.425
1992,63,290.556
1992,64,268.083
1992,65,248.913
1992,66,231.925
1992,67,214.360
1992,68,197.076
1992,69,179.943
1992,70,162.723
1992,71,146.000
1992,72,130.019
1992,73,114.025
1992,74,102.335
1992,75,96.899
1992,76,95.436
1992,77,94.035
1992,78,93.849
1992,79,90.640
1992,80,82.025
1992,81,70.109
1992,82,59.409
1992,83,49.039
1992,84,39.885
1992,85,32.853
1992,86,27.365
1992,87,21.863
1992,88,16.551
1992,89,12.257
1992,90,9.201
1992,91,7.090
1992,92,5.368
1992,93,4.115
1992,94,3.088
1992,95,2.133
1992,96,1.292
1992,97,0.567
1992,98,0.301
1992,99,0.095
1992,100,0.224
1993,0,1292.062
1993,1,1295.487
1993,2,1299.555
1993,3,1296.791
1993,4,1305.225
1993,5,1312.504
1993,6,1318.298
1993,7,1322.274
1993,8,1324.626
1993,9,1325.541
1993,10,1322.079
1993,11,1312.860
1993,12,1299.122
1993,13,1283.769
1993,14,1266.564
1993,15,1246.692
1993,16,1224.146
1993,17,1199.409
1993,18,1173.433
1993,19,1146.574
1993,20,1118.177
1993,21,1088.194
1993,22,1057.423
1993,23,1026.453
1993,24,994.863
1993,25,966.504
1993,26,943.264
1993,27,923.459
1993,28,903.357
1993,29,883.505
1993,30,863.928
1993,31,844.200
1993,32,824.327
1993,33,804.501
1993,34,784.403
1993,35,764.110
1993,36,743.590
1993,37,722.472
1993,38,701.456
1993,39,681.635
1993,40,656.516
1993,41,623.329
1993,42,585.639
1993,43,549.368
1993,44,512.846
1993,45,483.016
1993,46,463.780
1993,47,451.861
1993,48,439.952
1993,49,429.350
1993,50,419.729
1993,51,410.137
1993,52,400.985
1993,53,392.860
1993,54,384.709
1993,55,379.355
1993,56,377.967
1993,57,378.467
1993,58,378.314
1993,59,378.844
1993,60,372.583
1993,61,355.817
1993,62,332.171
1993,63,309.080
1993,64,285.171
1993,65,262.640
1993,66,243.367
1993,67,226.256
1993,68,208.569
1993,69,191.143
1993,70,173.943
1993,71,156.776
1993,72,140.168
1993,73,124.304
1993,74,108.501
1993,75,96.736
1993,76,90.805
1993,77,88.611
1993,78,86.560
1993,79,85.710
1993,80,82.186
1993,81,73.802
1993,82,62.488
1993,83,52.362
1993,84,42.598
1993,85,34.091
1993,86,27.703
1993,87,22.856
1993,88,18.030
1993,89,13.427
1993,90,9.749
1993,91,7.160
1993,92,5.407
1993,93,4.031
1993,94,3.107
1993,95,2.348
1993,96,1.610
1993,97,0.937
1993,98,0.415
1993,99,0.155
1993,100,0.225
1994,0,1296.270
1994,1,1292.941
1994,2,1292.169
1994,3,1293.420
1994,4,1293.265
1994,5,1299.511
1994,6,1305.589
1994,7,1310.990
1994,8,1315.215
1994,9,1318.456
1994,10,1320.904
1994,11,1318.576
1994,12,1309.570
1994,13,1295.476
1994,14,1280.083
1994,15,1263.001
1994,16,1243.165
1994,17,1220.552
1994,18,1195.683
1994,19,1169.569
1994,20,1142.543
1994,21,1114.084
1994,22,1084.214
1994,23,1053.665
1994,24,1022.895
1994,25,991.511
1994,26,963.325
1994,27,940.195
1994,28,920.458
1994,29,900.435
1994,30,880.664
1994,31,861.152
1994,32,841.474
1994,33,821.636
1994,34,801.839
1994,35,781.763
1994,36,761.488
1994,37,740.981
1994,38,719.870
1994,39,698.855
1994,40,679.026
1994,41,653.913
1994,42,620.761
1994,43,583.118
1994,44,546.884
1994,45,510.387
1994,46,480.568
1994,47,461.313
1994,48,449.353
1994,49,437.388
1994,50,426.719
1994,51,417.009
1994,52,407.309
1994,53,398.032
1994,54,389.768
1994,55,381.485
1994,56,375.933
1994,57,374.249
1994,58,374.399
1994,59,373.904
1994,60,374.077
1994,61,367.542
1994,62,350.636
1994,63,326.937
1994,64,303.787
1994,65,279.836
1994,66,257.242
1994,67,237.865
1994,68,220.625
1994,69,202.815
1994,70,185.244
1994,71,167.973
1994,72,150.857
1994,73,134.360
1994,74,118.611
1994,75,102.997
1994,76,91.155
1994,77,84.726
1994,78,81.802
1994,79,79.101
1994,80,77.588
1994,81,73.747
1994,82,65.592
1994,83,54.878
1994,84,45.326
1994,85,36.166
1994,86,28.303
1994,87,22.558
1994,88,18.350
1994,89,14.202
1994,90,10.305
1994,91,7.243
1994,92,5.120
1994,93,3.726
1994,94,2.696
1994,95,2.099
1994,96,1.609
1994,97,1.086
1994,98,0.583
1994,99,0.205
1994,100,0.229
1995,0,1305.505
1995,1,1295.370
1995,2,1289.426
1995,3,1286.996
1995,4,1287.408
1995,5,1289.982
1995,6,1294.043
1995,7,1298.919
1995,8,1303.930
1995,9,1308.403
1995,10,1312.535
1995,11,1316.517
1995,12,1315.322
1995,13,1306.528
1995,14,1292.075
1995,15,1276.640
1995,16,1259.675
1995,17,1239.875
1995,18,1217.188
1995,19,1192.183
1995,20,1165.926
1995,21,1138.728
1995,22,1110.202
1995,23,1080.438
1995,24,1050.106
1995,25,1019.531
1995,26,988.346
1995,27,960.328
1995,28,937.303
1995,29,917.631
1995,30,897.683
1995,31,877.989
1995,32,858.540
1995,33,838.907
1995,34,819.099
1995,35,799.328
1995,36,779.273
1995,37,759.010
1995,38,738.510
1995,39,717.404
1995,40,696.386
1995,41,676.545
1995,42,651.435
1995,43,618.310
1995,44,580.707
1995,45,544.502
1995,46,508.026
1995,47,478.210
1995,48,458.933
1995,49,446.929
1995,50,434.908
1995,51,424.167
1995,52,414.367
1995,53,404.559
1995,54,395.152
1995,55,386.751
1995,56,378.333
1995,57,372.580
1995,58,370.602
1995,59,370.401
1995,60,369.563
1995,61,369.380
1995,62,362.570
1995,63,345.520
1995,64,321.764
1995,65,298.552
1995,66,274.552
1995,67,251.892
1995,68,232.406
1995,69,215.035
1995,70,197.099
1995,71,179.377
1995,72,162.034
1995,73,144.965
1995,74,128.577
1995,75,112.940
1995,76,97.510
1995,77,85.590
1995,78,78.663
1995,79,75.007
1995,80,71.655
1995,81,69.478
1995,82,65.320
1995,83,57.393
1995,84,47.278
1995,85,38.296
1995,86,29.739
1995,87,22.520
1995,88,17.416
1995,89,13.847
1995,90,10.375
1995,91,7.185
1995,92,4.737
1995,93,3.082
1995,94,2.044
1995,95,1.361
1995,96,1.091
1995,97,0.870
1995,98,0.563
1995,99,0.229
1995,100,0.240
1996,0,1320.401
1996,1,1300.178
1996,2,1290.889
1996,3,1285.585
1996,4,1283.612
1996,5,1284.322
1996,6,1287.052
1996,7,1291.138
1996,8,1295.982
1996,9,1300.943
1996,10,1305.346
1996,11,1309.347
1996,12,1313.146
1996,13,1311.800
1996,14,1302.924
1996,15,1288.438
1996,16,1272.956
1996,17,1255.934
1996,18,1236.132
1996,19,1213.524
1996,20,1188.651
1996,21,1162.527
1996,22,1135.470
1996,23,1107.070
1996,24,1077.397
1996,25,1047.131
1996,26,1016.629
1996,27,985.518
1996,28,957.559
1996,29,934.571
1996,30,914.920
1996,31,894.989
1996,32,875.304
1996,33,855.861
1996,34,836.230
1996,35,816.422
1996,36,796.647
1996,37,776.584
1996,38,756.308
1996,39,735.783
1996,40,714.648
1996,41,693.596
1996,42,673.711
1996,43,648.581
1996,44,615.480
1996,45,577.922
1996,46,541.746
1996,47,505.292
1996,48,475.466
1996,49,456.134
1996,50,444.038
1996,51,431.910
1996,52,421.043
1996,53,411.091
1996,54,401.104
1996,55,391.488
1996,56,382.867
1996,57,374.229
1996,58,368.186
1996,59,365.814
1996,60,365.162
1996,61,363.880
1996,62,363.246
1996,63,356.064
1996,64,338.774
1996,65,314.868
1996,66,291.515
1996,67,267.406
1996,68,244.625
1996,69,224.976
1996,70,207.432
1996,71,189.355
1996,72,171.489
1996,73,154.139
1996,74,137.267
1996,75,121.201
1996,76,105.902
1996,77,90.893
1996,78,79.198
1996,79,72.166
1996,80,68.226
1996,81,64.661
1996,82,62.251
1996,83,58.169
1996,84,50.806
1996,85,41.565
1996,86,33.412
1996,87,25.703
1996,88,19.250
1996,89,14.749
1996,90,11.660
1996,91,8.690
1996,92,6.007
1996,93,3.955
1996,94,2.547
1996,95,1.646
1996,96,1.138
1996,97,0.886
1996,98,0.561
1996,99,0.224
1996,100,0.258
1997,0,1340.387
1997,1,1315.858
1997,2,1294.802
1997,3,1286.361
1997,4,1281.697
1997,5,1280.181
1997,6,1281.189
1997,7,1284.074
1997,8,1288.187
1997,9,1292.996
1997,10,1297.908
1997,11,1302.242
1997,12,1306.109
1997,13,1309.728
1997,14,1308.230
1997,15,1299.272
1997,16,1284.754
1997,17,1269.225
1997,18,1252.146
1997,19,1232.344
1997,20,1209.816
1997,21,1185.076
1997,22,1159.084
1997,23,1132.172
1997,24,1103.897
1997,25,1074.316
1997,26,1044.117
1997,27,1013.690
1997,28,982.654
1997,29,954.754
1997,30,931.805
1997,31,912.176
1997,32,892.261
1997,33,872.588
1997,34,853.150
1997,35,833.524
1997,36,813.715
1997,37,793.936
1997,38,773.867
1997,39,753.578
1997,40,733.030
1997,41,711.866
1997,42,690.781
1997,43,670.852
1997,44,645.704
1997,45,612.627
1997,46,575.116
1997,47,538.971
1997,48,502.540
1997,49,472.705
1997,50,453.318
1997,51,441.130
1997,52,428.898
1997,53,417.905
1997,54,407.800
1997,55,397.634
1997,56,387.810
1997,57,378.970
1997,58,370.113
1997,59,363.779
1997,60,361.014
1997,61,359.910
1997,62,358.186
1997,63,357.099
1997,64,349.547
1997,65,332.017
1997,66,307.963
1997,67,284.467
1997,68,260.253
1997,69,237.351
1997,70,217.539
1997,71,199.825
1997,72,181.605
1997,73,163.597
1997,74,146.240
1997,75,129.567
1997,76,113.822
1997,77,98.862
1997,78,84.274
1997,79,72.806
1997,80,65.668
1997,81,61.444
1997,82,57.665
1997,83,55.024
1997,84,51.019
1997,85,44.218
1997,86,35.852
1997,87,28.529
1997,88,21.666
1997,89,15.982
1997,90,12.081
1997,91,9.473
1997,92,7.006
1997,93,4.828
1997,94,3.174
1997,95,2.011
1997,96,1.249
1997,97,0.860
1997,98,0.517
1997,99,0.195
1997,100,0.284
1998,0,1360.429
1998,1,1330.072
1998,2,1307.065
1998,3,1289.480
1998,4,1281.886
1998,5,1277.860
1998,6,1276.801
1998,7,1278.109
1998,8,1281.147
1998,9,1285.287
1998,10,1290.063
1998,11,1294.926
1998,12,1299.190
1998,13,1302.925
1998,14,1306.361
1998,15,1304.713
1998,16,1295.673
1998,17,1281.122
1998,18,1265.546
1998,19,1248.409
1998,20,1228.606
1998,21,1206.157
1998,22,1181.548
1998,23,1155.689
1998,24,1128.918
1998,25,1100.769
1998,26,1071.279
1998,27,1041.146
1998,28,1010.791
1998,29,979.830
1998,30,951.989
1998,31,929.076
1998,32,909.469
1998,33,889.570
1998,34,869.907
1998,35,850.474
1998,36,830.850
1998,37,811.041
1998,38,791.258
1998,39,771.182
1998,40,750.878
1998,41,730.307
1998,42,709.112
1998,43,687.995
1998,44,668.020
1998,45,642.854
1998,46,609.800
1998,47,572.333
1998,48,536.218
1998,49,499.808
1998,50,469.964
1998,51,450.521
1998,52,438.241
1998,53,425.903
1998,54,414.783
1998,55,404.528
1998,56,394.180
1998,57,384.149
1998,58,375.089
1998,59,366.013
1998,60,359.388
1998,61,356.230
1998,62,354.673
1998,63,352.507
1998,64,350.968
1998,65,343.046
1998,66,325.275
1998,67,301.072
1998,68,277.434
1998,69,253.111
1998,70,230.089
1998,71,210.113
1998,72,192.226
1998,73,173.866
1998,74,155.713
1998,75,138.350
1998,76,121.873
1998,77,106.451
1998,78,91.827
1998,79,77.661
1998,80,66.417
1998,81,59.175
1998,82,54.667
1998,83,50.674
1998,84,47.800
1998,85,43.873
1998,86,37.634
1998,87,30.142
1998,88,23.648
1998,89,17.631
1998,90,12.715
1998,91,9.414
1998,92,7.287
1998,93,5.323
1998,94,3.651
1998,95,2.392
1998,96,1.476
1998,97,0.852
1998,98,0.496
1998,99,0.114
1998,100,0.311
1999,0,1373.827
1999,1,1341.201
1999,2,1315.728
1999,3,1296.670
1999,4,1284.406
1999,5,1277.656
1999,6,1274.268
1999,7,1273.667
1999,8,1275.273
1999,9,1278.466
1999,10,1282.634
1999,11,1287.377
1999,12,1292.191
1999,13,1296.387
1999,14,1299.990
1999,15,1303.246
1999,16,1301.446
1999,17,1292.322
1999,18,1277.735
1999,19,1262.109
1999,20,1244.912
1999,21,1225.103
1999,22,1202.729
1999,23,1178.248
1999,24,1152.516
1999,25,1125.880
1999,26,1097.852
1999,27,1068.447
1999,28,1038.375
1999,29,1008.087
1999,30,977.193
1999,31,949.405
1999,32,926.527
1999,33,906.935
1999,34,887.050
1999,35,867.392
1999,36,847.961
1999,37,828.337
1999,38,808.523
1999,39,788.730
1999,40,768.644
1999,41,748.324
1999,42,727.722
1999,43,706.496
1999,44,685.340
1999,45,665.317
1999,46,640.126
1999,47,607.090
1999,48,569.660
1999,49,533.568
1999,50,497.172
1999,51,467.313
1999,52,447.810
1999,53,435.437
1999,54,422.989
1999,55,411.742
1999,56,401.332
1999,57,390.803
1999,58,380.561
1999,59,371.280
1999,60,361.983
1999,61,355.066
1999,62,351.514
1999,63,349.505
1999,64,346.896
1999,65,344.905
1999,66,336.610
1999,67,318.597
1999,68,294.238
1999,69,270.454
1999,70,246.018
1999,71,222.871
1999,72,202.728
1999,73,184.665
1999,74,166.159
1999,75,147.860
1999,76,130.486
1999,77,114.204
1999,78,99.099
1999,79,84.812
1999,80,71.062
1999,81,60.042
1999,82,52.693
1999,83,47.900
1999,84,43.693
1999,85,40.587
1999,86,36.735
1999,87,31.057
1999,88,24.438
1999,89,18.773
1999,90,13.600
1999,91,9.450
1999,92,6.749
1999,93,5.103
1999,94,3.640
1999,95,2.474
1999,96,1.611
1999,97,0.941
1999,98,0.456
1999,99,0.081
1999,100,0.335
2000,0,1376.049
2000,1,1346.002
2000,2,1321.896
2000,3,1303.174
2000,4,1289.278
2000,5,1279.654
2000,6,1273.747
2000,7,1270.997
2000,8,1270.853
2000,9,1272.758
2000,10,1276.108
2000,11,1280.303
2000,12,1285.015
2000,13,1289.783
2000,14,1293.910
2000,15,1297.383
2000,16,1300.458
2000,17,1298.507
2000,18,1289.296
2000,19,1274.670
2000,20,1258.990
2000,21,1241.727
2000,22,1221.909
2000,23,1199.604
2000,24,1175.243
2000,25,1149.632
2000,26,1123.127
2000,27,1095.211
2000,28,1065.884
2000,29,1035.864
2000,30,1005.636
2000,31,974.803
2000,32,947.061
2000,33,924.209
2000,34,904.630
2000,35,884.753
2000,36,865.096
2000,37,845.661
2000,38,826.031
2000,39,806.208
2000,40,786.402
2000,41,766.300
2000,42,745.956
2000,43,725.322
2000,44,704.056
2000,45,682.857
2000,46,662.781
2000,47,637.559
2000,48,604.532
2000,49,567.130
2000,50,531.052
2000,51,494.661
2000,52,464.778
2000,53,445.212
2000,54,432.741
2000,55,420.182
2000,56,408.803
2000,57,398.236
2000,58,387.523
2000,59,377.069
2000,60,367.563
2000,61,358.042
2000,62,350.832
2000,63,346.885
2000,64,344.424
2000,65,341.370
2000,66,338.927
2000,67,330.257
2000,68,311.995
2000,69,287.477
2000,70,263.539
2000,71,238.985
2000,72,215.706
2000,73,195.391
2000,74,177.148
2000,75,158.492
2000,76,140.040
2000,77,122.653
2000,78,106.560
2000,79,91.770
2000,80,77.814
2000,81,64.479
2000,82,53.679
2000,83,46.222
2000,84,41.143
2000,85,36.721
2000,86,33.380
2000,87,29.604
2000,88,24.486
2000,89,18.738
2000,90,13.899
2000,91,9.571
2000,92,6.186
2000,93,4.086
2000,94,2.919
2000,95,1.957
2000,96,1.298
2000,97,0.830
2000,98,0.406
2000,99,0.059
2000,100,0.352
2001,0,1363.183
2001,1,1365.672
2001,2,1340.860
2001,3,1320.132
2001,4,1303.231
2001,5,1289.899
2001,6,1279.594
2001,7,1271.776
2001,8,1267.602
2001,9,1267.385
2001,10,1270.017
2001,11,1273.478
2001,12,1277.458
2001,13,1281.977
2001,14,1286.607
2001,15,1290.639
2001,16,1293.999
2001,17,1296.953
2001,18,1294.931
2001,19,1285.723
2001,20,1271.150
2001,21,1255.526
2001,22,1238.331
2001,23,1218.574
2001,24,1196.314
2001,25,1171.985
2001,26,1146.417
2001,27,1119.957
2001,28,1092.085
2001,29,1062.801
2001,30,1032.819
2001,31,1002.628
2001,32,971.828
2001,33,944.112
2001,34,921.278
2001,35,901.710
2001,36,881.838
2001,37,862.182
2001,38,842.740
2001,39,823.091
2001,40,803.242
2001,41,783.406
2001,42,763.272
2001,43,742.887
2001,44,722.203
2001,45,700.881
2001,46,679.618
2001,47,659.464
2001,48,634.193
2001,49,601.163
2001,50,563.782
2001,51,527.704
2001,52,491.302
2001,53,461.368
2001,54,441.694
2001,55,429.067
2001,56,416.331
2001,57,404.745
2001,58,393.948
2001,59,382.981
2001,60,372.245
2001,61,362.440
2001,62,352.631
2001,63,345.005
2001,64,340.461
2001,65,337.296
2001,66,333.571
2001,67,330.465
2001,68,321.242
2001,69,302.603
2001,70,277.845
2001,71,253.699
2001,72,228.986
2001,73,205.639
2001,74,185.353
2001,75,167.230
2001,76,148.747
2001,77,130.498
2001,78,113.471
2001,79,97.944
2001,80,83.853
2001,81,70.618
2001,82,58.067
2001,83,47.911
2001,84,40.854
2001,85,36.022
2001,86,31.883
2001,87,28.794
2001,88,25.399
2001,89,20.876
2001,90,15.845
2001,91,11.628
2001,92,7.990
2001,93,5.150
2001,94,3.376
2001,95,2.382
2001,96,1.364
2001,97,0.761
2001,98,0.354
2001,99,0.103
2001,100,0.360
2002,0,1340.056
2002,1,1331.951
2002,2,1356.476
2002,3,1336.874
2002,4,1319.504
2002,5,1304.411
2002,6,1291.628
2002,7,1280.635
2002,8,1270.900
2002,9,1265.300
2002,10,1265.009
2002,11,1268.369
2002,12,1271.946
2002,13,1275.714
2002,14,1280.043
2002,15,1284.540
2002,16,1288.479
2002,17,1291.731
2002,18,1294.565
2002,19,1292.470
2002,20,1283.258
2002,21,1268.726
2002,22,1253.144
2002,23,1236.001
2002,24,1216.290
2002,25,1194.054
2002,26,1169.738
2002,27,1144.189
2002,28,1117.752
2002,29,1089.901
2002,30,1060.632
2002,31,1030.666
2002,32,1000.483
2002,33,969.691
2002,34,941.977
2002,35,919.141
2002,36,899.566
2002,37,879.683
2002,38,860.011
2002,39,840.546
2002,40,820.861
2002,41,800.968
2002,42,781.085
2002,43,760.902
2002,44,740.460
2002,45,719.706
2002,46,698.310
2002,47,676.965
2002,48,656.717
2002,49,631.374
2002,50,598.312
2002,51,560.920
2002,52,524.812
2002,53,488.367
2002,54,458.357
2002,55,438.557
2002,56,425.763
2002,57,412.840
2002,58,401.038
2002,59,390.000
2002,60,378.770
2002,61,367.744
2002,62,357.632
