year,age,population
1990,0,125.468
1990,1,120.224
1990,2,115.396
1990,3,110.955
1990,4,106.875
1990,5,103.134
1990,6,99.700
1990,7,96.551
1990,8,93.662
1990,9,91.004
1990,10,88.571
1990,11,86.348
1990,12,84.234
1990,13,82.170
1990,14,80.176
1990,15,78.356
1990,16,76.711
1990,17,75.063
1990,18,73.340
1990,19,71.624
1990,20,69.977
1990,21,68.274
1990,22,67.074
1990,23,66.627
1990,24,66.609
1990,25,66.470
1990,26,66.333
1990,27,65.686
1990,28,64.228
1990,29,62.178
1990,30,60.133
1990,31,58.039
1990,32,55.588
1990,33,52.707
1990,34,49.537
1990,35,46.324
1990,36,43.046
1990,37,39.879
1990,38,36.940
1990,39,34.194
1990,40,31.557
1990,41,29.136
1990,42,26.731
1990,43,24.262
1990,44,21.909
1990,45,19.725
1990,46,17.449
1990,47,16.533
1990,48,17.624
1990,49,19.944
1990,50,22.193
1990,51,24.783
1990,52,26.114
1990,53,25.312
1990,54,23.168
1990,55,21.282
1990,56,19.235
1990,57,17.858
1990,58,17.696
1990,59,18.250
1990,60,18.547
1990,61,18.870
1990,62,18.590
1990,63,17.332
1990,64,15.461
1990,65,13.725
1990,66,11.978
1990,67,10.478
1990,68,9.429
1990,69,8.695
1990,70,7.904
1990,71,7.093
1990,72,6.491
1990,73,6.168
1990,74,6.023
1990,75,5.909
1990,76,5.879
1990,77,5.685
1990,78,5.199
1990,79,4.533
1990,80,3.931
1990,81,3.343
1990,82,2.833
1990,83,2.458
1990,84,2.176
1990,85,1.888
1990,86,1.619
1990,87,1.362
1990,88,1.111
1990,89,0.873
1990,90,0.662
1990,91,0.472
1990,92,0.322
1990,93,0.226
1990,94,0.167
1990,95,0.122
1990,96,0.095
1990,97,0.071
1990,98,0.047
1990,99,0.024
1990,100,0.043
1991,0,125.550
1991,1,124.167
1991,2,119.596
1991,3,115.221
1991,4,111.044
1991,5,107.078
1991,6,103.299
1991,7,99.681
1991,8,96.399
1991,9,93.531
1991,10,90.985
1991,11,88.585
1991,12,86.356
1991,13,84.233
1991,14,82.162
1991,15,80.161
1991,16,78.331
1991,17,76.672
1991,18,75.011
1991,19,73.280
1991,20,71.559
1991,21,69.906
1991,22,68.197
1991,23,66.989
1991,24,66.532
1991,25,66.504
1991,26,66.354
1991,27,66.206
1991,28,65.551
1991,29,64.086
1991,30,62.030
1991,31,59.980
1991,32,57.881
1991,33,55.426
1991,34,52.542
1991,35,49.371
1991,36,46.156
1991,37,42.877
1991,38,39.710
1991,39,36.771
1991,40,34.024
1991,41,31.386
1991,42,28.961
1991,43,26.557
1991,44,24.099
