year,age,population
1990,0,757.781
1990,1,717.899
1990,2,681.269
1990,3,647.667
1990,4,616.872
1990,5,588.651
1990,6,562.786
1990,7,539.047
1990,8,517.210
1990,9,497.053
1990,10,478.517
1990,11,461.550
1990,12,445.070
1990,13,428.512
1990,14,412.161
1990,15,396.797
1990,16,382.173
1990,17,368.177
1990,18,354.805
1990,19,341.932
1990,20,329.516
1990,21,317.663
1990,22,305.541
1990,23,292.759
1990,24,279.711
1990,25,267.165
1990,26,254.967
1990,27,243.440
1990,28,232.824
1990,29,222.955
1990,30,213.344
1990,31,203.983
1990,32,195.369
1990,33,187.667
1990,34,180.620
1990,35,173.895
1990,36,167.654
1990,37,161.058
1990,38,153.695
1990,39,145.970
1990,40,138.599
1990,41,131.294
1990,42,124.977
1990,43,120.135
1990,44,116.240
1990,45,112.491
1990,46,109.300
1990,47,105.091
1990,48,99.085
1990,49,92.147
1990,50,85.655
1990,51,79.000
1990,52,74.502
1990,53,73.351
1990,54,74.289
1990,55,74.974
1990,56,76.002
1990,57,75.652
1990,58,72.870
1990,59,68.538
1990,60,64.582
1990,61,60.619
1990,62,56.899
1990,63,53.733
1990,64,50.915
1990,65,47.930
1990,66,44.901
1990,67,41.861
1990,68,38.786
1990,69,35.716
1990,70,32.731
1990,71,29.823
1990,72,27.023
1990,73,24.355
1990,74,21.817
1990,75,19.383
1990,76,17.057
1990,77,14.899
1990,78,12.938
1990,79,11.154
1990,80,9.494
1990,81,7.962
1990,82,6.598
1990,83,5.419
1990,84,4.402
1990,85,3.501
1990,86,2.711
1990,87,2.056
1990,88,1.540
1990,89,1.139
1990,90,0.823
1990,91,0.588
1990,92,0.406
1990,93,0.260
1990,94,0.148
1990,95,0.090
1990,96,0.072
1990,97,0.056
1990,98,0.034
1990,99,0.011
1990,100,0.020
1991,0,786.790
1991,1,747.136
1991,2,709.079
1991,3,674.128
1991,4,642.051
1991,5,612.616
1991,6,585.621
1991,7,560.875
1991,8,537.944
1991,9,516.510
1991,10,496.465
1991,11,477.947
1991,12,460.872
1991,13,444.279
1991,14,427.687
1991,15,411.332
1991,16,395.871
1991,17,381.092
1991,18,366.877
1991,19,353.206
1991,20,339.982
1991,21,327.211
1991,22,314.994
1991,23,302.529
1991,24,289.449
1991,25,276.142
1991,26,263.348
1991,27,250.916
1991,28,239.216
1991,29,228.505
1991,30,218.608
1991,31,208.992
1991,32,199.655
1991,33,191.117
1991,34,183.551
1991,35,176.685
1991,36,170.160
1991,37,164.130
1991,38,157.776
1991,39,150.689
1991,40,143.256
1991,41,136.179
1991,42,129.178
1991,43,123.098
1991,44,118.389
1991,45,114.555
1991,46,110.866
1991,47,107.714
1991,48,103.558
1991,49,97.639
1991,50,90.804
1991,51,84.392
1991,52,77.811
1991,53,73.338
1991,54,72.140
1991,55,72.987
1991,56,73.580
1991,57,74.506
1991,58,74.074
1991,59,71.248
1991,60,66.896
1991,61,62.915
1991,62,58.927
1991,63,55.180
1991,64,51.983
1991,65,49.132
1991,66,46.123
1991,67,43.076
1991,68,40.026
1991,69,36.953
1991,70,33.895
1991,71,30.930
1991,72,28.048
1991,73,25.287
1991,74,22.675
1991,75,20.205
1991,76,17.845
1991,77,15.599
1991,78,13.531
1991,79,11.673
1991,80,10.002
1991,81,8.456
1991,82,7.037
1991,83,5.788
1991,84,4.718
1991,85,3.806
1991,86,3.008
1991,87,2.318
1991,88,1.750
1991,89,1.301
1991,90,0.951
1991,91,0.682
1991,92,0.490
1991,93,0.339
1991,94,0.217
1991,95,0.121
1991,96,0.075
1991,97,0.059
1991,98,0.035
1991,99,0.010
1991,100,0.021
1992,0,816.868
1992,1,773.195
1992,2,736.165
1992,3,699.950
1992,4,666.696
1992,5,636.158
1992,6,608.097
1992,7,582.340
1992,8,558.725
1992,9,536.611
1992,10,515.593
1992,11,495.665
1992,12,477.175
1992,13,459.998
1992,14,443.299
1992,15,426.682
1992,16,410.328
1992,17,394.776
1992,18,379.849
1992,19,365.420
1992,20,351.456
1992,21,337.888
1992,22,324.765
1992,23,312.188
1992,24,299.386
1992,25,286.015
1992,26,272.453
1992,27,259.416
1992,28,246.755
1992,29,234.885
1992,30,224.087
1992,31,214.163
1992,32,204.549
1992,33,195.238
1992,34,186.780
1992,35,179.352
1992,36,172.673
1992,37,166.349
1992,38,160.533
1992,39,154.424
1992,40,147.616
1992,41,140.479
1992,42,133.698
1992,43,127.006
1992,44,121.166
1992,45,116.591
1992,46,112.820
1992,47,109.193
1992,48,106.081
1992,49,101.979
1992,50,96.151
1992,51,89.421
1992,52,83.093
1992,53,76.587
1992,54,72.141
1992,55,70.899
1992,56,71.652
1992,57,72.153
1992,58,72.978
1992,59,72.462
1992,60,69.595
1992,61,65.225
1992,62,61.219
1992,63,57.208
1992,64,53.436
1992,65,50.210
1992,66,47.326
1992,67,44.295
1992,68,41.230
1992,69,38.173
1992,70,35.103
1992,71,32.059
1992,72,29.114
1992,73,26.259
1992,74,23.538
1992,75,20.983
1992,76,18.584
1992,77,16.298
1992,78,14.132
1992,79,12.157
1992,80,10.402
1992,81,8.845
1992,82,7.412
1992,83,6.110
1992,84,4.973
1992,85,4.014
1992,86,3.208
1992,87,2.513
1992,88,1.925
1992,89,1.443
1992,90,1.060
1992,91,0.763
1992,92,0.542
1992,93,0.390
1992,94,0.272
1992,95,0.173
1992,96,0.095
1992,97,0.062
1992,98,0.037
1992,99,0.012
1992,100,0.021
1993,0,846.959
1993,1,801.363
1993,2,759.684
1993,3,724.905
1993,4,690.547
1993,5,659.003
1993,6,630.017
1993,7,603.340
1993,8,578.831
1993,9,556.358
1993,10,535.071
1993,11,514.473
1993,12,494.672
1993,13,476.217
1993,14,458.945
1993,15,442.147
1993,16,425.509
1993,17,409.165
1993,18,393.526
1993,19,378.459
1993,20,363.821
1993,21,349.569
1993,22,335.660
1993,23,322.193
1993,24,309.261
1993,25,296.126
1993,26,282.468
1993,27,268.657
1993,28,255.382
1993,29,242.498
1993,30,230.463
1993,31,219.579
1993,32,209.636
1993,33,200.024
1993,34,190.745
1993,35,182.370
1993,36,175.083
1993,37,168.593
1993,38,162.472
1993,39,156.873
1993,40,151.012
1993,41,144.485
1993,42,137.646
1993,43,131.167
1993,44,124.782
1993,45,119.186
1993,46,114.748
1993,47,111.042
1993,48,107.476
1993,49,104.407
1993,50,100.361
1993,51,94.623
1993,52,88.003
1993,53,81.762
1993,54,75.333
1993,55,70.917
1993,56,69.629
1993,57,70.289
1993,58,70.699
1993,59,71.420
1993,60,70.823
1993,61,67.913
1993,62,63.528
1993,63,59.500
1993,64,55.467
1993,65,51.671
1993,66,48.416
1993,67,45.503
1993,68,42.448
1993,69,39.369
1993,70,36.304
1993,71,33.239
1993,72,30.209
1993,73,27.286
1993,74,24.460
1993,75,21.781
1993,76,19.283
1993,77,16.954
1993,78,14.745
1993,79,12.660
1993,80,10.777
1993,81,9.128
1993,82,7.683
1993,83,6.366
1993,84,5.179
1993,85,4.157
1993,86,3.309
1993,87,2.609
1993,88,2.017
1993,89,1.530
1993,90,1.135
1993,91,0.819
1993,92,0.575
1993,93,0.401
1993,94,0.291
1993,95,0.205
1993,96,0.129
1993,97,0.068
1993,98,0.038
1993,99,0.012
1993,100,0.022
1994,0,875.756
1994,1,828.841
1994,2,785.927
1994,3,746.724
1994,4,713.480
1994,5,680.986
1994,6,651.158
1994,7,623.730
1994,8,598.444
1994,9,575.188
1994,10,553.860
1994,11,533.404
1994,12,513.233
1994,13,493.564
1994,14,475.148
1994,15,457.783
1994,16,440.891
1994,17,424.237
1994,18,407.906
1994,19,392.185
1994,20,376.979
1994,21,362.137
1994,22,347.600
1994,23,333.356
1994,24,319.546
1994,25,306.262
1994,26,292.798
1994,27,278.856
1994,28,264.800
1994,29,251.290
1994,30,238.185
1994,31,225.989
1994,32,215.023
1994,33,205.060
1994,34,195.455
1994,35,186.209
1994,36,177.918
1994,37,170.775
1994,38,164.474
1994,39,158.561
1994,40,153.177
1994,41,147.566
1994,42,141.321
1994,43,134.783
1994,44,128.604
1994,45,122.532
1994,46,117.179
1994,47,112.878
1994,48,109.238
1994,49,105.735
1994,50,102.708
1994,51,98.720
1994,52,93.076
1994,53,86.565
1994,54,80.411
1994,55,74.062
1994,56,69.676
1994,57,68.344
1994,58,68.911
1994,59,69.228
1994,60,69.846
1994,61,69.167
1994,62,66.218
1994,63,61.816
1994,64,57.767
1994,65,53.714
1994,66,49.895
1994,67,46.611
1994,68,43.669
1994,69,40.594
1994,70,37.498
1994,71,34.429
1994,72,31.367
1994,73,28.354
1994,74,25.453
1994,75,22.656
1994,76,20.018
1994,77,17.580
1994,78,15.321
1994,79,13.189
1994,80,11.186
1994,81,9.395
1994,82,7.851
1994,83,6.520
1994,84,5.319
1994,85,4.248
1994,86,3.341
1994,87,2.603
1994,88,2.009
1994,89,1.521
1994,90,1.135
1994,91,0.827
1994,92,0.579
1994,93,0.385
1994,94,0.260
1994,95,0.192
1994,96,0.139
1994,97,0.085
1994,98,0.041
1994,99,0.013
1994,100,0.023
1995,0,902.451
1995,1,855.132
