year,age,population
1990,0,603.662
1990,1,645.802
1990,2,679.985
1990,3,706.921
1990,4,727.322
1990,5,741.900
1990,6,751.365
1990,7,756.428
1990,8,757.804
1990,9,756.199
1990,10,751.337
1990,11,742.934
1990,12,736.666
1990,13,735.224
1990,14,736.345
1990,15,736.378
1990,16,737.623
1990,17,732.842
1990,18,718.576
1990,19,699.313
1990,20,681.694
1990,21,662.816
1990,22,655.496
1990,23,666.274
1990,24,688.607
1990,25,709.740
1990,26,732.624
1990,27,750.347
1990,28,758.305
1990,29,760.126
1990,30,762.343
1990,31,761.616
1990,32,766.787
1990,33,782.250
1990,34,802.254
1990,35,818.818
1990,36,836.141
1990,37,835.238
1990,38,806.681
1990,39,760.374
1990,40,718.118
1990,41,678.524
1990,42,638.367
1990,43,599.206
1990,44,564.131
1990,45,527.485
1990,46,481.778
1990,47,477.494
1990,48,536.440
1990,49,632.102
1990,50,723.380
1990,51,827.160
1990,52,873.888
1990,53,827.569
1990,54,724.234
1990,55,630.388
1990,56,526.107
1990,57,467.899
1990,58,488.460
1990,59,556.794
1990,60,611.762
1990,61,668.660
1990,62,694.326
1990,63,667.093
1990,64,605.666
1990,65,552.046
1990,66,499.778
1990,67,448.015
1990,68,401.179
1990,69,359.027
1990,70,314.104
1990,71,264.562
1990,72,234.975
1990,73,235.772
1990,74,255.361
1990,75,273.039
1990,76,294.517
1990,77,300.959
1990,78,281.402
1990,79,245.337
1990,80,213.409
1990,81,181.716
1990,82,153.082
1990,83,131.066
1990,84,113.607
1990,85,94.976
1990,86,76.178
1990,87,60.056
1990,88,47.416
1990,89,37.518
1990,90,28.645
1990,91,20.912
1990,92,14.843
1990,93,10.450
1990,94,7.413
1990,95,5.339
1990,96,4.230
1990,97,3.348
1990,98,2.258
1990,99,1.145
1990,100,2.141
1991,0,579.895
1991,1,610.671
1991,2,649.448
1991,3,681.638
1991,4,707.704
1991,5,728.102
1991,6,743.574
1991,7,754.856
1991,8,761.020
1991,9,761.981
1991,10,759.023
1991,11,753.294
1991,12,744.281
1991,13,737.323
1991,14,735.106
1991,15,735.441
1991,16,734.708
1991,17,735.136
1991,18,729.992
1991,19,716.051
1991,20,697.557
1991,21,680.667
1991,22,662.570
1991,23,655.881
1991,24,666.985
1991,25,689.435
1991,26,710.732
1991,27,733.789
1991,28,751.572
1991,29,759.445
1991,30,761.077
1991,31,763.073
1991,32,762.092
1991,33,766.970
1991,34,782.104
1991,35,801.758
1991,36,817.951
1991,37,834.876
1991,38,833.634
1991,39,804.836
1991,40,758.350
1991,41,715.877
1991,42,676.011
1991,43,635.662
1991,44,596.431
1991,45,561.330
1991,46,524.643
1991,47,478.961
1991,48,474.325
1991,49,532.339
1991,50,626.724
1991,51,716.736
1991,52,819.094
1991,53,864.916
1991,54,818.543
1991,55,715.649
1991,56,622.143
1991,57,518.347
1991,58,459.895
1991,59,479.027
1991,60,545.227
1991,61,598.253
1991,62,653.174
1991,63,677.470
1991,64,649.870
1991,65,588.752
1991,66,535.285
1991,67,483.050
1991,68,431.651
1991,69,385.605
1991,70,344.426
1991,71,300.528
1991,72,252.339
1991,73,222.813
1991,74,221.637
1991,75,238.066
1991,76,252.875
1991,77,271.363
1991,78,276.129
1991,79,257.036
1991,80,222.858
1991,81,192.660
1991,82,162.811
1991,83,136.042
1991,84,115.691
1991,85,99.780
1991,86,82.870
1991,87,65.886
1991,88,51.454
1991,89,40.291
1991,90,31.692
1991,91,24.080
1991,92,17.570
1991,93,12.473
1991,94,8.721
1991,95,6.081
1991,96,4.223
1991,97,3.311
1991,98,2.201
1991,99,1.085
1991,100,2.140
1992,0,562.264
1992,1,602.203
1992,2,617.197
1992,3,652.572
1992,4,682.739
1992,5,707.908
1992,6,728.290
1992,7,744.644
1992,8,757.738
1992,9,765.002
1992,10,765.545
1992,11,761.232
1992,12,754.642
1992,13,745.021
1992,14,737.379
1992,15,734.386
1992,16,733.934
1992,17,732.433
1992,18,732.042
1992,19,726.538
1992,20,712.934
1992,21,695.226
1992,22,679.080
1992,23,661.783
1992,24,655.730
1992,25,667.152
1992,26,689.701
1992,27,711.146
1992,28,734.357
1992,29,752.184
1992,30,759.969
1992,31,761.406
1992,32,763.181
1992,33,761.948
1992,34,766.525
1992,35,781.317
1992,36,800.606
1992,37,816.413
1992,38,832.926
1992,39,831.345
1992,40,802.327
1992,41,755.701
1992,42,713.044
1992,43,672.940
1992,44,632.431
1992,45,593.161
1992,46,558.063
1992,47,521.365
1992,48,475.744
1992,49,470.761
1992,50,527.793
1992,51,620.819
1992,52,709.491
1992,53,810.337
1992,54,855.214
1992,55,808.826
1992,56,706.458
1992,57,613.368
1992,58,510.144
1992,59,451.494
1992,60,469.179
1992,61,533.187
1992,62,584.221
1992,63,637.114
1992,64,660.019
1992,65,632.073
1992,66,571.315
1992,67,518.043
1992,68,465.887
1992,69,414.893
1992,70,369.677
1992,71,329.507
1992,72,286.671
1992,73,239.880
1992,74,210.438
1992,75,207.287
1992,76,220.532
1992,77,232.455
1992,78,247.929
1992,79,251.012
1992,80,232.398
1992,81,200.141
1992,82,171.704
1992,83,143.725
1992,84,118.848
1992,85,100.183
1992,86,85.838
1992,87,70.665
1992,88,55.515
1992,89,42.789
1992,90,33.115
1992,91,25.825
1992,92,19.485
1992,93,14.205
1992,94,10.087
1992,95,6.980
1992,96,4.741
1992,97,3.219
1992,98,2.097
1992,99,0.994
1992,100,2.088
1993,0,547.875
1993,1,581.336
1993,2,612.063
1993,3,623.197
1993,4,655.136
1993,5,683.252
1993,6,707.504
