year,age,population
1990,0,45.679
1990,1,45.736
1990,2,45.276
1990,3,44.368
1990,4,43.086
1990,5,41.508
1990,6,39.705
1990,7,37.749
1990,8,35.715
1990,9,33.677
1990,10,31.621
1990,11,29.530
1990,12,27.921
1990,13,27.038
1990,14,26.695
1990,15,26.434
1990,16,26.329
1990,17,26.466
1990,18,26.839
1990,19,27.423
1990,20,28.203
1990,21,29.185
1990,22,30.268
1990,23,31.396
1990,24,32.612
1990,25,33.836
1990,26,34.893
1990,27,36.562
1990,28,39.160
1990,29,42.206
1990,30,44.985
1990,31,47.730
1990,32,49.279
1990,33,49.012
1990,34,47.467
1990,35,45.885
1990,36,44.120
1990,37,41.952
1990,38,39.424
1990,39,36.651
1990,40,33.680
1990,41,30.476
1990,42,27.638
1990,43,25.458
1990,44,23.710
1990,45,21.899
1990,46,20.160
1990,47,18.346
1990,48,16.343
1990,49,14.277
1990,50,12.352
1990,51,10.499
1990,52,8.955
1990,53,7.852
1990,54,7.062
1990,55,6.333
1990,56,5.719
1990,57,5.119
1990,58,4.455
1990,59,3.785
1990,60,3.217
1990,61,2.707
1990,62,2.337
1990,63,2.149
1990,64,2.086
1990,65,2.053
1990,66,2.081
1990,67,2.022
1990,68,1.796
1990,69,1.474
1990,70,1.197
1990,71,0.916
1990,72,0.749
1990,73,0.756
1990,74,0.874
1990,75,0.975
1990,76,1.097
1990,77,1.136
1990,78,1.031
1990,79,0.838
1990,80,0.669
1990,81,0.503
1990,82,0.360
1990,83,0.263
1990,84,0.199
1990,85,0.054
1990,86,0.044
1990,87,0.033
1990,88,0.021
1990,89,0.012
1990,90,0.008
1990,91,0.014
1990,92,0.017
1990,93,0.012
1990,94,0.008
1990,95,0.005
1990,96,0.002
1990,97,0.002
1990,98,0.001
1990,99,0.000
1990,100,0.001
1991,0,45.476
1991,1,44.977
1991,2,44.990
1991,3,44.573
1991,4,43.781
1991,5,42.665
1991,6,41.331
1991,7,39.875
1991,8,38.121
1991,9,36.032
1991,10,33.799
1991,11,31.625
1991,12,29.428
1991,13,27.922
1991,14,27.467
1991,15,27.771
1991,16,28.116
1991,17,28.570
1991,18,29.394
1991,19,30.621
1991,20,32.124
1991,21,33.770
1991,22,35.618
1991,23,37.190
1991,24,38.238
1991,25,38.976
1991,26,39.720
1991,27,40.254
1991,28,41.287
1991,29,43.155
1991,30,45.414
1991,31,47.368
1991,32,49.233
1991,33,50.079
1991,34,49.405
1991,35,47.654
1991,36,45.854
1991,37,43.898
1991,38,41.569
1991,39,38.889
1991,40,35.980
1991,41,32.917
1991,42,29.660
1991,43,26.772
1991,44,24.531
1991,45,22.721
1991,46,20.871
1991,47,19.106
1991,48,17.296
1991,49,15.331
1991,50,13.329
1991,51,11.475
1991,52,9.698
1991,53,8.235
1991,54,7.213
1991,55,6.503
1991,56,5.858
1991,57,5.331
1991,58,4.802
1991,59,4.184
1991,60,3.542
1991,61,3.002
1991,62,2.516
1991,63,2.170
1991,64,2.006
1991,65,1.967
1991,66,1.954
1991,67,1.998
1991,68,1.952
1991,69,1.735
1991,70,1.420
1991,71,1.148
1991,72,0.872
1991,73,0.704
1991,74,0.704
1991,75,0.812
1991,76,0.902
1991,77,1.012
1991,78,1.045
1991,79,0.945
1991,80,0.764
1991,81,0.605
1991,82,0.450
1991,83,0.318
1991,84,0.230
1991,85,0.174
1991,86,0.047
1991,87,0.038
1991,88,0.028
1991,89,0.018
1991,90,0.010
1991,91,0.008
1991,92,0.012
1991,93,0.014
1991,94,0.009
1991,95,0.007
1991,96,0.003
1991,97,0.003
1991,98,0.002
1991,99,0.001
1991,100,0.001
1992,0,44.861
1992,1,44.750
1992,2,44.418
1992,3,44.385
1992,4,44.012
1992,5,43.332
1992,6,42.378
1992,7,41.281
1992,8,40.167
1992,9,38.609
1992,10,36.458
1992,11,34.025
1992,12,31.725
1992,13,29.417
1992,14,28.009
1992,15,27.979
1992,16,28.927
1992,17,29.874
1992,18,30.886
1992,19,32.396
1992,20,34.476
1992,21,36.899
1992,22,39.410
1992,23,42.126
1992,24,44.187
1992,25,45.160
1992,26,45.424
1992,27,45.694
1992,28,45.709
1992,29,46.114
1992,30,47.259
1992,31,48.745
1992,32,49.884
1992,33,50.877
1992,34,51.030
1992,35,49.948
1992,36,47.986
1992,37,45.964
1992,38,43.813
1992,39,41.315
1992,40,38.478
1992,41,35.423
1992,42,32.259
1992,43,28.940
1992,44,25.993
1992,45,23.684
1992,46,21.808
1992,47,19.913
1992,48,18.118
1992,49,16.303
1992,50,14.373
1992,51,12.428
1992,52,10.637
1992,53,8.931
1992,54,7.545
1992,55,6.600
1992,56,5.968
1992,57,5.403
1992,58,4.962
1992,59,4.500
1992,60,3.927
1992,61,3.312
1992,62,2.797
1992,63,2.335
1992,64,2.009
1992,65,1.870
1992,66,1.856
1992,67,1.862
1992,68,1.922
1992,69,1.887
1992,70,1.680
1992,71,1.371
1992,72,1.103
1992,73,0.830
1992,74,0.662
1992,75,0.655
1992,76,0.752
1992,77,0.833
1992,78,0.930
1992,79,0.957
1992,80,0.863
1992,81,0.692
1992,82,0.544
1992,83,0.399
1992,84,0.277
1992,85,0.198
1992,86,0.149
1992,87,0.040
1992,88,0.032
1992,89,0.024
1992,90,0.015
1992,91,0.009
1992,92,0.006
1992,93,0.010
1992,94,0.011
1992,95,0.008
1992,96,0.005
1992,97,0.003
1992,98,0.002
1992,99,0.001
1992,100,0.001
1993,0,44.121
1993,1,43.916
1993,2,43.565
1993,3,43.977
1993,4,43.900
1993,5,43.568
1993,6,42.999
1993,7,42.204
1993,8,41.342
1993,9,40.566
1993,10,39.200
1993,11,36.981
1993,12,34.342
1993,13,31.910
1993,14,29.485
1993,15,28.172
1993,16,28.564
1993,17,30.160
1993,18,31.714
1993,19,33.285
1993,20,35.485
1993,21,38.425
1993,22,41.772
1993,23,45.157
1993,24,48.747
1993,25,51.305
1993,26,52.203
1993,27,51.995
1993,28,51.791
1993,29,51.288
1993,30,51.064
1993,31,51.491
1993,32,52.208
1993,33,52.533
1993,34,52.659
1993,35,52.116
1993,36,50.624
1993,37,48.447
1993,38,46.198
1993,39,43.843
1993,40,41.173
1993,41,38.168
1993,42,34.962
1993,43,31.687
1993,44,28.297
1993,45,25.284
1993,46,22.900
1993,47,20.953
1993,48,19.007
1993,49,17.177
1993,50,15.356
1993,51,13.452
1993,52,11.560
1993,53,9.828
1993,54,8.188
1993,55,6.873
1993,56,6.005
1993,57,5.448
1993,58,4.963
1993,59,4.606
1993,60,4.211
1993,61,3.681
1993,62,3.090
1993,63,2.600
1993,64,2.160
1993,65,1.854
1993,66,1.739
1993,67,1.749
1993,68,1.774
1993,69,1.851
1993,70,1.829
1993,71,1.629
1993,72,1.325
1993,73,1.061
1993,74,0.791
1993,75,0.621
1993,76,0.607
1993,77,0.695
1993,78,0.766
1993,79,0.850
1993,80,0.872
1993,81,0.783
1993,82,0.622
1993,83,0.484
