year,age,population
1990,0,757.895
1990,1,767.427
1990,2,770.255
1990,3,767.490
1990,4,760.246
1990,5,749.625
1990,6,736.743
1990,7,722.707
1990,8,708.628
1990,9,695.613
1990,10,682.915
1990,11,669.779
1990,12,666.621
1990,13,678.265
1990,14,700.242
1990,15,722.023
1990,16,744.243
1990,17,770.399
1990,18,800.708
1990,19,832.977
1990,20,864.368
1990,21,894.917
1990,22,919.942
1990,23,936.651
1990,24,946.163
1990,25,954.322
1990,26,962.254
1990,27,956.949
1990,28,933.254
1990,29,897.791
1990,30,862.905
1990,31,826.804
1990,32,795.777
1990,33,774.430
1990,34,760.634
1990,35,744.694
1990,36,724.995
1990,37,721.090
1990,38,740.603
1990,39,773.511
1990,40,804.660
1990,41,840.067
1990,42,853.044
1990,43,829.733
1990,44,783.515
1990,45,741.206
1990,46,696.917
1990,47,662.309
1990,48,645.711
1990,49,640.844
1990,50,633.030
1990,51,625.138
1990,52,617.741
1990,53,609.626
1990,54,601.514
1990,55,595.123
1990,56,589.873
1990,57,586.048
1990,58,583.884
1990,59,582.896
1990,60,581.334
1990,61,578.316
1990,62,577.929
1990,63,581.623
1990,64,586.722
1990,65,590.732
1990,66,596.119
1990,67,589.360
1990,68,564.108
1990,69,527.324
1990,70,491.197
1990,71,451.922
1990,72,422.364
1990,73,409.716
1990,74,407.287
1990,75,401.721
1990,76,396.329
1990,77,384.390
1990,78,361.418
1990,79,331.293
1990,80,302.756
1990,81,274.508
1990,82,246.210
1990,83,218.714
1990,84,192.078
1990,85,165.533
1990,86,139.267
1990,87,115.546
1990,88,95.430
1990,89,78.265
1990,90,62.099
1990,91,47.062
1990,92,34.771
1990,93,25.750
1990,94,19.286
1990,95,13.999
1990,96,9.999
1990,97,6.916
1990,98,4.376
1990,99,2.397
1990,100,4.217
1991,0,754.320
1991,1,761.434
1991,2,768.611
1991,3,769.998
1991,4,766.552
1991,5,759.228
1991,6,749.145
1991,7,737.442
1991,8,724.181
1991,9,709.963
1991,10,696.268
1991,11,683.203
1991,12,669.806
1991,13,666.578
1991,14,678.461
1991,15,700.858
1991,16,723.008
1991,17,745.601
1991,18,771.958
1991,19,802.183
1991,20,834.172
1991,21,865.325
1991,22,895.662
1991,23,920.370
1991,24,936.620
1991,25,945.608
1991,26,953.247
1991,27,960.607
1991,28,955.033
1991,29,931.541
1991,30,896.579
1991,31,862.147
1991,32,826.525
1991,33,795.841
1991,34,774.584
1991,35,760.705
1991,36,744.723
1991,37,724.998
1991,38,720.970
1991,39,740.234
1991,40,772.814
1991,41,803.621
1991,42,838.640
1991,43,851.348
1991,44,827.966
1991,45,781.798
1991,46,739.495
1991,47,695.199
1991,48,660.527
1991,49,643.770
1991,50,638.671
1991,51,630.605
1991,52,622.430
1991,53,614.703
1991,54,606.211
1991,55,597.672
1991,56,590.800
1991,57,585.018
1991,58,580.579
1991,59,577.706
1991,60,575.925
1991,61,573.554
1991,62,569.747
1991,63,568.395
1991,64,570.877
1991,65,574.628
1991,66,577.298
1991,67,581.260
1991,68,573.450
1991,69,547.742
1991,70,510.864
1991,71,474.621
1991,72,435.375
1991,73,405.408
1991,74,391.615
1991,75,387.625
1991,76,380.705
1991,77,374.042
1991,78,361.219
1991,79,337.967
1991,80,308.024
1991,81,279.731
1991,82,251.818
1991,83,224.243
1991,84,197.954
1991,85,172.870
1991,86,147.958
1991,87,123.413
1991,88,101.481
1991,89,83.175
1991,90,67.805
1991,91,53.447
1991,92,40.233
1991,93,29.497
1991,94,21.628
1991,95,16.016
1991,96,10.501
1991,97,7.189
1991,98,4.522
1991,99,2.488
1991,100,4.428
1992,0,753.000
1992,1,768.913
1992,2,764.761
1992,3,769.578
1992,4,769.526
1992,5,765.399
1992,6,757.996
1992,7,748.457
1992,8,737.933
1992,9,725.451
1992,10,711.099
1992,11,696.729
1992,12,683.299
1992,13,669.645
1992,14,666.348
1992,15,678.467
1992,16,701.278
1992,17,723.789
1992,18,746.751
1992,19,773.301
1992,20,803.432
1992,21,835.135
1992,22,866.037
1992,23,896.157
1992,24,920.541
1992,25,936.326
1992,26,944.786
1992,27,951.906
1992,28,958.691
1992,29,952.849
1992,30,929.567
1992,31,895.114
1992,32,861.147
1992,33,826.015
1992,34,795.682
1992,35,774.520
1992,36,760.564
1992,37,744.543
1992,38,724.797
1992,39,720.648
1992,40,739.657
1992,41,771.900
1992,42,802.357
1992,43,836.978
1992,44,849.412
1992,45,825.967
1992,46,779.862
1992,47,737.578
1992,48,693.286
1992,49,658.558
1992,50,641.649
1992,51,636.318
1992,52,628.005
1992,53,619.546
1992,54,611.492
1992,55,602.627
1992,56,593.662
1992,57,586.311
1992,58,579.998
1992,59,574.948
1992,60,571.365
1992,61,568.792
1992,62,565.614
1992,63,561.018
1992,64,558.701
1992,65,559.968
1992,66,562.374
1992,67,563.702
1992,68,566.237
1992,69,557.378
1992,70,531.221
1992,71,494.259
1992,72,457.913
1992,73,418.705
1992,74,388.337
1992,75,373.403
1992,76,367.854
1992,77,359.581
1992,78,351.648
1992,79,337.947
1992,80,314.420
1992,81,284.666
1992,82,256.627
1992,83,229.056
1992,84,202.213
1992,85,177.137
1992,86,153.612
1992,87,130.342
1992,88,107.522
1992,89,87.387
1992,90,70.896
1992,91,57.326
1992,92,44.779
1992,93,33.393
1992,94,24.215
1992,95,17.500
1992,96,12.740
1992,97,7.460
1992,98,4.652
1992,99,2.576
1992,100,4.645
1993,0,752.265
1993,1,767.263
1993,2,776.121
1993,3,767.983
1993,4,770.442
1993,5,768.950
1993,6,764.145
1993,7,756.662
1993,8,747.667
1993,9,738.326
1993,10,726.624
1993,11,712.139
1993,12,697.094
1993,13,683.304
1993,14,669.394
1993,15,666.029
1993,16,678.382
1993,17,701.603
1993,18,724.473
1993,19,747.800
1993,20,774.538
1993,21,804.573
1993,22,835.985
1993,23,866.634
1993,24,896.530
1993,25,920.587
1993,26,935.907
1993,27,943.838
1993,28,950.436
1993,29,956.647
1993,30,950.538
1993,31,927.468
1993,32,893.530
1993,33,860.032
1993,34,825.394
1993,35,795.415
1993,36,774.354
1993,37,760.319
1993,38,744.263
1993,39,724.499
1993,40,720.229
1993,41,738.981
1993,42,770.883
1993,43,800.985
1993,44,835.204
1993,45,847.364
1993,46,823.857
1993,47,777.821
1993,48,735.562
1993,49,691.280
1993,50,656.503
1993,51,639.442
1993,52,633.880
1993,53,625.320
1993,54,616.581
1993,55,608.200
1993,56,598.964
1993,57,589.573
1993,58,581.745
1993,59,574.902
1993,60,569.241
1993,61,564.950
1993,62,561.585
1993,63,557.600
1993,64,552.216
1993,65,548.936
1993,66,548.990
1993,67,550.048
1993,68,550.034
1993,69,551.144
1993,70,541.237
1993,71,514.635
1993,72,477.594
1993,73,441.148
1993,74,401.984
1993,75,371.221
1993,76,355.148
1993,77,348.040
1993,78,338.416
1993,79,329.217
1993,80,314.636
1993,81,290.839
1993,82,261.280
1993,83,233.496
1993,84,206.271
1993,85,180.165
1993,86,156.303
1993,87,134.341
1993,88,112.713
1993,89,91.625
1993,90,73.286
1993,91,58.611
1993,92,46.843
1993,93,36.108
1993,94,26.551
1993,95,18.932
1993,96,13.371
1993,97,9.464
1993,98,4.783
1993,99,2.670
1993,100,4.868
1994,0,749.585
1994,1,763.211
1994,2,772.038
1994,3,776.592
1994,4,771.335
1994,5,771.437
1994,6,768.504
1994,7,763.020
1994,8,755.459
1994,9,747.004
1994,10,738.844
1994,11,727.919
1994,12,713.300
1994,13,697.579
1994,14,683.424
1994,15,669.257
1994,16,665.822
1994,17,678.412
1994,18,702.047
1994,19,725.280
1994,20,748.976
1994,21,775.908
1994,22,805.850
1994,23,836.976
1994,24,867.378
1994,25,897.056
1994,26,920.790
1994,27,935.646
1994,28,943.051
1994,29,949.129
1994,30,954.766
1994,31,948.389
1994,32,925.527
1994,33,892.099
1994,34,859.063
1994,35,824.913
1994,36,795.284
1994,37,774.318
1994,38,760.204
1994,39,744.109
1994,40,724.325
1994,41,719.933
1994,42,738.429
1994,43,769.998
1994,44,799.749
1994,45,833.573
1994,46,845.459
1994,47,821.889
1994,48,775.914
1994,49,733.671
1994,50,689.393
1994,51,654.558
1994,52,637.345
1994,53,631.552
1994,54,622.742
1994,55,613.721
1994,56,605.013
1994,57,595.402
1994,58,585.586
1994,59,577.279
1994,60,569.906
1994,61,563.633
1994,62,558.634
1994,63,554.475
1994,64,549.683
1994,65,543.512
1994,66,539.267
1994,67,538.107
1994,68,537.820
1994,69,536.465
1994,70,536.149
1994,71,525.194
1994,72,498.141
1994,73,461.016
1994,74,424.464
1994,75,385.338
1994,76,354.172
1994,77,336.960
1994,78,328.292
1994,79,317.315
1994,80,306.848
1994,81,291.388
1994,82,267.315
1994,83,237.945
1994,84,210.413
1994,85,183.529
1994,86,158.153
1994,87,135.503
1994,88,115.100
1994,89,95.110
1994,90,75.747
1994,91,59.202
1994,92,46.341
1994,93,36.372
1994,94,27.446
1994,95,19.715
1994,96,13.653
1994,97,9.246
1994,98,6.192
1994,99,2.781
1994,100,5.093
1995,0,743.297
1995,1,756.423
1995,2,765.834
1995,3,771.847
1995,4,774.784
1995,5,774.965
1995,6,772.709
1995,7,768.336
1995,8,762.169
1995,9,754.526
1995,10,746.611
1995,11,739.627
1995,12,729.477
1995,13,714.717
1995,14,698.315
1995,15,683.791
1995,16,669.360
1995,17,665.856
1995,18,678.686
1995,19,702.744
1995,20,726.348
1995,21,750.421
1995,22,777.556
1995,23,807.418
1995,24,838.268
1995,25,868.434
1995,26,897.905
1995,27,921.324
1995,28,935.722
1995,29,942.604
1995,30,948.162
1995,31,953.228
1995,32,946.581
1995,33,923.919
1995,34,890.988
1995,35,858.403
1995,36,824.729
1995,37,795.439
1995,38,774.561
1995,39,760.363
1995,40,744.223
1995,41,724.411
1995,42,719.895
1995,43,738.145
1995,44,769.388
1995,45,798.802
1995,46,832.241
1995,47,843.859
1995,48,820.215
1995,49,774.285
1995,50,732.044
1995,51,687.753
1995,52,652.850
1995,53,635.476
1995,54,629.450
1995,55,620.388
1995,56,611.082
1995,57,602.042
1995,58,592.055
1995,59,581.809
1995,60,573.020
1995,61,565.113
1995,62,558.226
1995,63,552.517
1995,64,547.564
1995,65,541.963
1995,66,535.001
1995,67,529.790
1995,68,527.417
1995,69,525.782
1995,70,523.086
1995,71,521.344
1995,72,509.336
1995,73,481.824
1995,74,444.600
1995,75,407.930
1995,76,368.826
1995,77,337.249
1995,78,318.888
1995,79,308.658
1995,80,296.325
1995,81,284.585
1995,82,268.239
1995,83,243.883
1995,84,214.692
1995,85,187.400
1995,86,160.849
1995,87,136.194
1995,88,114.748
1995,89,95.895
1995,90,77.538
1995,91,59.893
1995,92,45.137
1995,93,34.085
1995,94,25.911
1995,95,18.793
1995,96,12.885
1995,97,8.379
1995,98,5.123
1995,99,2.920
1995,100,5.322
1996,0,732.278
1996,1,743.669
1996,2,755.964
1996,3,764.966
1996,4,770.907
1996,5,774.028
1996,6,774.707
1996,7,773.325
1996,8,769.393
1996,9,762.863
1996,10,754.400
1996,11,745.867
1996,12,738.258
1996,13,728.024
1996,14,714.039
1996,15,698.949
1996,16,685.624
1996,17,672.395
1996,18,669.890
1996,19,683.349
1996,20,707.753
1996,21,731.717
1996,22,756.138
1996,23,783.326
1996,24,812.840
1996,25,843.062
1996,26,872.575
1996,27,901.365
1996,28,924.026
1996,29,937.608
1996,30,943.665
1996,31,948.378
1996,32,952.536
1996,33,945.331
1996,34,922.658
1996,35,890.066
1996,36,857.780
1996,37,824.447
1996,38,795.361
1996,39,774.420
1996,40,759.982
1996,41,743.659
1996,42,723.693
1996,43,718.941
1996,44,736.841
1996,45,767.672
1996,46,796.662
1996,47,829.637
1996,48,840.923
1996,49,817.165
1996,50,771.255
1996,51,728.989
1996,52,684.661
1996,53,649.654
1996,54,632.060
1996,55,625.723
1996,56,616.330
1996,57,606.652
1996,58,597.194
1996,59,586.748
1996,60,575.989
1996,61,566.629
