year,age,population
1990,0,1012.441
1990,1,966.615
1990,2,924.694
1990,3,886.363
1990,4,851.293
1990,5,819.166
1990,6,789.658
1990,7,762.447
1990,8,737.213
1990,9,713.630
1990,10,691.711
1990,11,671.462
1990,12,650.906
1990,13,629.056
1990,14,606.586
1990,15,585.186
1990,16,564.563
1990,17,544.264
1990,18,524.252
1990,19,504.612
1990,20,485.458
1990,21,466.759
1990,22,448.738
1990,23,431.511
1990,24,414.988
1990,25,398.920
1990,26,383.315
1990,27,368.344
1990,28,354.056
1990,29,340.359
1990,30,327.208
1990,31,314.719
1990,32,302.256
1990,33,289.532
1990,34,276.888
1990,35,264.770
1990,36,252.860
1990,37,242.516
1990,38,234.381
1990,39,227.715
1990,40,221.213
1990,41,215.239
1990,42,208.522
1990,43,200.327
1990,44,191.286
1990,45,182.737
1990,46,174.382
1990,47,166.594
1990,48,159.681
1990,49,153.394
1990,50,147.158
1990,51,141.074
1990,52,135.167
1990,53,129.393
1990,54,123.758
1990,55,118.310
1990,56,113.029
1990,57,107.852
1990,58,102.745
1990,59,97.719
1990,60,92.817
1990,61,88.029
1990,62,83.297
1990,63,78.596
1990,64,73.941
1990,65,69.395
1990,66,64.951
1990,67,60.576
1990,68,56.262
1990,69,52.025
1990,70,47.912
1990,71,43.924
1990,72,40.041
1990,73,36.260
1990,74,32.603
1990,75,29.104
1990,76,25.758
1990,77,22.620
1990,78,19.713
1990,79,17.032
1990,80,14.523
1990,81,12.187
1990,82,10.103
1990,83,8.303
1990,84,6.748
1990,85,5.359
1990,86,4.129
1990,87,3.113
1990,88,2.325
1990,89,1.728
1990,90,1.252
1990,91,0.898
1990,92,0.626
1990,93,0.403
1990,94,0.231
1990,95,0.142
1990,96,0.110
1990,97,0.086
1990,98,0.053
1990,99,0.015
1990,100,0.027
1991,0,1040.213
1991,1,999.716
1991,2,956.674
1991,3,917.165
1991,4,880.889
1991,5,847.540
1991,6,816.836
1991,7,788.498
1991,8,762.107
1991,9,737.316
1991,10,713.888
1991,11,691.956
1991,12,671.517
1991,13,650.765
1991,14,628.815
1991,15,606.289
1991,16,584.729
1991,17,563.878
1991,18,543.356
1991,19,523.151
1991,20,503.340
1991,21,483.999
1991,22,465.108
1991,23,446.917
1991,24,429.552
1991,25,412.920
1991,26,396.746
1991,27,381.048
1991,28,366.001
1991,29,351.654
1991,30,337.918
1991,31,324.737
1991,32,312.228
1991,33,299.762
1991,34,287.050
1991,35,274.432
1991,36,262.346
1991,37,250.475
1991,38,240.170
1991,39,232.072
1991,40,225.441
1991,41,218.977
1991,42,213.045
1991,43,206.363
1991,44,198.193
1991,45,189.172
1991,46,180.640
1991,47,172.299
1991,48,164.529
1991,49,157.642
1991,50,151.382
1991,51,145.170
1991,52,139.105
1991,53,133.205
1991,54,127.423
1991,55,121.765
1991,56,116.292
1991,57,110.985
1991,58,105.770
1991,59,100.614
1991,60,95.530
1991,61,90.571
1991,62,85.725
1991,63,80.936
1991,64,76.176
1991,65,71.465
1991,66,66.870
1991,67,62.383
1991,68,57.975
1991,69,53.642
1991,70,49.400
1991,71,45.291
1991,72,41.316
1991,73,37.473
1991,74,33.766
1991,75,30.209
1991,76,26.818
1991,77,23.591
1991,78,20.583
1991,79,17.819
1991,80,15.290
1991,81,12.938
1991,82,10.759
1991,83,8.838
1991,84,7.206
1991,85,5.819
1991,86,4.595
1991,87,3.526
1991,88,2.648
1991,89,1.962
1991,90,1.441
1991,91,1.038
1991,92,0.746
1991,93,0.522
1991,94,0.335
1991,95,0.189
1991,96,0.116
1991,97,0.090
1991,98,0.055
1991,99,0.017
1991,100,0.028
1992,0,1070.407
1992,1,1023.479
1992,2,988.320
1992,3,948.006
1992,4,910.856
1992,5,876.589
1992,6,844.914
1992,7,815.594
1992,8,788.388
1992,9,762.783
1992,10,738.402
1992,11,715.096
1992,12,693.123
1992,13,672.468
1992,14,651.491
1992,15,629.411
1992,16,606.799
1992,17,585.052
1992,18,563.943
1992,19,543.172
1992,20,522.748
1992,21,502.737
1992,22,483.185
1992,23,464.077
1992,24,445.690
1992,25,428.166
1992,26,411.400
1992,27,395.102
1992,28,379.288
1992,29,364.144
1992,30,349.722
1992,31,335.926
1992,32,322.698
1992,33,310.153
1992,34,297.666
1992,35,284.950
1992,36,272.342
1992,37,260.271
1992,38,248.422
1992,39,238.144
1992,40,230.072
1992,41,223.466
1992,42,217.034
1992,43,211.134
1992,44,204.478
1992,45,196.323
1992,46,187.309
1992,47,178.784
1992,48,170.445
1992,49,162.683
1992,50,155.812
1992,51,149.572
1992,52,143.375
1992,53,137.321
1992,54,131.421
1992,55,125.620
1992,56,119.934
1992,57,114.430
1992,58,109.087
1992,59,103.829
1992,60,98.616
1992,61,93.469
1992,62,88.445
1992,63,83.536
1992,64,78.681
1992,65,73.857
1992,66,69.085
1992,67,64.433
1992,68,59.898
1992,69,55.451
1992,70,51.093
1992,71,46.840
1992,72,42.730
1992,73,38.763
1992,74,34.955
1992,75,31.316
1992,76,27.854
1992,77,24.568
1992,78,21.454
1992,79,18.573
1992,80,15.949
1992,81,13.569
1992,82,11.368
1992,83,9.345
1992,84,7.585
1992,85,6.118
1992,86,4.899
1992,87,3.836
1992,88,2.928
1992,89,2.186
1992,90,1.602
1992,91,1.156
1992,92,0.825
1992,93,0.595
1992,94,0.419
1992,95,0.268
1992,96,0.147
1992,97,0.094
1992,98,0.057
1992,99,0.018
1992,100,0.031
1993,0,1100.633
1993,1,1053.649
1993,2,1010.366
1993,3,977.130
1993,4,939.539
1993,5,904.744
1993,6,872.480
1993,7,842.477
1993,8,814.535
1993,9,788.458
1993,10,763.633
1993,11,739.658
1993,12,716.469
1993,13,694.450
1993,14,673.573
1993,15,652.367
1993,16,630.151
1993,17,607.450
1993,18,585.508
1993,19,564.137
1993,20,543.111
1993,21,522.462
1993,22,502.248
1993,23,482.480
1993,24,463.149
1993,25,444.563
1993,26,426.876
1993,27,409.972
1993,28,393.544
1993,29,377.611
1993,30,362.367
1993,31,347.865
1993,32,334.007
1993,33,320.730
1993,34,308.145
1993,35,295.635
1993,36,282.911
1993,37,270.309
1993,38,258.252
1993,39,246.423
1993,40,236.168
1993,41,228.121
1993,42,221.540
1993,43,215.136
1993,44,209.267
1993,45,202.637
1993,46,194.495
1993,47,185.484
1993,48,176.966
1993,49,168.627
1993,50,160.870
1993,51,154.015
1993,52,147.793
1993,53,141.610
1993,54,135.564
1993,55,129.663
1993,56,123.845
1993,57,118.127
1993,58,112.589
1993,59,107.212
1993,60,101.908
1993,61,96.638
1993,62,91.425
1993,63,86.334
1993,64,81.362
1993,65,76.441
1993,66,71.551
1993,67,66.717
1993,68,62.007
1993,69,57.421
1993,70,52.935
1993,71,48.552
1993,72,44.286
1993,73,40.174
1993,74,36.214
1993,75,32.440
1993,76,28.869
1993,77,25.502
1993,78,22.319
1993,79,19.319
1993,80,16.564
1993,81,14.080
1993,82,11.846
1993,83,9.800
1993,84,7.930
1993,85,6.331
1993,86,5.031
1993,87,3.977
1993,88,3.078
1993,89,2.328
1993,90,1.724
1993,91,1.242
1993,92,0.871
1993,93,0.611
1993,94,0.444
1993,95,0.316
1993,96,0.201
1993,97,0.105
1993,98,0.060
1993,99,0.018
1993,100,0.032
1994,0,1127.932
1994,1,1081.346
1994,2,1038.233
1994,3,998.336
1994,4,965.076
1994,5,930.244
1994,6,897.836
1994,7,867.607
1994,8,839.302
1994,9,812.767
1994,10,787.840
1994,11,763.819
1994,12,740.271
1994,13,717.220
1994,14,695.173
1994,15,674.092
1994,16,652.675
1994,17,630.344
1994,18,607.570
1994,19,585.455
1994,20,563.840
1994,21,542.577
1994,22,521.721
1994,23,501.321
1994,24,481.353
1994,25,461.817
1994,26,443.048
1994,27,425.210
1994,28,408.186
1994,29,391.641
1994,30,375.604
1994,31,360.272
1994,32,345.703
1994,33,331.796
1994,34,318.479
1994,35,305.867
1994,36,293.343
1994,37,280.624
1994,38,268.039
1994,39,256.005
1994,40,244.207
1994,41,233.985
1994,42,225.969
1994,43,219.417
1994,44,213.048
1994,45,207.218
1994,46,200.616
1994,47,192.495
1994,48,183.497
1994,49,174.991
1994,50,166.661
1994,51,158.915
1994,52,152.081
1994,53,145.883
1994,54,139.719
1994,55,133.688
1994,56,127.791
1994,57,121.959
1994,58,116.215
1994,59,110.649
1994,60,105.241
1994,61,99.895
1994,62,94.573
1994,63,89.300
1994,64,84.147
1994,65,79.114
1994,66,74.131
1994,67,69.181
1994,68,64.287
1994,69,59.524
1994,70,54.892
1994,71,50.371
1994,72,45.964
1994,73,41.691
1994,74,37.581
1994,75,33.631
1994,76,29.894
1994,77,26.394
1994,78,23.125
1994,79,20.048
1994,80,17.165
1994,81,14.539
1994,82,12.195
1994,83,10.113
1994,84,8.219
1994,85,6.509
1994,86,5.070
1994,87,3.937
1994,88,3.052
1994,89,2.314
1994,90,1.727
1994,91,1.260
1994,92,0.880
1994,93,0.584
1994,94,0.398
1994,95,0.292
1994,96,0.213
1994,97,0.134
1994,98,0.062
1994,99,0.019
1994,100,0.034
1995,0,1150.669
1995,1,1104.927
1995,2,1062.387
1995,3,1022.824
1995,4,986.001
1995,5,951.694
1995,6,919.667
1995,7,889.689
1995,8,861.533
1995,9,834.965
1995,10,809.869
1995,11,786.129
1995,12,762.943
1995,13,739.853
1995,14,716.973
1995,15,694.929
1995,16,673.674
1995,17,652.076
1995,18,629.659
1995,19,606.847
1995,20,584.588
1995,21,562.759
1995,22,541.289
1995,23,520.256
1995,24,499.698
1995,25,479.559
1995,26,459.844
1995,27,440.918
1995,28,422.957
1995,29,405.833
1995,30,389.197
1995,31,373.076
1995,32,357.680
1995,33,343.063
1995,34,329.125
1995,35,315.789
1995,36,303.165
1995,37,290.647
1995,38,277.949
1995,39,265.399
1995,40,253.406
1995,41,241.653
1995,42,231.479
1995,43,223.505
1995,44,216.993
1995,45,210.667
1995,46,204.881
1995,47,198.320
1995,48,190.230
1995,49,181.257
1995,50,172.775
1995,51,164.464
1995,52,156.742
1995,53,149.938
1995,54,143.773
1995,55,137.636
1995,56,131.628
1995,57,125.743
1995,58,119.906
1995,59,114.144
1995,60,108.557
1995,61,103.126
1995,62,97.747
1995,63,92.379
1995,64,87.052
1995,65,81.845
1995,66,76.759
1995,67,71.722
1995,68,66.716
1995,69,61.771
1995,70,56.961
1995,71,52.290
1995,72,47.739
1995,73,43.317
1995,74,39.041
1995,75,34.938
1995,76,31.004
1995,77,27.309
1995,78,23.886
1995,79,20.719
1995,80,17.752
1995,81,14.989
1995,82,12.495
1995,83,10.296
1995,84,8.367
1995,85,6.631
1995,86,5.078
1995,87,3.804
1995,88,2.839
1995,89,2.123
1995,90,1.550
1995,91,1.124
1995,92,0.794
1995,93,0.517
1995,94,0.298
1995,95,0.183
1995,96,0.141
1995,97,0.109
1995,98,0.066
1995,99,0.020
1995,100,0.036
1996,0,1171.553
1996,1,1135.177
1996,2,1091.985
1996,3,1051.696
1996,4,1014.092
1996,5,978.947
1996,6,946.074
1996,7,915.269
1996,8,886.189
1996,9,858.565
1996,10,832.248
1996,11,807.255
1996,12,783.453
1996,13,760.194
1996,14,737.110
1996,15,714.266
1996,16,692.153
1996,17,670.757
1996,18,648.979
1996,19,626.352
1996,20,603.303
1996,21,580.793
1996,22,558.701
1996,23,536.970
1996,24,515.691
1996,25,494.903
1996,26,474.540
1996,27,454.610
1996,28,435.515
1996,29,417.450
1996,30,400.273
1996,31,383.603
1996,32,367.469
1996,33,352.096
1996,34,337.541
1996,35,323.700
1996,36,310.475
1996,37,297.973
1996,38,285.612
1996,39,273.115
1996,40,260.791
1996,41,249.028
1996,42,237.522
1996,43,227.538
1996,44,219.661
1996,45,213.189
1996,46,206.909
1996,47,201.157
1996,48,194.662
1996,49,186.699
1996,50,177.890
1996,51,169.551
1996,52,161.378
1996,53,153.764
1996,54,147.019
1996,55,140.879
1996,56,134.765
1996,57,128.775
1996,58,122.891
1996,59,117.042
1996,60,111.256
1996,61,105.640
1996,62,100.175
1996,63,94.761
1996,64,89.355
1996,65,83.991
1996,66,78.751
1996,67,73.637
1996,68,68.582
1996,69,63.572
1996,70,58.636
1996,71,53.845
1996,72,49.203
1996,73,44.705
1996,74,40.364
1996,75,36.194
1996,76,32.206
1996,77,28.397
1996,78,24.849
1996,79,21.600
1996,80,18.624
1996,81,15.853
1996,82,13.287
1996,83,10.993
1996,84,8.994
1996,85,7.262
1996,86,5.718
1996,87,4.355
1996,88,3.242
1996,89,2.400
1996,90,1.775
1996,91,1.287
1996,92,0.937
1996,93,0.667
1996,94,0.432
1996,95,0.242
1996,96,0.148
1996,97,0.115
1996,98,0.070
1996,99,0.022
1996,100,0.038
1997,0,1188.435
1997,1,1146.180
1997,2,1118.826
1997,3,1078.221
1997,4,1040.212
1997,5,1004.597
1997,6,971.159
1997,7,939.743
1997,8,910.187
1997,9,882.026
1997,10,854.954
1997,11,828.908
1997,12,804.039
1997,13,780.192
1997,14,756.874
1997,15,733.816
1997,16,711.026
1997,17,688.858
1997,18,667.337
1997,19,645.398
1997,20,622.574
1997,21,599.308
1997,22,576.562
1997,23,554.223
1997,24,532.249
1997,25,510.738
1997,26,489.734
1997,27,469.164
1997,28,449.032
1997,29,429.784
1997,30,411.627
1997,31,394.412
1997,32,377.718
1997,33,361.583
1997,34,346.244
1997,35,331.764
1997,36,318.029
1997,37,304.926
1997,38,292.554
1997,39,280.360
1997,40,268.074
1997,41,255.985
1997,42,244.462
1997,43,233.211
1997,44,223.422
1997,45,215.652
1997,46,209.223
1997,47,202.994
1997,48,197.279
1997,49,190.856
1997,50,183.027
1997,51,174.387
1997,52,166.198
1997,53,158.170
1997,54,150.669
1997,55,143.988
1997,56,137.878
1997,57,131.791
1997,58,125.823
1997,59,119.946
1997,60,114.089
1997,61,108.282
1997,62,102.642
1997,63,97.148
1997,64,91.700
1997,65,86.262
1997,66,80.865
1997,67,75.597
1997,68,70.458
1997,69,65.388
1997,70,60.377
1997,71,55.455
1997,72,50.686
1997,73,46.078
1997,74,41.634
1997,75,37.379
1997,76,33.318
1997,77,29.448
1997,78,25.767
1997,79,22.368
1997,80,19.295
1997,81,16.515
1997,82,13.940
1997,83,11.573
1997,84,9.482
1997,85,7.685
1997,86,6.150
1997,87,4.800
1997,88,3.628
1997,89,2.678
1997,90,1.958
1997,91,1.425
1997,92,1.023
1997,93,0.750
1997,94,0.538
1997,95,0.347
1997,96,0.186
1997,97,0.122
1997,98,0.073
1997,99,0.024
1997,100,0.040
1998,0,1205.889
1998,1,1165.215
1998,2,1126.616
1998,3,1102.104
1998,4,1064.096
1998,5,1028.382
1998,6,994.767
1998,7,963.045
1998,8,933.099
1998,9,904.798
1998,10,877.568
1998,11,851.056
1998,12,825.292
1998,13,800.552
1998,14,776.668
1998,15,753.302
1998,16,730.275
1998,17,707.547
1998,18,685.333
1998,19,663.695
1998,20,641.599
1998,21,618.589
1998,22,595.111
1998,23,572.138
1998,24,549.560
1998,25,527.349
1998,26,505.614
