year,age,population
1990,0,1.792
1990,1,1.852
1990,2,1.905
1990,3,1.947
1990,4,1.981
1990,5,2.007
1990,6,2.027
1990,7,2.041
1990,8,2.047
1990,9,2.051
1990,10,2.045
1990,11,2.028
1990,12,2.021
1990,13,2.033
1990,14,2.053
1990,15,2.067
1990,16,2.089
1990,17,2.057
1990,18,1.950
1990,19,1.793
1990,20,1.647
1990,21,1.490
1990,22,1.386
1990,23,1.366
1990,24,1.403
1990,25,1.431
1990,26,1.464
1990,27,1.489
1990,28,1.493
1990,29,1.485
1990,30,1.487
1990,31,1.495
1990,32,1.495
1990,33,1.477
1990,34,1.452
1990,35,1.427
1990,36,1.397
1990,37,1.391
1990,38,1.427
1990,39,1.485
1990,40,1.535
1990,41,1.588
1990,42,1.615
1990,43,1.602
1990,44,1.560
1990,45,1.519
1990,46,1.473
1990,47,1.426
1990,48,1.382
1990,49,1.339
1990,50,1.292
1990,51,1.243
1990,52,1.182
1990,53,1.094
1990,54,0.995
1990,55,0.898
1990,56,0.795
1990,57,0.723
1990,58,0.700
1990,59,0.707
1990,60,0.711
1990,61,0.720
1990,62,0.712
1990,63,0.675
1990,64,0.616
1990,65,0.565
1990,66,0.515
1990,67,0.474
1990,68,0.445
1990,69,0.427
1990,70,0.408
1990,71,0.387
1990,72,0.365
1990,73,0.342
1990,74,0.316
1990,75,0.292
1990,76,0.271
1990,77,0.243
1990,78,0.209
1990,79,0.168
1990,80,0.129
1990,81,0.092
1990,82,0.063
1990,83,0.052
1990,84,0.054
1990,85,0.053
1990,86,0.056
1990,87,0.055
1990,88,0.048
1990,89,0.037
1990,90,0.029
1990,91,0.022
1990,92,0.016
1990,93,0.012
1990,94,0.010
1990,95,0.007
1990,96,0.006
1990,97,0.004
1990,98,0.002
1990,99,0.001
1990,100,0.003
1991,0,1.839
1991,1,1.788
1991,2,1.826
1991,3,1.867
1991,4,1.904
1991,5,1.939
1991,6,1.973
1991,7,2.007
1991,8,2.026
1991,9,2.023
1991,10,2.007
1991,11,1.986
1991,12,1.956
1991,13,1.937
1991,14,1.943
1991,15,1.960
1991,16,1.972
1991,17,1.990
1991,18,1.962
1991,19,1.867
1991,20,1.729
1991,21,1.601
1991,22,1.462
1991,23,1.375
1991,24,1.366
1991,25,1.411
1991,26,1.447
1991,27,1.488
1991,28,1.517
1991,29,1.521
1991,30,1.510
1991,31,1.507
1991,32,1.511
1991,33,1.507
1991,34,1.487
1991,35,1.462
1991,36,1.436
1991,37,1.404
1991,38,1.397
1991,39,1.433
1991,40,1.490
1991,41,1.540
1991,42,1.593
1991,43,1.619
1991,44,1.606
1991,45,1.562
1991,46,1.520
1991,47,1.474
1991,48,1.425
1991,49,1.377
1991,50,1.331
1991,51,1.280
1991,52,1.227
1991,53,1.164
1991,54,1.077
1991,55,0.980
1991,56,0.884
1991,57,0.784
1991,58,0.714
1991,59,0.690
1991,60,0.696
1991,61,0.700
1991,62,0.708
1991,63,0.698
1991,64,0.661
1991,65,0.601
1991,66,0.548
1991,67,0.498
1991,68,0.455
1991,69,0.427
1991,70,0.409
1991,71,0.389
1991,72,0.370
1991,73,0.349
1991,74,0.326
1991,75,0.301
1991,76,0.278
1991,77,0.257
1991,78,0.232
1991,79,0.198
1991,80,0.158
1991,81,0.121
1991,82,0.086
1991,83,0.057
1991,84,0.046
1991,85,0.048
1991,86,0.048
1991,87,0.050
1991,88,0.049
1991,89,0.043
1991,90,0.033
1991,91,0.025
1991,92,0.019
1991,93,0.014
1991,94,0.011
1991,95,0.008
1991,96,0.005
1991,97,0.004
1991,98,0.002
1991,99,0.002
1991,100,0.003
1992,0,2.102
1992,1,2.023
1992,2,1.782
1992,3,1.799
1992,4,1.827
1992,5,1.860
1992,6,1.896
1992,7,1.936
1992,8,1.986
1992,9,2.010
1992,10,1.998
1992,11,1.961
1992,12,1.926
1992,13,1.881
1992,14,1.852
1992,15,1.851
1992,16,1.866
1992,17,1.874
1992,18,1.891
1992,19,1.865
1992,20,1.783
1992,21,1.663
1992,22,1.553
1992,23,1.434
1992,24,1.363
1992,25,1.365
1992,26,1.418
1992,27,1.461
1992,28,1.511
1992,29,1.544
1992,30,1.548
1992,31,1.534
1992,32,1.527
1992,33,1.525
1992,34,1.517
1992,35,1.496
1992,36,1.471
1992,37,1.443
1992,38,1.410
1992,39,1.403
1992,40,1.437
