year,age,population
1990,0,3826.120
1990,1,3813.388
1990,2,3792.872
1990,3,3766.106
1990,4,3734.633
1990,5,3699.991
1990,6,3663.719
1990,7,3627.356
1990,8,3592.442
1990,9,3560.516
1990,10,3531.361
1990,11,3504.760
1990,12,3491.032
1990,13,3495.233
1990,14,3513.632
1990,15,3536.448
1990,16,3564.447
1990,17,3603.053
1990,18,3653.610
1990,19,3713.560
1990,20,3776.544
1990,21,3840.862
1990,22,3913.697
1990,23,3997.015
1990,24,4085.380
1990,25,4168.846
1990,26,4246.349
1990,27,4317.239
1990,28,4379.183
1990,29,4429.494
1990,30,4471.527
1990,31,4509.051
1990,32,4508.364
1990,33,4454.428
1990,34,4363.436
1990,35,4264.669
1990,36,4149.940
1990,37,4044.929
1990,38,3964.638
1990,39,3895.824
1990,40,3816.042
1990,41,3736.733
1990,42,3622.918
1990,43,3457.184
1990,44,3260.788
1990,45,3070.870
1990,46,2878.155
1990,47,2717.334
1990,48,2608.849
1990,49,2536.509
1990,50,2464.143
1990,51,2399.532
1990,52,2338.477
1990,53,2275.438
1990,54,2214.875
1990,55,2163.495
1990,56,2116.009
1990,57,2089.633
1990,58,2092.336
1990,59,2113.324
1990,60,2132.826
1990,61,2153.590
1990,62,2164.666
1990,63,2158.204
1990,64,2137.755
1990,65,2117.140
1990,66,2096.485
1990,67,2055.400
1990,68,1986.033
1990,69,1897.637
1990,70,1806.594
1990,71,1708.760
1990,72,1618.796
1990,73,1545.379
1990,74,1481.520
1990,75,1412.374
1990,76,1341.891
1990,77,1264.774
1990,78,1177.206
1990,79,1083.101
1990,80,991.182
1990,81,900.915
1990,82,810.637
1990,83,720.802
1990,84,632.788
1990,85,547.385
1990,86,464.266
1990,87,390.016
1990,88,327.957
1990,89,275.633
1990,90,226.690
1990,91,181.699
1990,92,143.858
1990,93,113.896
1990,94,90.357
1990,95,70.759
1990,96,55.247
1990,97,42.217
1990,98,30.503
1990,99,20.391
1990,100,32.143
1991,0,3852.816
1991,1,3831.703
1991,2,3820.994
1991,3,3804.281
1991,4,3782.623
1991,5,3757.093
1991,6,3729.222
1991,7,3700.545
1991,8,3669.789
1991,9,3637.082
1991,10,3604.896
1991,11,3575.779
1991,12,3549.466
1991,13,3533.672
1991,14,3532.594
1991,15,3543.775
1991,16,3559.567
1991,17,3580.301
1991,18,3613.533
1991,19,3661.883
1991,20,3721.935
1991,21,3784.570
1991,22,3847.895
1991,23,3922.608
