year,age,population
1990,0,58.800
1990,1,55.725
1990,2,53.512
1990,3,52.057
1990,4,51.257
1990,5,51.006
1990,6,51.198
1990,7,51.734
1990,8,52.504
1990,9,53.407
1990,10,54.477
1990,11,55.750
1990,12,56.421
1990,13,56.105
1990,14,55.118
1990,15,54.226
1990,16,53.356
1990,17,52.251
1990,18,50.894
1990,19,49.402
1990,20,47.873
1990,21,46.219
1990,22,45.083
1990,23,44.781
1990,24,45.008
1990,25,45.148
1990,26,45.324
1990,27,45.332
1990,28,45.017
1990,29,44.477
1990,30,44.005
1990,31,43.584
1990,32,42.971
1990,33,42.094
1990,34,41.052
1990,35,40.019
1990,36,38.941
1990,37,38.046
1990,38,37.452
1990,39,37.057
1990,40,36.639
1990,41,36.246
1990,42,35.821
1990,43,35.319
1990,44,34.778
1990,45,34.296
1990,46,33.867
1990,47,33.440
1990,48,33.001
1990,49,32.577
1990,50,32.173
1990,51,31.734
1990,52,31.533
1990,53,31.691
1990,54,32.055
1990,55,32.362
1990,56,32.660
1990,57,32.771
1990,58,32.581
1990,59,32.160
1990,60,31.716
1990,61,31.230
1990,62,30.555
1990,63,29.647
1990,64,28.566
1990,65,27.444
1990,66,26.287
1990,67,25.040
1990,68,23.700
1990,69,22.316
1990,70,20.902
1990,71,19.404
1990,72,18.187
1990,73,17.412
1990,74,16.901
1990,75,16.353
1990,76,15.867
1990,77,15.098
1990,78,13.857
1990,79,12.327
1990,80,10.881
1990,81,9.446
1990,82,8.164
1990,83,7.144
1990,84,6.314
1990,85,5.483
1990,86,4.690
1990,87,3.965
1990,88,3.298
1990,89,2.696
1990,90,2.158
1990,91,1.675
1990,92,1.274
1990,93,0.971
1990,94,0.743
1990,95,0.555
1990,96,0.413
1990,97,0.300
1990,98,0.207
1990,99,0.131
1990,100,0.283
1991,0,59.336
1991,1,57.961
1991,2,55.372
1991,3,53.465
1991,4,52.168
1991,5,51.406
1991,6,51.074
1991,7,51.066
1991,8,51.458
1991,9,52.226
1991,10,53.214
1991,11,54.309
1991,12,55.575
1991,13,56.242
1991,14,55.919
1991,15,54.927
1991,16,54.029
1991,17,53.154
1991,18,52.043
1991,19,50.679
1991,20,49.179
1991,21,47.643
1991,22,45.980
1991,23,44.844
1991,24,44.549
1991,25,44.790
1991,26,44.944
1991,27,45.134
1991,28,45.153
1991,29,44.841
1991,30,44.298
1991,31,43.825
1991,32,43.402
1991,33,42.790
1991,34,41.914
1991,35,40.876
1991,36,39.846
1991,37,38.770
1991,38,37.874
1991,39,37.277
1991,40,36.877
1991,41,36.452
1991,42,36.053
1991,43,35.619
1991,44,35.107
1991,45,34.555
1991,46,34.061
1991,47,33.618
1991,48,33.177
1991,49,32.726
1991,50,32.290
1991,51,31.872
1991,52,31.419
1991,53,31.198
1991,54,31.330
1991,55,31.665
1991,56,31.940
1991,57,32.207
1991,58,32.287
1991,59,32.063
1991,60,31.611
1991,61,31.134
1991,62,30.617
1991,63,29.912
1991,64,28.976
1991,65,27.870
1991,66,26.722
1991,67,25.539
1991,68,24.273
1991,69,22.923
1991,70,21.534
1991,71,20.118
1991,72,18.624
1991,73,17.396
1991,74,16.587
1991,75,16.030
1991,76,15.441
1991,77,14.918
1991,78,14.132
1991,79,12.911
1991,80,11.426
1991,81,10.025
1991,82,8.639
1991,83,7.409
1991,84,6.444
1991,85,5.670
1991,86,4.897
1991,87,4.165
1991,88,3.502
1991,89,2.896
1991,90,2.353
1991,91,1.874
1991,92,1.448
1991,93,1.096
1991,94,0.831
1991,95,0.629
1991,96,0.437
1991,97,0.315
1991,98,0.216
1991,99,0.139
1991,100,0.301
1992,0,59.155
1992,1,56.632
1992,2,57.189
1992,3,55.081
1992,4,53.479
1992,5,52.338
1992,6,51.613
1992,7,51.200
1992,8,50.993
1992,9,51.239
1992,10,52.009
1992,11,53.081
1992,12,54.202
1992,13,55.465
1992,14,56.125
1992,15,55.797
1992,16,54.798
1992,17,53.894
1992,18,53.013
1992,19,51.895
1992,20,50.521
1992,21,49.012
1992,22,47.466
1992,23,45.795
1992,24,44.655
1992,25,44.369
1992,26,44.623
1992,27,44.791
1992,28,44.996
1992,29,45.025
1992,30,44.715
1992,31,44.170
1992,32,43.696
1992,33,43.269
1992,34,42.656
1992,35,41.782
1992,36,40.748
1992,37,39.717
1992,38,38.643
1992,39,37.746
1992,40,37.145
1992,41,36.739
1992,42,36.307
1992,43,35.900
1992,44,35.457
1992,45,34.936
1992,46,34.372
1992,47,33.864
1992,48,33.408
1992,49,32.953
1992,50,32.488
1992,51,32.040
1992,52,31.608
1992,53,31.138
1992,54,30.900
1992,55,31.006
1992,56,31.309
1992,57,31.556
1992,58,31.792
