year,age,population
1990,0,691.307
1990,1,673.393
1990,2,654.610
1990,3,635.175
1990,4,615.307
1990,5,595.228
1990,6,575.156
1990,7,555.309
1990,8,535.908
1990,9,517.175
1990,10,498.749
1990,11,480.275
1990,12,464.855
1990,13,453.859
1990,14,445.781
1990,15,438.169
1990,16,432.036
1990,17,423.649
1990,18,411.068
1990,19,396.311
1990,20,382.547
1990,21,368.206
1990,22,359.004
1990,23,357.803
1990,24,361.393
1990,25,363.862
1990,26,366.584
1990,27,365.290
1990,28,357.322
1990,29,344.717
1990,30,332.477
1990,31,319.965
1990,32,305.692
1990,33,289.537
1990,34,272.082
1990,35,254.261
1990,36,236.165
1990,37,218.307
1990,38,201.128
1990,39,184.718
1990,40,169.050
1990,41,154.524
1990,42,140.940
1990,43,128.325
1990,44,117.211
1990,45,106.913
1990,46,96.149
1990,47,92.716
1990,48,99.977
1990,49,113.718
1990,50,127.126
1990,51,142.475
1990,52,150.367
1990,53,145.721
1990,54,133.193
1990,55,122.054
1990,56,109.900
1990,57,101.650
1990,58,100.507
1990,59,103.568
1990,60,105.109
1990,61,106.727
1990,62,105.002
1990,63,97.801
1990,64,87.175
1990,65,77.343
1990,66,67.503
1990,67,58.898
1990,68,52.579
1990,69,47.910
1990,70,42.975
1990,71,37.905
1990,72,34.319
1990,73,32.754
1990,74,32.499
1990,75,32.427
1990,76,32.901
1990,77,32.318
1990,78,29.813
1990,79,26.155
1990,80,22.895
1990,81,19.610
1990,82,17.131
1990,83,15.984
1990,84,15.667
1990,85,15.219
1990,86,14.933
1990,87,14.054
1990,88,12.151
1990,89,9.647
1990,90,7.376
1990,91,5.132
1990,92,3.395
1990,93,2.477
1990,94,2.112
1990,95,1.724
1990,96,1.413
1990,97,1.147
1990,98,0.853
1990,99,0.558
1990,100,1.193
1991,0,676.895
1991,1,684.519
1991,2,669.321
1991,3,652.384
1991,4,634.053
1991,5,614.678
1991,6,594.496
1991,7,573.741
1991,8,553.322
1991,9,533.809
1991,10,515.219
1991,11,496.648
1991,12,477.866
1991,13,462.112
1991,14,450.778
1991,15,442.367
1991,16,434.412
1991,17,427.919
1991,18,419.294
1991,19,406.662
1991,20,391.981
1991,21,378.295
1991,22,364.058
1991,23,354.970
1991,24,353.869
1991,25,357.558
1991,26,360.152
1991,27,363.018
1991,28,361.870
1991,29,354.043
1991,30,341.576
1991,31,329.480
1991,32,317.114
1991,33,302.982
1991,34,286.961
1991,35,269.632
1991,36,251.936
1991,37,233.958
1991,38,216.216
1991,39,199.151
1991,40,182.851
1991,41,167.279
1991,42,152.832
1991,43,139.332
1991,44,126.811
1991,45,115.789
1991,46,105.571
1991,47,94.893
1991,48,91.457
1991,49,98.589
1991,50,112.119
1991,51,125.319
1991,52,140.435
1991,53,148.173
1991,54,143.507
1991,55,131.044
1991,56,119.953
1991,57,107.868
1991,58,99.609
1991,59,98.326
1991,60,101.176
1991,61,102.530
1991,62,103.958
1991,63,102.136
1991,64,94.987
1991,65,84.512
1991,66,74.814
1991,67,65.112
1991,68,56.637
1991,69,50.430
1991,70,45.854
1991,71,41.023
1991,72,36.078
1991,73,32.541
1991,74,30.909
1991,75,30.520
1991,76,30.323
1991,77,30.653
1991,78,30.011
1991,79,27.581
1991,80,24.084
1991,81,20.976
1991,82,17.863
1991,83,15.495
1991,84,14.357
1991,85,13.990
1991,86,13.512
1991,87,13.189
1991,88,12.360
1991,89,10.642
1991,90,8.411
1991,91,6.393
1991,92,4.411
1991,93,2.881
1991,94,2.078
1991,95,1.764
1991,96,1.436
1991,97,1.092
1991,98,0.785
1991,99,0.523
1991,100,1.208
1992,0,654.438
1992,1,659.687
1992,2,678.761
1992,3,666.253
1992,4,651.134
1992,5,633.879
1992,6,614.967
1992,7,594.651
1992,8,573.184
1992,9,552.163
1992,10,532.510
1992,11,514.035
1992,12,495.289
1992,13,476.173
1992,14,460.063
1992,15,448.373
1992,16,439.617
1992,17,431.309
1992,18,424.446
1992,19,415.571
1992,20,402.868
1992,21,388.241
1992,22,374.614
1992,23,360.459
1992,24,351.469
1992,25,350.470
1992,26,354.262
1992,27,356.984
1992,28,359.998
1992,29,358.995
1992,30,351.295
1992,31,338.950
1992,32,326.978
1992,33,314.740
1992,34,300.728
1992,35,284.816
1992,36,267.588
1992,37,249.989
1992,38,232.103
1992,39,214.450
1992,40,197.474
1992,41,181.259
1992,42,165.761
1992,43,151.371
1992,44,137.933
1992,45,125.488
1992,46,114.541
1992,47,104.390
1992,48,93.779
1992,49,90.338
1992,50,97.349
1992,51,110.690
1992,52,123.701
1992,53,138.608
1992,54,146.201
1992,55,141.511
1992,56,129.093
1992,57,118.034
1992,58,105.999
1992,59,97.719
1992,60,96.296
1992,61,98.938
1992,62,100.107
1992,63,101.347
1992,64,99.426
1992,65,92.320
1992,66,81.978
1992,67,72.401
1992,68,62.820
1992,69,54.464
1992,70,48.360
1992,71,43.869
1992,72,39.135
1992,73,34.306
1992,74,30.813
1992,75,29.115
1992,76,28.589
1992,77,28.265
1992,78,28.456
1992,79,27.750
1992,80,25.393
1992,81,22.053
1992,82,19.090
1992,83,16.145
1992,84,13.886
1992,85,12.753
1992,86,12.335
1992,87,11.828
1992,88,11.468
1992,89,10.685
1992,90,9.153
1992,91,7.187
1992,92,5.422
1992,93,3.697
1992,94,2.373
1992,95,1.681
1992,96,1.421
1992,97,0.994
1992,98,0.674
1992,99,0.466
1992,100,1.201
1993,0,627.080
1993,1,645.111
1993,2,655.438
1993,3,673.436
1993,4,663.612
1993,5,650.302
1993,6,634.114
1993,7,615.652
1993,8,595.190
1993,9,572.996
1993,10,551.358
1993,11,531.553
1993,12,513.180
1993,13,494.249
1993,14,474.786
1993,15,458.308
1993,16,446.255
1993,17,437.149
1993,18,428.480
1993,19,421.245
1993,20,412.112
1993,21,399.330
1993,22,384.748
1993,23,371.172
1993,24,357.089
1993,25,348.193
1993,26,347.292
1993,27,351.191
1993,28,354.045
1993,29,357.207
1993,30,356.348
1993,31,348.773
1993,32,336.539
1993,33,324.685
1993,34,312.567
1993,35,298.666
1993,36,282.853
1993,37,265.715
1993,38,248.201
1993,39,230.396
1993,40,212.822
1993,41,195.923
1993,42,179.782
1993,43,164.348
1993,44,150.006
1993,45,136.621
1993,46,124.246
1993,47,113.367
1993,48,103.274
1993,49,92.724
1993,50,89.275
1993,51,96.172
1993,52,109.331
1993,53,122.162
1993,54,136.868
1993,55,144.323
1993,56,139.604
1993,57,127.223
1993,58,116.190
1993,59,104.198
1993,60,95.890
1993,61,94.326
1993,62,96.761
1993,63,97.748
1993,64,98.799
1993,65,96.778
1993,66,89.709
1993,67,79.496
1993,68,70.032
1993,69,60.567
1993,70,52.325
1993,71,46.318
1993,72,41.910
1993,73,37.271
1993,74,32.556
1993,75,29.105
1993,76,27.335
1993,77,26.676
1993,78,26.225
1993,79,26.273
1993,80,25.507
1993,81,23.220
1993,82,20.034
1993,83,17.215
1993,84,14.435
1993,85,12.284
1993,86,11.157
1993,87,10.687
1993,88,10.151
1993,89,9.751
1993,90,9.017
1993,91,7.667
1993,92,5.968
1993,93,4.453
1993,94,2.986
1993,95,1.865
1993,96,1.287
1993,97,1.077
1993,98,0.557
1993,99,0.407
1993,100,1.180
1994,0,599.545
1994,1,627.992
1994,2,647.251
1994,3,658.216
1994,4,667.973
1994,5,660.840
1994,6,649.344
1994,7,634.225
1994,8,616.220
1994,9,595.614
1994,10,572.697
1994,11,550.446
1994,12,530.492
1994,13,512.225
1994,14,493.113
1994,15,473.305
1994,16,456.463
1994,17,444.048
1994,18,434.592
1994,19,425.565
1994,20,417.957
1994,21,408.570
1994,22,395.711
1994,23,381.177
1994,24,367.653
1994,25,353.647
1994,26,344.845
1994,27,344.044
1994,28,348.049
1994,29,351.032
1994,30,354.344
1994,31,353.630
1994,32,346.179
1994,33,334.060
1994,34,322.327
1994,35,310.330
1994,36,296.544
1994,37,280.833
1994,38,263.788
1994,39,246.364
1994,40,228.642
1994,41,211.150
1994,42,194.331
1994,43,178.270
1994,44,162.901
1994,45,148.611
1994,46,135.282
1994,47,122.977
1994,48,112.169
1994,49,102.137
1994,50,91.651
1994,51,88.194
1994,52,94.974
1994,53,107.948
1994,54,120.598
1994,55,135.099
1994,56,142.415
1994,57,137.669
1994,58,125.326
1994,59,114.321
1994,60,102.373
1994,61,94.042
1994,62,92.334
1994,63,94.563
1994,64,95.366
1994,65,96.230
1994,66,94.108
1994,67,87.078
1994,68,76.994
1994,69,67.647
1994,70,58.300
1994,71,50.172
1994,72,44.266
1994,73,39.941
1994,74,35.398
1994,75,30.796
1994,76,27.388
1994,77,25.550
1994,78,24.755
1994,79,24.177
1994,80,24.083
1994,81,23.255
1994,82,21.040
1994,83,18.009
1994,84,15.335
1994,85,12.720
1994,86,10.678
1994,87,9.556
1994,88,9.035
1994,89,8.469
1994,90,8.031
1994,91,7.345
1994,92,6.178
1994,93,4.747
1994,94,3.482
1994,95,2.272
1994,96,1.357
1994,97,0.890
1994,98,0.733
1994,99,0.374
1994,100,1.158
1995,0,575.648
1995,1,610.351
1995,2,635.497
1995,3,651.944
1995,4,660.567
1995,5,662.221
1995,6,657.782
1995,7,648.106
1995,8,634.064
1995,9,616.523
1995,10,595.782
1995,11,572.152
1995,12,549.297
1995,13,529.202
1995,14,511.050
1995,15,491.763
1995,16,471.620
1995,17,454.420
1995,18,441.649
1995,19,431.848
1995,20,422.466
1995,21,414.488
1995,22,404.849
1995,23,391.920
1995,24,377.440
1995,25,363.973
1995,26,350.050
1995,27,341.347
1995,28,340.646
1995,29,344.755
1995,30,347.867
1995,31,351.328
1995,32,350.757
1995,33,343.436
1995,34,331.436
1995,35,319.828
1995,36,307.959
1995,37,294.293
1995,38,278.691
1995,39,261.746
1995,40,244.420
1995,41,226.789
1995,42,209.386
1995,43,192.656
