year,age,population
1990,0,4.847
1990,1,4.812
1990,2,4.766
1990,3,4.709
1990,4,4.640
1990,5,4.560
1990,6,4.472
1990,7,4.371
1990,8,4.263
1990,9,4.146
1990,10,4.023
1990,11,3.900
1990,12,3.760
1990,13,3.592
1990,14,3.416
1990,15,3.240
1990,16,3.065
1990,17,2.911
1990,18,2.790
1990,19,2.693
1990,20,2.596
1990,21,2.502
1990,22,2.431
1990,23,2.396
1990,24,2.383
1990,25,2.370
1990,26,2.367
1990,27,2.339
1990,28,2.271
1990,29,2.177
1990,30,2.088
1990,31,1.999
1990,32,1.915
1990,33,1.841
1990,34,1.776
1990,35,1.707
1990,36,1.638
1990,37,1.574
1990,38,1.509
1990,39,1.452
1990,40,1.394
1990,41,1.335
1990,42,1.282
1990,43,1.232
1990,44,1.183
1990,45,1.137
1990,46,1.093
1990,47,1.047
1990,48,0.998
1990,49,0.948
1990,50,0.901
1990,51,0.855
1990,52,0.807
1990,53,0.756
1990,54,0.703
1990,55,0.654
1990,56,0.604
1990,57,0.565
1990,58,0.543
1990,59,0.534
1990,60,0.522
1990,61,0.514
1990,62,0.502
1990,63,0.485
1990,64,0.463
1990,65,0.446
1990,66,0.428
1990,67,0.408
1990,68,0.381
1990,69,0.351
1990,70,0.322
1990,71,0.292
1990,72,0.267
1990,73,0.251
1990,74,0.240
1990,75,0.228
1990,76,0.218
1990,77,0.205
1990,78,0.190
1990,79,0.173
1990,80,0.159
1990,81,0.144
1990,82,0.129
1990,83,0.109
1990,84,0.088
1990,85,0.069
1990,86,0.049
1990,87,0.035
1990,88,0.025
1990,89,0.019
1990,90,0.014
1990,91,0.011
1990,92,0.007
1990,93,0.005
1990,94,0.002
1990,95,0.000
1990,96,0.002
1990,97,0.000
1990,98,0.002
1990,99,0.000
1990,100,0.000
1991,0,4.974
1991,1,4.860
1991,2,4.816
1991,3,4.767
1991,4,4.709
1991,5,4.642
1991,6,4.565
1991,7,4.487
1991,8,4.386
1991,9,4.268
1991,10,4.132
1991,11,3.994
1991,12,3.855
1991,13,3.706
1991,14,3.539
1991,15,3.369
1991,16,3.200
1991,17,3.030
1991,18,2.886
1991,19,2.776
1991,20,2.693
1991,21,2.609
1991,22,2.531
1991,23,2.467
1991,24,2.430
1991,25,2.407
1991,26,2.385
1991,27,2.372
1991,28,2.337
1991,29,2.266
1991,30,2.174
1991,31,2.085
1991,32,1.997
1991,33,1.911
1991,34,1.836
1991,35,1.768
1991,36,1.697
1991,37,1.625
1991,38,1.560
1991,39,1.494
1991,40,1.438
1991,41,1.379
1991,42,1.322
1991,43,1.268
1991,44,1.218
1991,45,1.169
1991,46,1.124
1991,47,1.079
1991,48,1.033
1991,49,0.984
1991,50,0.932
1991,51,0.884
1991,52,0.837
1991,53,0.789
1991,54,0.742
1991,55,0.694
1991,56,0.649
1991,57,0.604
1991,58,0.568
1991,59,0.544
1991,60,0.532
1991,61,0.518
1991,62,0.507
1991,63,0.492
1991,64,0.472
1991,65,0.448
1991,66,0.429
1991,67,0.408
1991,68,0.388
1991,69,0.361
1991,70,0.333
1991,71,0.306
1991,72,0.279
1991,73,0.255
1991,74,0.241
1991,75,0.229
1991,76,0.218
1991,77,0.208
1991,78,0.196
1991,79,0.179
1991,80,0.160
1991,81,0.145
1991,82,0.128
1991,83,0.112
1991,84,0.093
1991,85,0.076
1991,86,0.059
1991,87,0.042
1991,88,0.030
1991,89,0.021
1991,90,0.016
1991,91,0.011
1991,92,0.009
1991,93,0.006
1991,94,0.004
1991,95,0.002
1991,96,0.002
1991,97,0.000
1991,98,0.002
1991,99,0.000
1991,100,0.000
1992,0,5.129
1992,1,5.034
1992,2,4.876
1992,3,4.824
1992,4,4.771
1992,5,4.713
1992,6,4.646
1992,7,4.575
1992,8,4.504
1992,9,4.405
1992,10,4.276
1992,11,4.122
1992,12,3.967
1992,13,3.813
1992,14,3.654
1992,15,3.488
1992,16,3.325
1992,17,3.162
1992,18,2.998
1992,19,2.862
1992,20,2.764
1992,21,2.695
1992,22,2.625
1992,23,2.560
1992,24,2.507
1992,25,2.465
1992,26,2.432
1992,27,2.402
1992,28,2.379
1992,29,2.336
1992,30,2.264
1992,31,2.172
1992,32,2.084
1992,33,1.995
1992,34,1.910
1992,35,1.832
1992,36,1.761
1992,37,1.687
1992,38,1.615
1992,39,1.546
1992,40,1.481
1992,41,1.424
1992,42,1.366
1992,43,1.309
1992,44,1.255
1992,45,1.205
1992,46,1.157
1992,47,1.110
1992,48,1.067
1992,49,1.020
1992,50,0.969
1992,51,0.917
1992,52,0.868
1992,53,0.820
1992,54,0.772
1992,55,0.728
1992,56,0.685
1992,57,0.644
1992,58,0.605
1992,59,0.571
1992,60,0.547
1992,61,0.530
1992,62,0.514
1992,63,0.499
1992,64,0.483
1992,65,0.460
1992,66,0.434
1992,67,0.412
1992,68,0.389
1992,69,0.366
1992,70,0.341
1992,71,0.316
1992,72,0.291
1992,73,0.265
1992,74,0.244
1992,75,0.230
1992,76,0.219
1992,77,0.208
1992,78,0.199
1992,79,0.186
1992,80,0.168
1992,81,0.148
1992,82,0.130
1992,83,0.112
1992,84,0.095
1992,85,0.078
1992,86,0.064
1992,87,0.049
1992,88,0.035
1992,89,0.024
1992,90,0.018
1992,91,0.012
1992,92,0.009
1992,93,0.008
1992,94,0.004
1992,95,0.004
1992,96,0.001
1992,97,0.000
1992,98,0.002
1992,99,0.000
1992,100,0.000
1993,0,5.291
1993,1,5.158
1993,2,5.044
1993,3,4.891
1993,4,4.831
1993,5,4.774
1993,6,4.715
1993,7,4.651
1993,8,4.583
1993,9,4.520
1993,10,4.423
1993,11,4.283
1993,12,4.110
1993,13,3.941
1993,14,3.770
1993,15,3.601
1993,16,3.436
1993,17,3.279
1993,18,3.124
1993,19,2.965
1993,20,2.837
1993,21,2.752
1993,22,2.695
1993,23,2.641
1993,24,2.590
1993,25,2.544
1993,26,2.501
1993,27,2.457
1993,28,2.419
1993,29,2.384
1993,30,2.336
1993,31,2.260
1993,32,2.170
1993,33,2.082
1993,34,1.994
1993,35,1.907
1993,36,1.828
1993,37,1.753
1993,38,1.678
1993,39,1.603
1993,40,1.533
1993,41,1.468
1993,42,1.410
1993,43,1.352
1993,44,1.295
1993,45,1.242
1993,46,1.192
1993,47,1.144
1993,48,1.097
1993,49,1.053
1993,50,1.007
1993,51,0.955
1993,52,0.902
1993,53,0.851
1993,54,0.802
1993,55,0.755
1993,56,0.714
1993,57,0.676
1993,58,0.640
1993,59,0.605
1993,60,0.574
1993,61,0.549
1993,62,0.529
1993,63,0.509
1993,64,0.492
1993,65,0.473
1993,66,0.448
1993,67,0.419
1993,68,0.395
1993,69,0.369
1993,70,0.346
1993,71,0.321
1993,72,0.298
1993,73,0.275
1993,74,0.252
1993,75,0.233
1993,76,0.219
1993,77,0.209
1993,78,0.198
1993,79,0.189
1993,80,0.176
