year,age,population
1990,0,577.967
1990,1,564.574
1990,2,552.068
1990,3,540.350
1990,4,529.321
1990,5,518.879
1990,6,508.927
1990,7,499.364
1990,8,490.091
1990,9,481.007
1990,10,472.479
1990,11,464.875
1990,12,455.761
1990,13,444.110
1990,14,431.215
1990,15,418.942
1990,16,406.352
1990,17,397.529
1990,18,394.513
1990,19,395.159
1990,20,395.063
1990,21,394.841
1990,22,393.617
1990,23,390.431
1990,24,385.554
1990,25,380.717
1990,26,376.170
1990,27,367.854
1990,28,354.106
1990,29,336.861
1990,30,319.715
1990,31,301.954
1990,32,285.810
1990,33,272.762
1990,34,261.832
1990,35,250.487
1990,36,239.138
1990,37,228.697
1990,38,219.341
1990,39,210.820
1990,40,202.722
1990,41,195.139
1990,42,187.646
1990,43,180.001
1990,44,172.373
1990,45,165.169
1990,46,158.279
1990,47,151.767
1990,48,145.704
1990,49,140.001
1990,50,134.495
1990,51,129.192
1990,52,124.090
1990,53,119.167
1990,54,114.402
1990,55,109.794
1990,56,105.343
1990,57,100.926
1990,58,96.485
1990,59,92.055
1990,60,87.731
1990,61,83.494
1990,62,79.302
1990,63,75.143
1990,64,71.028
1990,65,66.989
1990,66,63.038
1990,67,59.100
1990,68,55.152
1990,69,51.234
1990,70,47.422
1990,71,43.713
1990,72,40.136
1990,73,36.719
1990,74,33.461
1990,75,30.324
1990,76,27.316
1990,77,24.495
1990,78,21.885
1990,79,19.467
1990,80,17.194
1990,81,15.068
1990,82,13.125
1990,83,11.373
1990,84,9.796
1990,85,8.360
1990,86,7.060
1990,87,5.908
1990,88,4.904
1990,89,4.036
1990,90,3.278
1990,91,2.625
1990,92,2.074
1990,93,1.618
1990,94,1.246
1990,95,0.949
1990,96,0.724
1990,97,0.537
1990,98,0.374
1990,99,0.236
1990,100,0.322
1991,0,577.201
1991,1,574.864
1991,2,563.127
1991,3,551.703
1991,4,540.585
1991,5,529.763
1991,6,519.144
1991,7,508.634
1991,8,498.649
1991,9,489.354
1991,10,480.482
1991,11,471.974
1991,12,464.285
