year,age,population
1990,0,1886.265
1990,1,1867.230
1990,2,1845.026
1990,3,1820.116
1990,4,1792.978
1990,5,1764.078
1990,6,1733.887
1990,7,1702.876
1990,8,1671.513
1990,9,1640.272
1990,10,1608.408
1990,11,1575.176
1990,12,1547.118
1990,13,1527.118
1990,14,1512.016
1990,15,1496.210
1990,16,1481.371
1990,17,1461.954
1990,18,1434.804
1990,19,1402.795
1990,20,1371.460
1990,21,1339.115
1990,22,1309.740
1990,23,1285.688
1990,24,1264.587
1990,25,1241.468
1990,26,1217.040
1990,27,1190.546
1990,28,1161.015
1990,29,1128.698
1990,30,1095.156
1990,31,1060.499
1990,32,1021.292
1990,33,976.109
1990,34,926.489
1990,35,877.155
1990,36,829.293
1990,37,775.536
1990,38,713.378
1990,39,647.448
1990,40,583.990
1990,41,520.687
1990,42,471.221
1990,43,442.700
1990,44,428.903
1990,45,416.066
1990,46,406.420
1990,47,399.460
1990,48,393.382
1990,49,388.666
1990,50,386.672
1990,51,386.022
1990,52,388.273
1990,53,393.977
1990,54,401.227
1990,55,408.489
1990,56,417.167
1990,57,417.633
1990,58,405.295
1990,59,384.736
1990,60,364.760
1990,61,343.132
1990,62,325.470
1990,63,315.304
1990,64,309.625
1990,65,302.267
1990,66,294.912
1990,67,284.641
1990,68,269.527
1990,69,251.476
1990,70,234.079
1990,71,216.318
1990,72,200.906
1990,73,189.456
1990,74,180.479
1990,75,171.136
1990,76,162.308
1990,77,151.833
1990,78,138.454
1990,79,123.445
1990,80,109.234
1990,81,95.220
1990,82,82.948
1990,83,73.403
1990,84,65.764
1990,85,58.299
1990,86,51.438
1990,87,44.601
1990,88,37.352
1990,89,30.092
1990,90,23.579
1990,91,17.555
1990,92,12.700
1990,93,9.395
1990,94,7.243
1990,95,5.412
1990,96,4.015
1990,97,2.912
1990,98,1.938
1990,99,1.125
1990,100,1.942
1991,0,1896.236
1991,1,1879.668
1991,2,1862.164
1991,3,1841.095
1991,4,1816.981
1991,5,1790.350
1991,6,1761.663
1991,7,1731.387
1991,8,1700.329
1991,9,1669.126
1991,10,1638.131
1991,11,1606.343
1991,12,1573.111
1991,13,1544.839
1991,14,1524.340
1991,15,1508.554
1991,16,1492.083
1991,17,1476.581
1991,18,1456.556
1991,19,1428.908
1991,20,1396.507
1991,21,1364.793
1991,22,1332.058
1991,23,1302.591
1991,24,1278.871
1991,25,1258.382
1991,26,1235.876
1991,27,1212.112
1991,28,1186.204
1991,29,1157.089
1991,30,1125.068
1991,31,1091.864
1991,32,1057.562
1991,33,1018.619
1991,34,973.578
1991,35,924.011
1991,36,874.715
1991,37,826.860
1991,38,773.131
1991,39,711.055
1991,40,645.235
1991,41,581.854
1991,42,518.608
1991,43,469.176
1991,44,440.664
1991,45,426.851
1991,46,413.981
1991,47,404.285
1991,48,397.247
1991,49,391.061
1991,50,386.212
1991,51,384.066
1991,52,383.250
1991,53,385.297
1991,54,390.744
1991,55,397.703
1991,56,404.659
1991,57,413.008
1991,58,413.169
1991,59,400.579
1991,60,379.792
1991,61,359.582
1991,62,337.737
1991,63,319.777
1991,64,309.184
1991,65,303.006
1991,66,295.174
1991,67,287.341
1991,68,276.712
1991,69,261.429
1991,70,243.338
1991,71,225.912
1991,72,208.176
1991,73,192.728
1991,74,181.117
1991,75,171.925
1991,76,162.427
1991,77,153.462
1991,78,143.019
1991,79,129.923
1991,80,115.365
1991,81,101.617
1991,82,88.113
1991,83,76.320
1991,84,67.167
1991,85,59.875
1991,86,52.794
1991,87,46.313
1991,88,39.936
1991,89,33.267
1991,90,26.653
1991,91,20.760
1991,92,15.354
1991,93,11.015
1991,94,8.069
1991,95,6.165
1991,96,4.434
1991,97,3.120
1991,98,2.051
1991,99,1.222
1991,100,2.209
1992,0,1907.098
1992,1,1896.228
