year,age,population
1990,0,6997.713
1990,1,6690.225
1990,2,6409.425
1990,3,6152.909
1990,4,5918.255
1990,5,5703.068
1990,6,5504.917
1990,7,5321.403
1990,8,5150.112
1990,9,4988.631
1990,10,4837.721
1990,11,4698.141
1990,12,4551.613
1990,13,4389.398
1990,14,4218.581
1990,15,4055.806
1990,16,3898.661
1990,17,3744.704
1990,18,3594.657
1990,19,3449.321
1990,20,3307.698
1990,21,3168.719
1990,22,3042.253
1990,23,2932.680
1990,24,2835.324
1990,25,2741.162
1990,26,2652.040
1990,27,2563.289
1990,28,2471.695
1990,29,2379.467
1990,30,2292.375
1990,31,2209.630
1990,32,2128.848
1990,33,2049.532
1990,34,1972.527
1990,35,1898.601
1990,36,1826.909
1990,37,1761.974
1990,38,1705.895
1990,39,1656.308
1990,40,1608.252
1990,41,1562.174
1990,42,1517.764
1990,43,1474.221
1990,44,1431.298
1990,45,1390.019
1990,46,1350.665
1990,47,1308.315
1990,48,1260.782
1990,49,1210.189
1990,50,1160.847
1990,51,1111.839
1990,52,1064.912
1990,53,1021.357
1990,54,980.245
1990,55,939.210
1990,56,898.528
1990,57,859.229
1990,58,821.547
1990,59,785.045
1990,60,749.083
1990,61,713.785
1990,62,678.316
1990,63,642.212
1990,64,605.773
1990,65,569.924
1990,66,534.666
1990,67,499.024
1990,68,462.656
1990,69,426.057
1990,70,390.264
1990,71,355.367
1990,72,320.876
1990,73,286.766
1990,74,253.461
1990,75,221.477
1990,76,190.760
1990,77,162.490
1990,78,137.323
1990,79,114.884
1990,80,93.971
1990,81,74.626
1990,82,58.155
1990,83,45.041
1990,84,34.661
1990,85,25.764
1990,86,18.356
1990,87,12.590
1990,88,8.322
1990,89,5.325
1990,90,3.407
1990,91,2.539
1990,92,1.890
1990,93,1.107
1990,94,0.311
1990,95,0.229
1990,96,0.185
1990,97,0.137
1990,98,0.092
1990,99,0.035
1990,100,0.026
1991,0,7146.664
1991,1,6862.597
1991,2,6574.754
1991,3,6312.577
1991,4,6073.420
1991,5,5854.634
1991,6,5654.211
1991,7,5470.140
1991,8,5296.568
1991,9,5129.542
1991,10,4968.351
1991,11,4817.095
1991,12,4676.027
1991,13,4528.016
1991,14,4365.298
1991,15,4194.513
1991,16,4030.900
1991,17,3872.286
1991,18,3717.394
1991,19,3567.367
1991,20,3422.678
1991,21,3281.573
1991,22,3143.094
1991,23,3017.236
1991,24,2908.357
1991,25,2811.766
1991,26,2718.423
1991,27,2630.175
1991,28,2542.238
1991,29,2451.348
1991,30,2359.737
1991,31,2273.258
1991,32,2191.119
