year,age,population
1990,0,4409.260
1990,1,4379.064
1990,2,4336.105
1990,3,4281.649
1990,4,4216.952
1990,5,4143.288
1990,6,4061.926
1990,7,3974.122
1990,8,3881.147
1990,9,3784.264
1990,10,3684.026
1990,11,3580.949
1990,12,3479.955
1990,13,3383.751
1990,14,3291.428
1990,15,3199.112
1990,16,3107.300
1990,17,3021.124
1990,18,2942.673
1990,19,2870.165
1990,20,2799.004
1990,21,2729.257
1990,22,2663.869
1990,23,2603.551
1990,24,2546.638
1990,25,2490.855
1990,26,2436.800
1990,27,2380.022
1990,28,2318.102
1990,29,2252.861
1990,30,2187.432
1990,31,2119.864
1990,32,2055.593
1990,33,1997.217
1990,34,1941.156
1990,35,1884.391
1990,36,1831.250
1990,37,1760.791
1990,38,1663.469
1990,39,1550.838
1990,40,1443.119
1990,41,1335.236
1990,42,1245.969
1990,43,1186.411
1990,44,1147.735
1990,45,1108.698
1990,46,1071.956
1990,47,1042.967
1990,48,1021.785
1990,49,1006.152
1990,50,993.584
1990,51,984.366
1990,52,971.787
1990,53,952.179
1990,54,927.708
1990,55,904.319
1990,56,880.897
1990,57,854.969
1990,58,825.924
1990,59,794.281
1990,60,761.794
1990,61,728.851
1990,62,692.579
1990,63,651.941
1990,64,608.653
1990,65,565.923
1990,66,523.680
1990,67,482.619
1990,68,443.581
1990,69,406.805
1990,70,370.545
1990,71,333.726
1990,72,305.287
1990,73,289.057
1990,74,280.537
1990,75,272.185
1990,76,266.462
1990,77,254.014
1990,78,229.722
1990,79,198.317
1990,80,165.980
1990,81,141.481
1990,82,119.270
1990,83,100.975
1990,84,85.602
1990,85,73.043
1990,86,60.828
1990,87,49.855
1990,88,39.848
1990,89,30.894
1990,90,23.249
1990,91,16.682
1990,92,11.526
1990,93,7.894
1990,94,5.479
1990,95,3.404
1990,96,2.682
1990,97,2.088
1990,98,1.408
1990,99,0.711
1990,100,1.490
1991,0,4432.319
1991,1,4390.302
1991,2,4357.402
1991,3,4313.790
1991,4,4260.295
1991,5,4197.738
1991,6,4127.539
1991,7,4051.097
1991,8,3966.374
1991,9,3873.066
1991,10,3773.713
1991,11,3671.851
1991,12,3567.532
1991,13,3465.379
1991,14,3368.271
1991,15,3275.379
1991,16,3182.462
1991,17,3089.818
1991,18,3004.442
1991,19,2929.234
1991,20,2861.502
1991,21,2794.883
1991,22,2729.805
1991,23,2668.186
1991,24,2610.047
1991,25,2554.181
1991,26,2499.532
1991,27,2446.567
1991,28,2390.116
1991,29,2327.556
1991,30,2260.994
1991,31,2194.049
1991,32,2124.659
1991,33,2058.770
1991,34,1999.286
1991,35,1942.402
1991,36,1884.661
1991,37,1830.562
1991,38,1758.838
1991,39,1659.790
1991,40,1545.188
1991,41,1435.610
1991,42,1325.823
1991,43,1235.287
1991,44,1175.422
1991,45,1137.080
1991,46,1098.339
1991,47,1062.003
1991,48,1033.240
1991,49,1011.900
1991,50,995.870
1991,51,983.018
1991,52,973.545
1991,53,960.765
1991,54,941.069
1991,55,916.560
1991,56,893.111
1991,57,869.636
1991,58,843.536
1991,59,814.112
1991,60,781.970
1991,61,749.009
1991,62,715.587
1991,63,678.899
1991,64,637.973
1991,65,594.487
1991,66,551.529
1991,67,509.031
1991,68,467.798
1991,69,428.714
1991,70,391.961
1991,71,355.758
1991,72,319.135
1991,73,290.540
1991,74,273.576
1991,75,264.021
1991,76,254.775
1991,77,248.137
1991,78,235.402
1991,79,211.788
1991,80,181.716
1991,81,151.037
1991,82,127.521
1991,83,106.434
1991,84,89.384
1991,85,75.334
1991,86,63.634
1991,87,52.657
1991,88,42.890
1991,89,34.033
1991,90,26.173
1991,91,19.572
1991,92,14.005
1991,93,9.652
1991,94,6.560
1991,95,4.493
1991,96,2.826
1991,97,1.969
1991,98,1.192
1991,99,0.537
1991,100,1.461
1992,0,4457.691
1992,1,4429.711
1992,2,4373.926
1992,3,4338.027
1992,4,4293.509
1992,5,4240.785
1992,6,4180.228
1992,7,4113.376
1992,8,4041.780
1992,9,3960.090
1992,10,3866.410
1992,11,3764.567
1992,12,3661.070
1992,13,3555.534
1992,14,3452.188
1992,15,3354.122
1992,16,3260.563
1992,17,3166.953
1992,18,3073.383
1992,19,2988.720
1992,20,2916.677
1992,21,2853.632
1992,22,2791.477
1992,23,2730.989
1992,24,2673.032
1992,25,2616.954
1992,26,2561.985
1992,27,2508.337
1992,28,2456.335
1992,29,2400.091
1992,30,2336.805
1992,31,2268.855
1992,32,2200.324
1992,33,2129.054
1992,34,2061.522
1992,35,2000.935
1992,36,1943.286
1992,37,1884.604
1992,38,1829.604
1992,39,1756.672
1992,40,1655.913
1992,41,1539.354
1992,42,1427.929
1992,43,1316.256
1992,44,1224.466
1992,45,1164.332
1992,46,1126.354
1992,47,1087.951
1992,48,1052.055
1992,49,1023.530
1992,50,1002.003
1992,51,985.533
1992,52,972.344
1992,53,962.560
1992,54,949.560
1992,55,929.791
1992,56,905.295
1992,57,881.826
1992,58,858.352
1992,59,832.094
1992,60,802.292
1992,61,769.622
1992,62,736.159
1992,63,702.225
1992,64,665.115
1992,65,623.930
1992,66,580.283
1992,67,537.140
1992,68,494.426
1992,69,453.055
1992,70,413.941
1992,71,377.216
1992,72,341.076
1992,73,304.660
1992,74,275.912
1992,75,258.205
1992,76,247.600
1992,77,237.447
1992,78,229.876
1992,79,216.842
1992,80,193.900
1992,81,165.152
1992,82,136.119
1992,83,113.582
1992,84,93.617
1992,85,77.804
1992,86,65.072
1992,87,54.228
1992,88,44.486
1992,89,35.920
1992,90,28.224
1992,91,21.453
1992,92,15.888
1992,93,11.332
1992,94,7.780
1992,95,5.229
1992,96,3.503
1992,97,1.988
1992,98,1.166
1992,99,0.512
1992,100,1.401
1993,0,4485.777
1993,1,4451.842
1993,2,4413.139
1993,3,4358.695
1993,4,4319.720
1993,5,4274.250
1993,6,4222.249
1993,7,4163.650
1993,8,4100.134
1993,9,4033.365
1993,10,3954.699
1993,11,3860.641
1993,12,3756.308
1993,13,3651.177
1993,14,3544.410
1993,15,3439.880
1993,16,3340.814
1993,17,3246.529
1993,18,3152.189
1993,19,3057.635
1993,20,2973.627
1993,21,2904.691
1993,22,2846.264
1993,23,2788.505
1993,24,2732.539
1993,25,2678.181
1993,26,2624.090
1993,27,2569.967
1993,28,2517.253
1993,29,2466.162
1993,30,2410.084
1993,31,2346.045
1993,32,2276.702
1993,33,2206.587
1993,34,2133.428
1993,35,2064.259
1993,36,2002.592
1993,37,1944.188
1993,38,1884.607
1993,39,1828.731
1993,40,1754.608
1993,41,1652.146
1993,42,1533.621
1993,43,1420.350
1993,44,1306.774
1993,45,1213.735
1993,46,1153.344
1993,47,1115.741
1993,48,1077.684
1993,49,1042.240
1993,50,1013.961
1993,51,992.215
1993,52,975.264
1993,53,961.699
1993,54,951.569
1993,55,938.308
1993,56,918.478
1993,57,894.016
1993,58,870.546
1993,59,847.088
1993,60,820.694
1993,61,790.495
1993,62,757.272
1993,63,723.301
1993,64,688.833
1993,65,651.294
1993,66,609.855
1993,67,566.079
1993,68,522.756
1993,69,479.853
1993,70,438.353
1993,71,399.217
1993,72,362.519
1993,73,326.451
1993,74,290.243
1993,75,261.332
1993,76,242.885
1993,77,231.228
1993,78,220.151
1993,79,211.642
1993,80,198.301
1993,81,176.026
1993,82,148.596
1993,83,121.214
1993,84,99.652
1993,85,80.801
1993,86,66.231
1993,87,54.814
1993,88,44.816
1993,89,36.315
1993,90,28.946
1993,91,22.405
1993,92,16.730
1993,93,12.208
1993,94,8.656
1993,95,5.908
1993,96,3.896
1993,97,2.516
1993,98,1.152
