year,age,population
1990,0,2017.251
1990,1,2077.567
1990,2,2115.423
1990,3,2134.140
1990,4,2137.036
1990,5,2127.448
1990,6,2108.679
1990,7,2084.070
1990,8,2056.935
1990,9,2030.602
1990,10,2004.111
1990,11,1976.496
1990,12,1972.501
1990,13,2004.018
1990,14,2061.513
1990,15,2118.705
1990,16,2174.997
1990,17,2253.284
1990,18,2360.441
1990,19,2483.756
1990,20,2604.210
1990,21,2726.252
1990,22,2821.836
1990,23,2875.245
1990,24,2897.860
1990,25,2919.128
1990,26,2935.964
1990,27,2934.505
1990,28,2911.697
1990,29,2873.480
1990,30,2829.668
1990,31,2779.277
1990,32,2730.481
1990,33,2688.686
1990,34,2651.654
1990,35,2609.950
1990,36,2563.329
1990,37,2527.148
1990,38,2507.442
1990,39,2497.224
1990,40,2486.919
1990,41,2482.631
1990,42,2458.815
1990,43,2403.138
1990,44,2329.622
1990,45,2259.297
1990,46,2181.538
1990,47,2138.661
1990,48,2151.790
1990,49,2197.941
1990,50,2237.991
1990,51,2285.728
1990,52,2293.098
1990,53,2234.127
1990,54,2134.414
1990,55,2042.931
1990,56,1946.782
1990,57,1878.387
1990,58,1857.794
1990,59,1867.343
1990,60,1864.830
1990,61,1853.344
1990,62,1847.259
1990,63,1847.761
1990,64,1846.628
1990,65,1846.995
1990,66,1863.292
1990,67,1807.953
1990,68,1642.525
1990,69,1413.554
1990,70,1194.289
1990,71,956.039
1990,72,815.589
1990,73,833.984
1990,74,951.003
1990,75,1049.112
1990,76,1156.248
1990,77,1207.898
1990,78,1161.529
1990,79,1051.657
1990,80,957.066
1990,81,864.042
1990,82,770.835
1990,83,685.118
1990,84,604.621
1990,85,519.525
1990,86,431.933
1990,87,353.513
1990,88,289.160
1990,89,235.811
1990,90,184.747
1990,91,136.814
1990,92,98.070
1990,93,70.388
1990,94,51.266
1990,95,35.885
1990,96,24.653
1990,97,16.254
1990,98,9.363
1990,99,4.085
1990,100,7.783
1991,0,1988.669
1991,1,2044.260
1991,2,2096.231
1991,3,2128.921
1991,4,2145.114
1991,5,2147.599
1991,6,2139.745
1991,7,2124.898
1991,8,2102.987
1991,9,2075.641
1991,10,2047.373
1991,11,2020.088
1991,12,1992.217
1991,13,1988.265
1991,14,2020.275
1991,15,2078.578
1991,16,2136.533
1991,17,2193.521
1991,18,2272.766
1991,19,2381.238
1991,20,2506.036
1991,21,2627.871
1991,22,2751.268
1991,23,2847.690
1991,24,2901.167
1991,25,2923.278
1991,26,2943.986
1991,27,2960.166
1991,28,2957.718
1991,29,2933.537
1991,30,2893.677
1991,31,2848.108
1991,32,2795.798
1991,33,2745.249
1991,34,2702.042
1991,35,2663.802
1991,36,2620.802
1991,37,2572.869
1991,38,2535.280
1991,39,2514.001
1991,40,2502.112
1991,41,2490.175
1991,42,2484.257
1991,43,2458.907
1991,44,2401.855
1991,45,2327.066
1991,46,2255.483
1991,47,2176.499
1991,48,2132.389
1991,49,2144.236
1991,50,2189.096
1991,51,2227.865
1991,52,2274.279
1991,53,2280.533
1991,54,2220.766
1991,55,2120.432
1991,56,2028.259
1991,57,1931.414
1991,58,1862.030
1991,59,1839.981
1991,60,1847.759
1991,61,1843.572
1991,62,1830.577
1991,63,1822.565
1991,64,1820.525
1991,65,1816.569
1991,66,1814.008
1991,67,1826.788
1991,68,1769.834
1991,69,1605.807
1991,70,1379.896
1991,71,1163.335
1991,72,928.384
1991,73,787.804
1991,74,800.605
1991,75,908.691
1991,76,998.694
1991,77,1097.744
1991,78,1143.167
1991,79,1093.782
1991,80,983.241
1991,81,887.930
1991,82,794.414
1991,83,702.335
1991,84,619.746
1991,85,543.838
1991,86,463.709
1991,87,381.472
1991,88,308.800
1991,89,250.394
1991,90,203.053
1991,91,158.103
1991,92,116.433
1991,93,82.930
1991,94,58.908
1991,95,42.300
1991,96,26.374
1991,97,17.250
1991,98,9.925
1991,99,4.424
1991,100,8.311
1992,0,1964.847
1992,1,2046.151
1992,2,2071.670
1992,3,2115.287
1992,4,2142.802
1992,5,2156.468
1992,6,2158.535
1992,7,2152.412
1992,8,2141.481
1992,9,2122.268
1992,10,2094.698
1992,11,2064.489
1992,12,2036.401
1992,13,2008.278
1992,14,2004.370
1992,15,2036.856
1992,16,2095.960
1992,17,2154.666
1992,18,2212.339
1992,19,2292.563
1992,20,2402.427
1992,21,2528.818
1992,22,2652.135
1992,23,2776.992
1992,24,2874.337
1992,25,2927.913
1992,26,2949.524
1992,27,2969.679
1992,28,2985.208
1992,29,2981.762
1992,30,2956.199
1992,31,2914.673
1992,32,2867.322
1992,33,2813.064
1992,34,2760.729
1992,35,2716.077
1992,36,2676.600
1992,37,2632.269
1992,38,2583.000
1992,39,2543.970
1992,40,2521.070
1992,41,2507.453
1992,42,2493.837
1992,43,2486.237
1992,44,2459.345
1992,45,2400.961
1992,46,2324.998
1992,47,2252.230
1992,48,2172.111
1992,49,2126.834
1992,50,2137.446
1992,51,2181.041
1992,52,2218.558
1992,53,2263.685
1992,54,2268.812
1992,55,2208.190
1992,56,2107.132
1992,57,2014.163
1992,58,1916.518
1992,59,1846.066
1992,60,1822.565
1992,61,1828.593
1992,62,1822.755
1992,63,1808.280
1992,64,1798.351
1992,65,1793.749
1992,66,1786.936
1992,67,1781.415
1992,68,1790.650
1992,69,1732.054
1992,70,1569.406
1992,71,1346.520
1992,72,1132.634
1992,73,900.951
1992,74,760.229
1992,75,767.435
1992,76,866.601
1992,77,948.513
1992,78,1039.488
1992,79,1078.684
1992,80,1026.276
1992,81,915.026
1992,82,818.971
1992,83,724.936
1992,84,633.956
1992,85,554.467
1992,86,483.133
1992,87,407.943
1992,88,331.047
1992,89,264.100
1992,90,211.637
1992,91,170.294
1992,92,131.460
1992,93,96.047
1992,94,67.784
1992,95,47.426
1992,96,33.330
1992,97,18.377
1992,98,10.587
1992,99,4.828
1992,100,8.871
1993,0,1947.256
1993,1,2027.381
1993,2,2087.708
1993,3,2098.684
1993,4,2133.929
1993,5,2156.259
1993,6,2167.389
1993,7,2169.035
1993,8,2164.640
1993,9,2157.640
1993,10,2141.114
1993,11,2113.334
1993,12,2081.184
1993,13,2052.299
1993,14,2023.938
1993,15,2020.064
1993,16,2053.020
1993,17,2112.904
1993,18,2172.346
1993,19,2230.683
1993,20,2311.872
1993,21,2423.135
1993,22,2551.127
1993,23,2675.937
1993,24,2802.266
1993,25,2900.536
1993,26,2954.217
1993,27,2975.315
1993,28,2994.917
1993,29,3009.790
1993,30,3005.344
1993,31,2978.392
1993,32,2935.211
1993,33,2886.076
1993,34,2829.866
1993,35,2775.750
1993,36,2729.652
1993,37,2688.929
1993,38,2643.272
1993,39,2592.667
1993,40,2552.190
1993,41,2527.654
1993,42,2512.292
1993,43,2496.973
1993,44,2487.672
1993,45,2459.235
1993,46,2399.561
1993,47,2322.468
1993,48,2248.573
1993,49,2167.369
1993,50,2120.967
1993,51,2130.358
1993,52,2172.687
1993,53,2208.956
1993,54,2252.797
1993,55,2256.798
1993,56,2195.307
1993,57,2093.512
1993,58,1999.736
1993,59,1901.266
1993,60,1829.738
1993,61,1804.776
1993,62,1809.074
1993,63,1801.592
1993,64,1785.650
1993,65,1773.807
1993,66,1766.634
1993,67,1756.952
1993,68,1748.455
1993,69,1754.132
1993,70,1693.896
1993,71,1532.657
1993,72,1312.854
1993,73,1101.690
1993,74,873.337
1993,75,732.489
1993,76,734.105
1993,77,824.316
1993,78,898.113
1993,79,980.984
1993,80,1013.947
1993,81,958.506
1993,82,846.575
1993,83,749.784
1993,84,655.248
1993,85,565.384
1993,86,489.012
1993,87,422.270
1993,88,352.038
1993,89,280.496
1993,90,219.298
1993,91,172.789
1993,92,137.468
1993,93,104.759
1993,94,75.619
1993,95,52.612
1993,96,35.917
1993,97,24.345
1993,98,11.317
1993,99,5.301
1993,100,9.487
1994,0,1937.313
1994,1,2010.063
1994,2,2067.808
1994,3,2111.944
1994,4,2124.317
1994,5,2151.166
1994,6,2168.296
1994,7,2176.887
1994,8,2178.108
1994,9,2175.453
1994,10,2172.374
1994,11,2158.571
1994,12,2130.587
1994,13,2096.522
1994,14,2066.864
1994,15,2038.274
1994,16,2034.446
1994,17,2067.857
1994,18,2128.491
1994,19,2188.634
1994,20,2247.612
1994,21,2329.711
1994,22,2442.265
1994,23,2571.736
1994,24,2697.915
1994,25,2825.588
1994,26,2924.692
1994,27,2978.418
1994,28,2999.003
1994,29,3018.031
1994,30,3032.235
1994,31,3026.800
1994,32,2998.478
1994,33,2953.680
1994,34,2902.797
1994,35,2844.687
1994,36,2788.833
1994,37,2741.332
1994,38,2699.407
1994,39,2652.462
1994,40,2600.566
1994,41,2558.679
1994,42,2532.543
1994,43,2515.471
1994,44,2498.486
1994,45,2487.514
1994,46,2457.554
1994,47,2396.589
1994,48,2318.368
1994,49,2243.339
1994,50,2161.042
1994,51,2113.508
1994,52,2121.649
1994,53,2162.676
1994,54,2197.667
1994,55,2240.178
1994,56,2243.057
1994,57,2180.765
1994,58,2078.341
1994,59,1983.867
1994,60,1884.683
1994,61,1812.157
1994,62,1785.755
1994,63,1788.299
1994,64,1779.167
1994,65,1761.751
1994,66,1747.992
1994,67,1738.264
1994,68,1725.728
1994,69,1714.281
1994,70,1716.405
1994,71,1654.578
1994,72,1494.856
1994,73,1278.277
1994,74,1069.975
1994,75,845.094
1994,76,704.220
1994,77,700.229
1994,78,781.428
1994,79,847.051
1994,80,921.762
1994,81,948.459
1994,82,890.035
1994,83,777.494
1994,84,680.043
1994,85,585.073
1994,86,496.389
1994,87,423.196
1994,88,361.093
1994,89,295.872
1994,90,229.743
1994,91,174.335
1994,92,133.825
1994,93,104.540
1994,94,77.986
1994,95,55.141
1994,96,37.396
1994,97,24.393
1994,98,15.341
1994,99,5.807
1994,100,10.163
1995,0,1935.638
1995,1,1996.209
1995,2,2047.087
1995,3,2088.890
1995,4,2122.268
1995,5,2147.857
1995,6,2166.297
1995,7,2178.214
1995,8,2184.262
1995,9,2185.067
1995,10,2184.150
1995,11,2185.007
1995,12,2173.927
1995,13,2145.782
1995,14,2109.841
1995,15,2079.434
1995,16,2050.642
1995,17,2046.865
1995,18,2080.713
1995,19,2142.054
1995,20,2202.861
1995,21,2262.434
1995,22,2345.355
1995,23,2459.028
1995,24,2589.756
1995,25,2717.101
1995,26,2845.903
1995,27,2945.677
1995,28,2999.381
1995,29,3019.426
1995,30,3037.866
1995,31,3051.394
1995,32,3044.976
1995,33,3015.336
1995,34,2968.968
1995,35,2916.420
1995,36,2856.489
1995,37,2798.979
1995,38,2750.148
1995,39,2707.086
1995,40,2658.926
1995,41,2605.805
1995,42,2562.583
1995,43,2534.924
1995,44,2516.215
1995,45,2497.633
1995,46,2485.055
1995,47,2453.610
1995,48,2391.350
1995,49,2311.960
1995,50,2235.767
1995,51,2152.362
1995,52,2103.649
1995,53,2110.493
1995,54,2150.165
1995,55,2183.821
1995,56,2224.942
1995,57,2226.704
1995,58,2163.732
1995,59,2060.868
1995,60,1965.866
1995,61,1866.168
1995,62,1792.780
1995,63,1764.969
1995,64,1765.724
1995,65,1754.929
1995,66,1736.027
1995,67,1720.361
1995,68,1708.102
1995,69,1692.766
1995,70,1678.405
1995,71,1677.010
1995,72,1613.670
1995,73,1455.618
1995,74,1242.459
1995,75,1037.211
