year,age,population
1990,0,6.262
1990,1,6.319
1990,2,6.322
1990,3,6.281
1990,4,6.197
1990,5,6.077
1990,6,5.928
1990,7,5.755
1990,8,5.563
1990,9,5.359
1990,10,5.145
1990,11,4.929
1990,12,4.719
1990,13,4.527
1990,14,4.354
1990,15,4.182
1990,16,4.011
1990,17,3.899
1990,18,3.881
1990,19,3.922
1990,20,3.964
1990,21,4.023
1990,22,4.055
1990,23,4.026
1990,24,3.967
1990,25,3.916
1990,26,3.861
1990,27,3.835
1990,28,3.852
1990,29,3.895
1990,30,3.923
1990,31,3.941
1990,32,3.931
1990,33,3.878
1990,34,3.788
1990,35,3.695
1990,36,3.598
1990,37,3.454
1990,38,3.252
1990,39,3.006
1990,40,2.762
1990,41,2.510
1990,42,2.277
1990,43,2.082
1990,44,1.914
1990,45,1.745
1990,46,1.577
1990,47,1.437
1990,48,1.338
1990,49,1.266
1990,50,1.199
1990,51,1.147
1990,52,1.089
1990,53,1.021
1990,54,0.948
1990,55,0.884
1990,56,0.823
1990,57,0.775
1990,58,0.744
1990,59,0.722
1990,60,0.702
1990,61,0.687
1990,62,0.664
1990,63,0.630
1990,64,0.587
1990,65,0.547
1990,66,0.510
1990,67,0.473
1990,68,0.443
1990,69,0.415
1990,70,0.389
1990,71,0.362
1990,72,0.335
1990,73,0.307
1990,74,0.279
1990,75,0.252
1990,76,0.227
1990,77,0.203
1990,78,0.179
1990,79,0.157
1990,80,0.137
1990,81,0.115
1990,82,0.098
1990,83,0.082
1990,84,0.068
1990,85,0.056
1990,86,0.045
1990,87,0.036
1990,88,0.026
1990,89,0.021
1990,90,0.016
1990,91,0.011
1990,92,0.007
1990,93,0.005
1990,94,0.002
1990,95,0.001
1990,96,0.001
1990,97,0.000
1990,98,0.001
1990,99,0.000
1990,100,0.000
1991,0,6.417
1991,1,6.274
1991,2,6.305
1991,3,6.294
1991,4,6.251
1991,5,6.176
1991,6,6.072
1991,7,5.949
1991,8,5.798
1991,9,5.618
1991,10,5.420
1991,11,5.215
1991,12,5.011
1991,13,4.811
1991,14,4.626
1991,15,4.460
1991,16,4.292
1991,17,4.126
1991,18,4.017
1991,19,3.998
1991,20,4.039
1991,21,4.078
1991,22,4.135
1991,23,4.162
1991,24,4.129
1991,25,4.065
1991,26,4.007
1991,27,3.946
1991,28,3.913
1991,29,3.927
1991,30,3.966
1991,31,3.989
1991,32,4.004
1991,33,3.985
1991,34,3.919
1991,35,3.813
1991,36,3.702
1991,37,3.590
1991,38,3.431
1991,39,3.215
1991,40,2.958
1991,41,2.702
1991,42,2.438
1991,43,2.199
1991,44,2.004
1991,45,1.840
1991,46,1.677
1991,47,1.514
1991,48,1.379
1991,49,1.283
1991,50,1.212
1991,51,1.147
1991,52,1.098
1991,53,1.043
1991,54,0.978
1991,55,0.907
1991,56,0.847
1991,57,0.788
1991,58,0.743
1991,59,0.713
1991,60,0.691
1991,61,0.672
1991,62,0.658
1991,63,0.635
1991,64,0.601
1991,65,0.559
1991,66,0.520
1991,67,0.482
1991,68,0.446
1991,69,0.417
1991,70,0.390
1991,71,0.364
1991,72,0.338
1991,73,0.311
1991,74,0.285
1991,75,0.257
1991,76,0.231
1991,77,0.207
1991,78,0.184
1991,79,0.161
1991,80,0.140
1991,81,0.122
1991,82,0.102
1991,83,0.085
1991,84,0.071
1991,85,0.059
1991,86,0.048
1991,87,0.038
1991,88,0.031
1991,89,0.021
1991,90,0.018
1991,91,0.013
1991,92,0.009
1991,93,0.006
1991,94,0.004
1991,95,0.002
1991,96,0.001
1991,97,0.000
1991,98,0.001
1991,99,0.000
1991,100,0.000
1992,0,6.647
1992,1,6.574
1992,2,6.280
1992,3,6.284
1992,4,6.261
1992,5,6.216
1992,6,6.148
1992,7,6.062
1992,8,5.965
1992,9,5.835
1992,10,5.668
1992,11,5.476
1992,12,5.281
1992,13,5.087
1992,14,4.899
1992,15,4.722
1992,16,4.560
1992,17,4.398
1992,18,4.237
1992,19,4.131
1992,20,4.113
1992,21,4.151
1992,22,4.189
1992,23,4.241
1992,24,4.266
1992,25,4.228
1992,26,4.159
1992,27,4.096
1992,28,4.027
1992,29,3.987
1992,30,3.997
1992,31,4.033
1992,32,4.053
1992,33,4.062
1992,34,4.037
1992,35,3.956
1992,36,3.833
1992,37,3.707
1992,38,3.579
1992,39,3.405
1992,40,3.175
1992,41,2.906
1992,42,2.640
1992,43,2.365
1992,44,2.119
1992,45,1.924
1992,46,1.764
1992,47,1.606
1992,48,1.450
1992,49,1.320
1992,50,1.227
1992,51,1.157
1992,52,1.095
1992,53,1.048
1992,54,0.996
1992,55,0.933
1992,56,0.867
1992,57,0.808
1992,58,0.753
1992,59,0.709
1992,60,0.682
1992,61,0.660
1992,62,0.642
1992,63,0.627
1992,64,0.605
1992,65,0.572
1992,66,0.530
1992,67,0.492
1992,68,0.455
1992,69,0.419
1992,70,0.390
1992,71,0.364
1992,72,0.339
1992,73,0.313
1992,74,0.288
1992,75,0.262
1992,76,0.235
1992,77,0.210
1992,78,0.187
1992,79,0.164
1992,80,0.144
1992,81,0.123
1992,82,0.106
1992,83,0.088
1992,84,0.073
1992,85,0.061
1992,86,0.049
1992,87,0.040
1992,88,0.031
1992,89,0.025
