year,age,population
1990,0,566.855
1990,1,540.131
1990,2,514.678
1990,3,490.439
1990,4,467.353
1990,5,445.360
1990,6,424.405
1990,7,404.424
1990,8,385.362
1990,9,367.156
1990,10,349.890
1990,11,333.645
1990,12,317.661
1990,13,301.599
1990,14,285.823
1990,15,270.813
1990,16,256.217
1990,17,243.450
1990,18,233.184
1990,19,224.616
1990,20,216.402
1990,21,208.978
1990,22,200.668
1990,23,190.563
1990,24,179.495
1990,25,169.160
1990,26,159.151
1990,27,150.214
1990,28,142.865
1990,29,136.667
1990,30,130.690
1990,31,125.154
1990,32,119.766
1990,33,114.291
1990,34,108.934
1990,35,103.952
1990,36,99.079
1990,37,95.302
1990,38,93.068
1990,39,91.779
1990,40,90.534
1990,41,89.679
1990,42,87.665
1990,43,83.686
1990,44,78.510
1990,45,73.674
1990,46,68.829
1990,47,64.663
1990,48,61.663
1990,49,59.445
1990,50,57.126
1990,51,54.868
1990,52,52.685
1990,53,50.495
1990,54,48.331
1990,55,46.312
1990,56,44.408
1990,57,42.540
1990,58,40.675
1990,59,38.831
1990,60,37.046
1990,61,35.304
1990,62,33.596
1990,63,31.913
1990,64,30.252
1990,65,28.622
1990,66,27.024
1990,67,25.422
1990,68,23.801
1990,69,22.175
1990,70,20.587
1990,71,19.034
1990,72,17.493
1990,73,15.955
1990,74,14.438
1990,75,12.972
1990,76,11.556
1990,77,10.208
1990,78,8.939
1990,79,7.749
1990,80,6.624
1990,81,5.564
1990,82,4.615
1990,83,3.801
1990,84,3.101
1990,85,2.467
1990,86,1.899
1990,87,1.431
1990,88,1.070
1990,89,0.798
1990,90,0.580
1990,91,0.417
1990,92,0.291
1990,93,0.187
1990,94,0.108
1990,95,0.064
1990,96,0.052
1990,97,0.044
1990,98,0.025
1990,99,0.003
1990,100,0.014
1991,0,589.010
1991,1,562.365
1991,2,536.775
1991,3,512.249
1991,4,488.749
1991,5,466.228
1991,6,444.619
1991,7,423.853
1991,8,404.026
1991,9,385.155
1991,10,367.111
1991,11,349.906
1991,12,333.718
1991,13,317.407
1991,14,300.464
1991,15,283.482
1991,16,267.340
1991,17,251.606
1991,18,238.023
1991,19,227.463
1991,20,218.994
1991,21,210.886
1991,22,203.594
1991,23,195.762
1991,24,186.582
1991,25,176.738
1991,26,167.661
1991,27,158.981
1991,28,151.277
1991,29,144.952
1991,30,139.620
1991,31,134.500
1991,32,129.762
1991,33,125.080
1991,34,120.212
1991,35,115.338
1991,36,110.759
1991,37,106.271
1991,38,102.458
1991,39,99.595
1991,40,97.300
1991,41,95.033
1991,42,93.042
1991,43,90.173
1991,44,85.844
1991,45,80.632
1991,46,75.691
1991,47,70.776
1991,48,66.398
1991,49,62.928
1991,50,60.098
1991,51,57.245
1991,52,54.459
1991,53,51.958
1991,54,49.779
1991,55,47.840
1991,56,46.030
1991,57,44.363
1991,58,42.692
1991,59,40.926
1991,60,39.117
1991,61,37.398
1991,62,35.736
1991,63,34.076
1991,64,32.399
1991,65,30.714
1991,66,29.057
1991,67,27.435
1991,68,25.781
1991,69,24.074
1991,70,22.345
1991,71,20.649
1991,72,18.970
1991,73,17.376
1991,74,15.902
1991,75,14.517
1991,76,13.170
1991,77,11.887
1991,78,10.598
1991,79,9.263
1991,80,7.930
1991,81,6.679
1991,82,5.492
1991,83,4.445
1991,84,3.585
1991,85,2.878
1991,86,2.098
1991,87,1.618
1991,88,1.220
1991,89,0.905
1991,90,0.663
1991,91,0.479
1991,92,0.345
1991,93,0.242
1991,94,0.156
1991,95,0.089
1991,96,0.051
1991,97,0.059
1991,98,0.041
1991,99,0.009
1991,100,0.014
1992,0,614.216
1992,1,586.095
1992,2,559.818
1992,3,535.273
1992,4,511.591
1992,5,488.746
1992,6,466.714
1992,7,445.412
1992,8,424.765
1992,9,405.023
1992,10,386.277
1992,11,368.333
1992,12,351.129
1992,13,334.943
1992,14,318.248
1992,15,300.368
1992,16,282.122
1992,17,264.790
1992,18,247.866
1992,19,233.421
1992,20,222.532
1992,21,214.131
1992,22,206.100
1992,23,198.917
1992,24,191.536
1992,25,183.247
1992,26,174.592
1992,27,166.741
1992,28,159.360
1992,29,152.862
1992,30,147.538
1992,31,143.053
1992,32,138.772
1992,33,134.814
1992,34,130.823
