year,age,population
1990,0,342.348
1990,1,322.863
1990,2,305.772
1990,3,290.845
1990,4,277.848
1990,5,266.553
1990,6,256.730
1990,7,248.144
1990,8,240.570
1990,9,233.774
1990,10,227.819
1990,11,222.763
1990,12,216.920
1990,13,209.476
1990,14,201.075
1990,15,193.162
1990,16,185.433
1990,17,178.026
1990,18,171.145
1990,19,164.633
1990,20,158.155
1990,21,151.813
1990,22,145.456
1990,23,138.984
1990,24,132.514
1990,25,126.262
1990,26,120.185
1990,27,114.418
1990,28,109.051
1990,29,104.025
1990,30,99.190
1990,31,94.573
1990,32,90.227
1990,33,86.171
1990,34,82.382
1990,35,78.800
1990,36,75.389
1990,37,72.325
1990,38,69.671
1990,39,67.320
1990,40,65.104
1990,41,63.064
1990,42,60.975
1990,43,58.711
1990,44,56.366
1990,45,54.151
1990,46,52.013
1990,47,49.979
1990,48,48.080
1990,49,46.282
1990,50,44.520
1990,51,42.808
1990,52,41.111
1990,53,39.409
1990,54,37.713
1990,55,36.065
1990,56,34.456
1990,57,32.880
1990,58,31.338
1990,59,29.830
1990,60,28.349
1990,61,26.896
1990,62,25.475
1990,63,24.091
1990,64,22.740
1990,65,21.415
1990,66,20.123
1990,67,18.836
1990,68,17.538
1990,69,16.246
1990,70,14.990
1990,71,13.769
1990,72,12.585
1990,73,11.442
1990,74,10.345
1990,75,9.287
1990,76,8.275
1990,77,7.312
1990,78,6.398
1990,79,5.539
1990,80,4.732
1990,81,3.976
1990,82,3.301
1990,83,2.721
1990,84,2.226
1990,85,1.777
1990,86,1.377
1990,87,1.045
1990,88,0.786
1990,89,0.586
1990,90,0.426
1990,91,0.305
1990,92,0.212
1990,93,0.135
1990,94,0.080
1990,95,0.045
1990,96,0.036
1990,97,0.028
1990,98,0.017
1990,99,0.005
1990,100,0.010
1991,0,347.501
1991,1,334.962
1991,2,317.346
1991,3,301.684
1991,4,287.807
1991,5,275.535
1991,6,264.655
1991,7,254.950
1991,8,246.459
1991,9,239.095
1991,10,232.556
1991,11,226.690
1991,12,221.601
1991,13,215.721
1991,14,208.274
1991,15,199.881
1991,16,191.932
1991,17,184.140
1991,18,176.636
1991,19,169.617
1991,20,162.943
1991,21,156.298
1991,22,149.786
1991,23,143.272
1991,24,136.665
1991,25,130.082
1991,26,123.721
1991,27,117.545
1991,28,111.711
1991,29,106.316
1991,30,101.299
1991,31,96.485
1991,32,91.899
1991,33,87.618
1991,34,83.659
1991,35,79.995
1991,36,76.545
1991,37,73.274
1991,38,70.355
1991,39,67.847
1991,40,65.642
1991,41,63.571
1991,42,61.680
1991,43,59.714
1991,44,57.537
1991,45,55.253
1991,46,53.096
1991,47,51.009
1991,48,49.018
1991,49,47.161
1991,50,45.399
1991,51,43.665
1991,52,41.975
1991,53,40.293
1991,54,38.600
1991,55,36.909
1991,56,35.260
1991,57,33.649
1991,58,32.067
1991,59,30.518
1991,60,29.001
1991,61,27.511
1991,62,26.048
1991,63,24.617
1991,64,23.225
1991,65,21.866
1991,66,20.535
1991,67,19.238
1991,68,17.950
1991,69,16.653
1991,70,15.366
1991,71,14.118
1991,72,12.908
1991,73,11.739
1991,74,10.620
1991,75,9.549
1991,76,8.523
1991,77,7.544
1991,78,6.621
1991,79,5.756
1991,80,4.954
1991,81,4.203
1991,82,3.503
1991,83,2.887
1991,84,2.361
1991,85,1.920
1991,86,1.523
1991,87,1.174
1991,88,0.887
1991,89,0.662
1991,90,0.488
1991,91,0.353
1991,92,0.253
1991,93,0.177
1991,94,0.112
1991,95,0.065
1991,96,0.038
1991,97,0.028
1991,98,0.018
1991,99,0.004
1991,100,0.010
1992,0,350.298
1992,1,333.858
1992,2,327.924
1992,3,312.153
1992,4,297.905
1992,5,285.060
1992,6,273.500
1992,7,263.024
1992,8,253.427
1992,9,245.020
1992,10,237.860
1992,11,231.571
1992,12,225.789
1992,13,220.662
1992,14,214.738
1992,15,207.281
1992,16,198.888
1992,17,190.894
1992,18,183.032
1992,19,175.424
1992,20,168.262
1992,21,161.416
1992,22,154.600
1992,23,147.912
1992,24,141.234
1992,25,134.486
1992,26,127.784
1992,27,121.309
1992,28,115.026
1992,29,109.119
1992,30,103.694
1992,31,98.678
1992,32,93.880
1992,33,89.323
1992,34,85.099
1992,35,81.235
1992,36,77.692
1992,37,74.371
1992,38,71.236
1992,39,68.459
1992,40,66.095
1992,41,64.031
1992,42,62.105
1992,43,60.358
1992,44,58.515
1992,45,56.424
1992,46,54.197
1992,47,52.095
1992,48,50.057
1992,49,48.109
1992,50,46.290
1992,51,44.562
1992,52,42.856
1992,53,41.184
1992,54,39.518
1992,55,37.831
1992,56,36.142
1992,57,34.492
1992,58,32.876
1992,59,31.288
1992,60,29.729
1992,61,28.204
1992,62,26.702
1992,63,25.227
1992,64,23.786
1992,65,22.382
1992,66,21.015
1992,67,19.677
1992,68,18.376
1992,69,17.083
1992,70,15.786
1992,71,14.503
1992,72,13.262
1992,73,12.060
1992,74,10.908
1992,75,9.809
1992,76,8.766
1992,77,7.768
1992,78,6.821
1992,79,5.938
1992,80,5.122
1992,81,4.374
1992,82,3.679
1992,83,3.036
1992,84,2.475
1992,85,2.005
1992,86,1.616
1992,87,1.271
1992,88,0.973
1992,89,0.730
1992,90,0.539
1992,91,0.391
1992,92,0.279
1992,93,0.202
1992,94,0.143
1992,95,0.090
1992,96,0.049
1992,97,0.030
1992,98,0.018
1992,99,0.005
1992,100,0.010
1993,0,352.166
1993,1,338.430
1993,2,325.500
1993,3,321.142
1993,4,307.206
1993,5,294.358
1993,6,282.536
1993,7,271.678
1993,8,261.597
1993,9,252.102
1993,10,243.773
1993,11,236.812
1993,12,230.766
1993,13,225.064
1993,14,219.894
1993,15,213.923
1993,16,206.451
1993,17,198.049
1993,18,190.006
1993,19,182.068
1993,20,174.348
1993,21,167.037
1993,22,160.016
1993,23,153.023
1993,24,146.154
1993,25,139.307
1993,26,132.413
1993,27,125.584
1993,28,118.992
1993,29,112.598
1993,30,106.613
1993,31,101.152
1993,32,96.136
1993,33,91.348
1993,34,86.816
1993,35,82.649
1993,36,78.875
1993,37,75.449
1993,38,72.255
1993,39,69.254
1993,40,66.616
1993,41,64.394
1993,42,62.471
1993,43,60.687
1993,44,59.085
1993,45,57.362
1993,46,55.354
1993,47,53.184
1993,48,51.135
1993,49,49.144
1993,50,47.237
1993,51,45.455
1993,52,43.762
1993,53,42.079
1993,54,40.426
1993,55,38.773
1993,56,37.091
1993,57,35.404
1993,58,33.752
1993,59,32.129
1993,60,30.532
1993,61,28.965
1993,62,27.428
1993,63,25.914
1993,64,24.426
1993,65,22.973
1993,66,21.558
1993,67,20.181
1993,68,18.835
1993,69,17.526
1993,70,16.230
1993,71,14.932
1993,72,13.651
1993,73,12.416
1993,74,11.224
1993,75,10.083
1993,76,9.007
1993,77,7.988
1993,78,7.021
1993,79,6.104
1993,80,5.259
1993,81,4.492
1993,82,3.797
1993,83,3.159
1993,84,2.571
1993,85,2.065
1993,86,1.651
1993,87,1.313
1993,88,1.020
1993,89,0.773
1993,90,0.574
1993,91,0.415
1993,92,0.295
1993,93,0.206
1993,94,0.151
1993,95,0.108
1993,96,0.068
1993,97,0.034
1993,98,0.019
1993,99,0.005
1993,100,0.012
1994,0,355.133
1994,1,343.596
1994,2,332.277
1994,3,321.199
1994,4,314.478
1994,5,302.373
1994,6,290.923
1994,7,280.120
1994,8,269.961
1994,9,260.271
1994,10,250.873
1994,11,242.621
1994,12,235.854
1994,13,230.051
1994,14,224.426
1994,15,219.211
1994,16,213.191
1994,17,205.699
1994,18,197.288
1994,19,189.191
1994,20,181.172
1994,21,173.340
1994,22,165.877
1994,23,158.677
1994,24,151.504
1994,25,144.451
1994,26,137.432
1994,27,130.388
1994,28,123.433
1994,29,116.718
1994,30,110.212
1994,31,104.146
1994,32,98.647
1994,33,93.628
1994,34,88.851
1994,35,84.340
1994,36,80.227
1994,37,76.543
1994,38,73.235
1994,39,70.165
1994,40,67.297
1994,41,64.798
1994,42,62.716
1994,43,60.934
1994,44,59.292
1994,45,57.833
1994,46,56.230
1994,47,54.304
1994,48,52.190
1994,49,50.195
1994,50,48.249
1994,51,46.383
1994,52,44.638
1994,53,42.975
1994,54,41.319
1994,55,39.684
1994,56,38.041
1994,57,36.366
1994,58,34.679
1994,59,33.024
1994,60,31.394
1994,61,29.788
1994,62,28.211
1994,63,26.661
1994,64,25.135
1994,65,23.634
1994,66,22.169
1994,67,20.741
1994,68,19.354
1994,69,17.999
1994,70,16.683
1994,71,15.382
1994,72,14.083
