year,age,population
1990,0,361.285
1990,1,360.848
1990,2,358.818
1990,3,355.333
1990,4,350.523
1990,5,344.527
1990,6,337.482
1990,7,329.518
1990,8,320.774
1990,9,311.384
1990,10,301.462
1990,11,291.123
1990,12,280.605
1990,13,270.088
1990,14,259.642
1990,15,249.145
1990,16,238.595
1990,17,228.801
1990,18,220.144
1990,19,212.334
1990,20,204.623
1990,21,197.055
1990,22,190.069
1990,23,183.764
1990,24,177.934
1990,25,172.309
1990,26,166.998
1990,27,161.337
1990,28,154.986
1990,29,148.250
1990,30,141.672
1990,31,135.024
1990,32,128.946
1990,33,123.775
1990,34,119.118
1990,35,114.540
1990,36,110.457
1990,37,105.030
1990,38,97.404
1990,39,88.610
1990,40,80.283
1990,41,71.779
1990,42,65.706
1990,43,63.425
1990,44,63.593
1990,45,63.578
1990,46,63.998
1990,47,63.445
1990,48,60.988
1990,49,57.374
1990,50,54.268
1990,51,51.317
1990,52,48.718
1990,53,46.727
1990,54,45.143
1990,55,43.485
1990,56,41.817
1990,57,40.265
1990,58,38.840
1990,59,37.489
1990,60,36.198
1990,61,35.020
1990,62,33.597
1990,63,31.759
1990,64,29.691
1990,65,27.682
1990,66,25.612
1990,67,23.917
1990,68,22.817
1990,69,22.081
1990,70,21.296
1990,71,20.596
1990,72,19.545
1990,73,17.895
1990,74,15.884
1990,75,13.992
1990,76,12.115
1990,77,10.466
1990,78,9.202
1990,79,8.207
1990,80,7.212
1990,81,6.268
1990,82,5.394
1990,83,4.573
1990,84,3.811
1990,85,3.135
1990,86,2.531
1990,87,2.009
1990,88,1.575
1990,89,1.217
1990,90,0.910
1990,91,0.653
1990,92,0.454
1990,93,0.305
1990,94,0.202
1990,95,0.132
1990,96,0.097
1990,97,0.072
1990,98,0.040
1990,99,0.012
1990,100,0.027
1991,0,364.301
1991,1,361.516
1991,2,360.596
1991,3,358.357
1991,4,354.883
1991,5,350.250
1991,6,344.601
1991,7,338.079
1991,8,330.457
1991,9,321.701
1991,10,312.071
1991,11,301.986
1991,12,291.508
1991,13,280.808
1991,14,270.065
1991,15,259.363
1991,16,248.595
1991,17,237.765
1991,18,227.699
1991,19,218.790
1991,20,210.749
1991,21,202.810
1991,22,195.021
1991,23,187.859
1991,24,181.444
1991,25,175.551
1991,26,169.877
1991,27,164.531
1991,28,158.864
1991,29,152.536
1991,30,145.846
1991,31,139.329
1991,32,132.763
1991,33,126.760
1991,34,121.644
1991,35,117.036
1991,36,112.514
1991,37,108.486
1991,38,103.146
1991,39,95.653
1991,40,87.022
1991,41,78.850
1991,42,70.508
1991,43,64.553
1991,44,62.315
1991,45,62.479
1991,46,62.464
1991,47,62.878
1991,48,62.338
1991,49,59.936
1991,50,56.398
1991,51,53.359
1991,52,50.469
1991,53,47.921
1991,54,45.964
1991,55,44.400
1991,56,42.763
1991,57,41.112
1991,58,39.570
1991,59,38.142
1991,60,36.778
1991,61,35.473
1991,62,34.274
1991,63,32.835
1991,64,30.991
1991,65,28.921
1991,66,26.908
1991,67,24.838
1991,68,23.130
1991,69,21.993
1991,70,21.208
1991,71,20.382
1991,72,19.638
1991,73,18.567
1991,74,16.935
1991,75,14.964
1991,76,13.113
1991,77,11.283
1991,78,9.680
1991,79,8.457
1991,80,7.501
1991,81,6.550
1991,82,5.652
1991,83,4.830
1991,84,4.066
1991,85,3.364
1991,86,2.749
1991,87,2.203
1991,88,1.736
1991,89,1.350
1991,90,1.035
1991,91,0.768
1991,92,0.551
1991,93,0.382
1991,94,0.255
1991,95,0.165
1991,96,0.104
1991,97,0.074
1991,98,0.042
1991,99,0.012
1991,100,0.028
1992,0,367.190
1992,1,366.193
1992,2,360.847
1992,3,359.442
1992,4,356.999
1992,5,353.545
1992,6,349.102
1992,7,343.816
1992,8,337.834
1992,9,330.576
1992,10,321.831
1992,11,311.982
1992,12,301.759
1992,13,291.166
1992,14,280.312
1992,15,269.368
1992,16,258.434
1992,17,247.423
1992,18,236.338
1992,19,226.022
1992,20,216.883
1992,21,208.629
1992,22,200.482
1992,23,192.491
1992,24,185.169
1992,25,178.658
1992,26,172.718
1992,27,167.008
1992,28,161.641
1992,29,155.982
1992,30,149.694
1992,31,143.064
1992,32,136.628
1992,33,130.159
1992,34,124.245
1992,35,119.200
1992,36,114.651
1992,37,110.197
1992,38,106.235
1992,39,100.994
1992,40,93.656
1992,41,85.207
1992,42,77.212
1992,43,69.056
1992,44,63.232
1992,45,61.044
1992,46,61.203
1992,47,61.190
1992,48,61.594
1992,49,61.071
1992,50,58.728
1992,51,55.278
1992,52,52.311
1992,53,49.491
1992,54,47.000
1992,55,45.082
1992,56,43.543
1992,57,41.930
1992,58,40.302
1992,59,38.773
1992,60,37.344
1992,61,35.972
1992,62,34.655
1992,63,33.439
1992,64,31.988
1992,65,30.142
1992,66,28.074
1992,67,26.063
1992,68,23.999
1992,69,22.280
1992,70,21.110
1992,71,20.279
1992,72,19.411
1992,73,18.626
1992,74,17.539
1992,75,15.926
1992,76,14.003
1992,77,12.198
1992,78,10.418
1992,79,8.865
1992,80,7.687
1992,81,6.773
1992,82,5.869
1992,83,5.019
1992,84,4.250
1992,85,3.546
1992,86,2.908
1992,87,2.352
1992,88,1.869
1992,89,1.457
1992,90,1.121
1992,91,0.848
1992,92,0.624
1992,93,0.447
1992,94,0.310
1992,95,0.203
1992,96,0.128
1992,97,0.079
1992,98,0.044
1992,99,0.012
1992,100,0.030
1993,0,369.699
1993,1,367.573
1993,2,365.087
1993,3,359.485
1993,4,357.598
1993,5,354.956
1993,6,351.527
1993,7,347.284
1993,8,342.371
1993,9,336.941
1993,10,330.061
1993,11,321.343
1993,12,311.296
1993,13,300.952
1993,14,290.268
1993,15,279.276
1993,16,268.154
1993,17,257.010
1993,18,245.775
1993,19,234.456
1993,20,223.912
1993,21,214.558
1993,22,206.109
1993,23,197.768
1993,24,189.588
1993,25,182.123
1993,26,175.529
1993,27,169.552
1993,28,163.817
1993,29,158.439
1993,30,152.798
1993,31,146.562
1993,32,140.008
1993,33,133.661
1993,34,127.304
1993,35,121.492
1993,36,116.525
1993,37,112.044
1993,38,107.667
1993,39,103.778
1993,40,98.648
1993,41,91.477
